code,name,latest_price,pct_chg,price_change,volume,amount,high,low,open,prev_close,turnover_rate,fetched_at
511880,银华日利ETF,100.514,0.0,-0.002,1656052.0,16645775030.0,100.52,100.512,100.513,100.516,18.44,2026-06-09T15:37:48
513310,中韩半导体ETF华泰柏瑞,5.779,9.99,0.525,18299640.0,10288846116.0,5.779,5.411,5.432,5.254,81.21,2026-06-09T15:37:48
511990,华宝添益ETF,100.003,0.0,0.001,733059.0,7330672820.0,100.003,99.999,100.0,100.002,9.3,2026-06-09T15:37:48
159915,创业板ETF易方达,3.972,3.79,0.145,15787653.0,6169162413.896,3.975,3.836,3.877,3.827,14.58,2026-06-09T15:37:48
515880,通信ETF国泰,1.695,5.87,0.094,30816516.0,5113027527.0,1.696,1.618,1.632,1.601,12.92,2026-06-09T15:37:48
512100,中证1000ETF南方,3.341,2.55,0.083,15298071.0,5043848542.0,3.348,3.259,3.283,3.258,36.22,2026-06-09T15:37:48
588000,科创50ETF华夏,1.755,4.28,0.072,28793746.0,4978683139.0,1.76,1.696,1.721,1.683,8.37,2026-06-09T15:37:48
513090,香港证券ETF易方达,1.734,1.17,0.02,28645455.0,4939919089.0,1.737,1.707,1.718,1.714,25.57,2026-06-09T15:37:48
513120,港股创新药ETF广发,0.98,-0.61,-0.006,47009063.0,4577770233.0,0.991,0.958,0.985,0.986,21.28,2026-06-09T15:37:48
563360,A500ETF华泰柏瑞,1.34,2.06,0.027,32418440.0,4283493055.0,1.341,1.311,1.321,1.313,13.85,2026-06-09T15:37:48
588200,科创芯片ETF嘉实,3.483,5.58,0.184,12212207.0,4166467906.0,3.485,3.339,3.382,3.299,9.56,2026-06-09T15:37:48
159338,中证A500ETF国泰,1.268,2.01,0.025,32225279.0,4033589322.588,1.27,1.241,1.25,1.243,16.98,2026-06-09T15:37:48
513130,恒生科技ETF华泰柏瑞,0.599,1.18,0.007,67161677.0,4007707396.0,0.602,0.591,0.593,0.592,9.55,2026-06-09T15:37:48
159941,纳指ETF广发,1.632,4.02,0.063,19858182.0,3202566137.208,1.636,1.594,1.598,1.569,8.84,2026-06-09T15:37:48
513180,恒生科技ETF华夏,0.61,1.16,0.007,50993983.0,3096950907.0,0.612,0.602,0.604,0.603,6.75,2026-06-09T15:37:48
159516,半导体设备ETF国泰,1.262,8.23,0.096,24295758.0,2997204645.242,1.265,1.189,1.195,1.166,14.71,2026-06-09T15:37:48
159845,中证1000ETF华夏,3.432,2.48,0.083,8799684.0,2980475431.512,3.438,3.351,3.375,3.349,46.16,2026-06-09T15:37:48
510500,中证500ETF南方,8.27,2.5,0.202,3622747.0,2955254201.0,8.285,8.058,8.12,8.068,7.89,2026-06-09T15:37:48
159352,A500ETF南方,1.315,1.78,0.023,20701539.0,2692197329.15,1.32,1.291,1.297,1.292,9.41,2026-06-09T15:37:48
518880,黄金ETF华安,9.005,0.58,0.052,2870005.0,2589621005.0,9.046,9.004,9.01,8.953,2.63,2026-06-09T15:37:48
159949,创业板50ETF华安,1.929,4.16,0.077,13441852.0,2555329962.732,1.932,1.861,1.882,1.852,11.08,2026-06-09T15:37:48
510050,上证50ETF华夏,2.917,0.55,0.016,8253141.0,2393804682.0,2.918,2.888,2.904,2.901,10.17,2026-06-09T15:37:48
159131,港股通信息技术ETF华宝,1.082,5.77,0.059,22280194.0,2363455185.656,1.086,1.04,1.048,1.023,179.98,2026-06-09T15:37:48
513050,中概互联网ETF易方达,1.108,1.0,0.011,21012079.0,2327458703.0,1.117,1.092,1.097,1.097,6.35,2026-06-09T15:37:48
159792,港股通互联网ETF富国,0.61,1.67,0.01,37186504.0,2257264333.307,0.613,0.599,0.6,0.6,5.0,2026-06-09T15:37:48
159570,港股通创新药ETF汇添富,1.214,-0.08,-0.001,18591223.0,2244844080.92,1.231,1.185,1.217,1.215,11.26,2026-06-09T15:37:48
159687,亚太精选ETF南方,1.938,7.31,0.132,11434798.0,2183053999.553,1.974,1.837,1.837,1.806,74.55,2026-06-09T15:37:48
512050,A500ETF华夏,1.262,2.02,0.025,17293885.0,2153125854.0,1.263,1.235,1.244,1.237,11.72,2026-06-09T15:37:48
510300,沪深300ETF华泰柏瑞,4.826,1.84,0.087,4361645.0,2085593718.0,4.828,4.741,4.764,4.739,1.53,2026-06-09T15:37:48
513330,恒生互联网ETF华夏,0.393,0.77,0.003,52528007.0,2062178089.0,0.395,0.389,0.39,0.39,7.16,2026-06-09T15:37:48
588170,科创半导体ETF华夏,2.55,8.37,0.197,7717723.0,1916620944.0,2.553,2.39,2.402,2.353,19.79,2026-06-09T15:37:48
588080,科创50ETF易方达,1.701,4.1,0.067,10841118.0,1814798925.0,1.705,1.642,1.665,1.634,5.39,2026-06-09T15:37:48
512480,半导体ETF国联安,2.109,5.71,0.114,8309109.0,1720069024.0,2.113,2.019,2.048,1.995,9.83,2026-06-09T15:37:48
159363,创业板人工智能ETF华宝,1.42,4.72,0.064,11029735.0,1541745843.644,1.425,1.369,1.381,1.356,20.72,2026-06-09T15:37:48
512880,证券ETF国泰,1.005,0.4,0.004,15277820.0,1527536448.0,1.005,0.993,1.001,1.001,2.85,2026-06-09T15:37:48
513100,纳指ETF国泰,2.2,4.07,0.086,6945866.0,1506541070.0,2.203,2.144,2.15,2.114,7.34,2026-06-09T15:37:48
159361,A500ETF易方达,1.296,2.29,0.029,11761674.0,1499460611.684,1.296,1.265,1.272,1.267,6.01,2026-06-09T15:37:48
159530,机器人ETF易方达,1.674,0.48,0.008,9021001.0,1493318498.311,1.678,1.625,1.653,1.666,8.8,2026-06-09T15:37:48
513350,标普油气ETF富国,1.242,-6.48,-0.086,11723018.0,1477714455.0,1.287,1.237,1.261,1.328,136.35,2026-06-09T15:37:48
515050,通信ETF华夏,1.254,5.47,0.065,11934867.0,1466452737.0,1.254,1.196,1.213,1.189,8.58,2026-06-09T15:37:48
159740,恒生科技ETF大成,0.602,1.52,0.009,23958430.0,1432023845.518,0.603,0.592,0.594,0.593,7.91,2026-06-09T15:37:48
512800,银行ETF华宝,0.792,0.38,0.003,17928238.0,1421906301.0,0.798,0.784,0.785,0.789,12.64,2026-06-09T15:37:48
159326,电网设备ETF华夏,2.075,3.8,0.076,6655346.0,1363369980.384,2.077,2.005,2.034,1.999,4.93,2026-06-09T15:37:48
513010,恒生科技ETF易方达,0.629,1.45,0.009,21715486.0,1358405166.0,0.631,0.619,0.622,0.62,4.65,2026-06-09T15:37:48
