code,name,fund_type,source
159001,货币ETF易方达,货币型-普通货币,eastmoney_fundcode_search
159003,招商快线ETF,货币型-普通货币,eastmoney_fundcode_search
159005,快钱ETF汇添富,货币型-普通货币,eastmoney_fundcode_search
159007,华泰柏瑞中证畜牧养殖产业ETF,指数型-股票,eastmoney_fundcode_search
159008,景顺长城中证全指证券公司ETF,指数型-股票,eastmoney_fundcode_search
159009,易方达创业板新能源ETF,指数型-股票,eastmoney_fundcode_search
159010,港股通科技ETF博时,指数型-股票,eastmoney_fundcode_search
159011,养殖ETF华安,指数型-股票,eastmoney_fundcode_search
159012,鹏华科创创业50ETF,指数型-股票,eastmoney_fundcode_search
159013,大成中证工业互联网主题ETF,指数型-股票,eastmoney_fundcode_search
159015,恒生港股通科技ETF国联,指数型-股票,eastmoney_fundcode_search
159016,证券ETF广发,指数型-股票,eastmoney_fundcode_search
159017,工银瑞信国证石油天然气ETF,指数型-股票,eastmoney_fundcode_search
159018,广发国证石油天然气ETF,指数型-股票,eastmoney_fundcode_search
159019,华宝国证石油天然气ETF,指数型-股票,eastmoney_fundcode_search
159020,易方达中证畜牧养殖产业ETF,指数型-股票,eastmoney_fundcode_search
159021,华夏国证大盘价值ETF,指数型-股票,eastmoney_fundcode_search
159022,富国中证科创创业人工智能ETF,指数型-股票,eastmoney_fundcode_search
159023,养殖ETF万家,指数型-股票,eastmoney_fundcode_search
159026,南方国证石油天然气ETF,指数型-股票,eastmoney_fundcode_search
159027,畜牧养殖ETF大成,指数型-股票,eastmoney_fundcode_search
159028,港股汽车ETF天弘,指数型-股票,eastmoney_fundcode_search
159029,广发中证有色金属矿业主题ETF,指数型-股票,eastmoney_fundcode_search
159030,粮食ETF华夏,指数型-股票,eastmoney_fundcode_search
159031,粮食ETF博时,指数型-股票,eastmoney_fundcode_search
159032,工业有色ETF易方达,指数型-股票,eastmoney_fundcode_search
159033,粮食ETF国泰,指数型-股票,eastmoney_fundcode_search
159035,天弘中证软件服务ETF,指数型-股票,eastmoney_fundcode_search
159036,软件开发ETF华宝,指数型-股票,eastmoney_fundcode_search
159037,价值ETF鹏华,指数型-股票,eastmoney_fundcode_search
159038,易方达国证粮食产业ETF,指数型-股票,eastmoney_fundcode_search
159039,机器人ETF华安,指数型-股票,eastmoney_fundcode_search
159040,港股通互联网ETF鹏华,指数型-股票,eastmoney_fundcode_search
159041,农业ETF鹏华,指数型-股票,eastmoney_fundcode_search
159042,价值ETF汇添富,指数型-股票,eastmoney_fundcode_search
159043,食品ETF华安,指数型-股票,eastmoney_fundcode_search
159045,稀有金属ETF大成,指数型-股票,eastmoney_fundcode_search
159046,绿电ETF天弘,指数型-股票,eastmoney_fundcode_search
159048,机器人ETF大成,指数型-股票,eastmoney_fundcode_search
159049,有色ETF工银,指数型-股票,eastmoney_fundcode_search
159050,机器人ETF广发,指数型-股票,eastmoney_fundcode_search
159051,医疗器械ETF易方达,指数型-股票,eastmoney_fundcode_search
159052,新能源电池ETF嘉实,指数型-股票,eastmoney_fundcode_search
159053,稀有金属ETF华夏,指数型-股票,eastmoney_fundcode_search
159055,稀有金属ETF富国,指数型-股票,eastmoney_fundcode_search
159056,医疗器械ETF富国,指数型-股票,eastmoney_fundcode_search
159057,医疗器械ETF鹏华,指数型-股票,eastmoney_fundcode_search
159060,粮食ETF浦银,指数型-股票,eastmoney_fundcode_search
159061,绿色电力ETF南方,指数型-股票,eastmoney_fundcode_search
159062,稀有金属ETF南方,指数型-股票,eastmoney_fundcode_search
159063,粮食ETF南方,指数型-股票,eastmoney_fundcode_search
159065,工程机械ETF景顺,指数型-股票,eastmoney_fundcode_search
159066,建信A股ETF,,eastmoney_fundcode_search
159068,软件ETF华夏,指数型-股票,eastmoney_fundcode_search
159070,工程机械ETF嘉实,指数型-股票,eastmoney_fundcode_search
159071,新能源电池ETF华宝,指数型-股票,eastmoney_fundcode_search
159072,粮食ETF景顺,指数型-股票,eastmoney_fundcode_search
159075,工业互联网ETF华夏,,eastmoney_fundcode_search
159076,华宝创业板新能源ETF,指数型-股票,eastmoney_fundcode_search
159078,富国中证A股ETF,,eastmoney_fundcode_search
159100,巴西ETF华夏,指数型-海外股票,eastmoney_fundcode_search
159101,港股通科技ETF华夏,指数型-股票,eastmoney_fundcode_search
159102,港股通生物科技ETF华安,指数型-股票,eastmoney_fundcode_search
159103,金融科技ETF汇添富,指数型-股票,eastmoney_fundcode_search
159105,恒生生物科技ETF易方达,指数型-股票,eastmoney_fundcode_search
159106,民企300ETF前海开源,指数型-股票,eastmoney_fundcode_search
159107,创业板软件ETF富国,指数型-股票,eastmoney_fundcode_search
159108,工业软件ETF博时,指数型-股票,eastmoney_fundcode_search
159109,恒生50ETF景顺,指数型-股票,eastmoney_fundcode_search
159110,科创债ETF万家,指数型-固收,eastmoney_fundcode_search
159111,科创债ETF天弘,指数型-固收,eastmoney_fundcode_search
159112,科创债ETF银华,指数型-固收,eastmoney_fundcode_search
159113,科创债ETF大成,指数型-固收,eastmoney_fundcode_search
159115,科创债ETF华安,指数型-固收,eastmoney_fundcode_search
159116,科创债ETF工银,指数型-固收,eastmoney_fundcode_search
159117,港股通红利低波ETF鹏华,指数型-股票,eastmoney_fundcode_search
159118,港股通红利低波ETF华夏,指数型-股票,eastmoney_fundcode_search
159119,800现金流ETF招商,指数型-股票,eastmoney_fundcode_search
159120,港股通科技ETF国联安,指数型-股票,eastmoney_fundcode_search
159121,港股通汽车ETF易方达,指数型-股票,eastmoney_fundcode_search
159122,创业板新能源ETF富国,指数型-股票,eastmoney_fundcode_search
159123,光伏ETF嘉实,指数型-股票,eastmoney_fundcode_search
159125,港股通科技ETF招商,指数型-股票,eastmoney_fundcode_search
159126,港股通50ETF南方,指数型-股票,eastmoney_fundcode_search
159127,港股通红利ETF南方,指数型-股票,eastmoney_fundcode_search
159128,港股科技ETF天弘,指数型-股票,eastmoney_fundcode_search
159129,化工ETF嘉实,指数型-股票,eastmoney_fundcode_search
159130,恒生生物科技ETF鹏华,指数型-股票,eastmoney_fundcode_search
159131,港股通信息技术ETF华宝,指数型-股票,eastmoney_fundcode_search
159132,恒生生物科技ETF富国,指数型-股票,eastmoney_fundcode_search
159133,化工ETF天弘,指数型-股票,eastmoney_fundcode_search
159135,港股通科技ETF前海开源,指数型-股票,eastmoney_fundcode_search
159136,A50ETF广发,指数型-股票,eastmoney_fundcode_search
159137,港股通医疗ETF华宝,指数型-股票,eastmoney_fundcode_search
159138,工程机械ETF易方达,指数型-股票,eastmoney_fundcode_search
159139,科创创业人工智能ETF华泰柏瑞,指数型-股票,eastmoney_fundcode_search
159140,科创创业人工智能ETF易方达,指数型-股票,eastmoney_fundcode_search
159141,科创创业人工智能ETF永赢,指数型-股票,eastmoney_fundcode_search
159142,科创创业人工智能ETF景顺,指数型-股票,eastmoney_fundcode_search
159143,港股通央企红利ETF平安,指数型-股票,eastmoney_fundcode_search
159145,工业软件ETF广发,指数型-股票,eastmoney_fundcode_search
159146,电力ETF华宝,指数型-股票,eastmoney_fundcode_search
159147,电池ETF南方,指数型-股票,eastmoney_fundcode_search
159148,石油ETF富国,指数型-股票,eastmoney_fundcode_search
159149,创业板新能源ETF工银,指数型-股票,eastmoney_fundcode_search
159150,深证50ETF易方达,指数型-股票,eastmoney_fundcode_search
159151,食品ETF华夏,指数型-股票,eastmoney_fundcode_search
159152,港股通科技ETF平安,指数型-股票,eastmoney_fundcode_search
159153,消费电子ETF鹏华,指数型-股票,eastmoney_fundcode_search
159155,电池ETF大成,指数型-股票,eastmoney_fundcode_search
159156,电池ETF万家,指数型-股票,eastmoney_fundcode_search
159157,有色金属ETF天弘,指数型-股票,eastmoney_fundcode_search
159158,电力ETF景顺,指数型-股票,eastmoney_fundcode_search
159159,公用事业ETF国投瑞银,指数型-股票,eastmoney_fundcode_search
159160,电池ETF东财,指数型-股票,eastmoney_fundcode_search
159161,工程机械ETF东财,指数型-股票,eastmoney_fundcode_search
159162,工业有色ETF鹏华,指数型-股票,eastmoney_fundcode_search
159163,有色ETF泰康,指数型-股票,eastmoney_fundcode_search
159165,养殖ETF永赢,指数型-股票,eastmoney_fundcode_search
159166,现金流ETF长城,指数型-股票,eastmoney_fundcode_search
159167,港股通医疗ETF工银,指数型-股票,eastmoney_fundcode_search
159168,有色ETF富国,指数型-股票,eastmoney_fundcode_search
159169,恒生生物科技ETF广发,指数型-股票,eastmoney_fundcode_search
159170,港股通互联网ETF永赢,指数型-股票,eastmoney_fundcode_search
159171,工业有色ETF博时,指数型-股票,eastmoney_fundcode_search
159172,养殖ETF汇添富,指数型-股票,eastmoney_fundcode_search
159173,南方中证全指农牧渔ETF,指数型-股票,eastmoney_fundcode_search
159175,电池ETF易方达,指数型-股票,eastmoney_fundcode_search
159176,华宝中证全指家用电器ETF,指数型-股票,eastmoney_fundcode_search
159177,鹏华中证工程机械主题ETF,指数型-股票,eastmoney_fundcode_search
159178,汇添富国证消费电子主题ETF,指数型-股票,eastmoney_fundcode_search
159179,港股通互联网ETF工银,指数型-股票,eastmoney_fundcode_search
159180,银华国证工业软件主题ETF,指数型-股票,eastmoney_fundcode_search
159181,石油ETF易方达,指数型-股票,eastmoney_fundcode_search
159182,南方中证全指家用电器ETF,指数型-股票,eastmoney_fundcode_search
159183,新能源车ETF招商,指数型-股票,eastmoney_fundcode_search
159185,鹏华中证港股通信息技术综合ETF,指数型-股票,eastmoney_fundcode_search
159186,鹏华恒生港股通汽车主题ETF,指数型-股票,eastmoney_fundcode_search
159187,创业板新能源ETF景顺,指数型-股票,eastmoney_fundcode_search
159188,景顺长城标普中国A股红利100ETF,指数型-股票,eastmoney_fundcode_search
159189,石油ETF华夏,指数型-股票,eastmoney_fundcode_search
159190,创业板新能源ETF天弘,指数型-股票,eastmoney_fundcode_search
159191,港股通科技ETF易方达,指数型-股票,eastmoney_fundcode_search
159192,汇添富中证家电龙头ETF,指数型-股票,eastmoney_fundcode_search
159193,新能源电池ETF银华,指数型-股票,eastmoney_fundcode_search
159195,华安国证石油天然气ETF,指数型-股票,eastmoney_fundcode_search
159196,易方达中证港股通信息技术综合ETF,指数型-股票,eastmoney_fundcode_search
159197,招商国证石油天然气ETF,指数型-股票,eastmoney_fundcode_search
159198,富国中证港股通信息技术综合ETF,指数型-股票,eastmoney_fundcode_search
159199,平安国证石油天然气ETF,指数型-股票,eastmoney_fundcode_search
159200,科创债ETF富国,指数型-固收,eastmoney_fundcode_search
159201,自由现金流ETF华夏,指数型-股票,eastmoney_fundcode_search
159202,恒生互联网ETF万家,指数型-海外股票,eastmoney_fundcode_search
159203,大盘成长ETF博时,指数型-股票,eastmoney_fundcode_search
159205,创业板ETF东财,指数型-股票,eastmoney_fundcode_search
159206,卫星ETF永赢,指数型-股票,eastmoney_fundcode_search
159207,高股息ETF广发,指数型-股票,eastmoney_fundcode_search
159208,航空航天ETF万家,指数型-股票,eastmoney_fundcode_search
159209,红利质量ETF招商,指数型-股票,eastmoney_fundcode_search
159210,港股通汽车ETF汇添富,指数型-股票,eastmoney_fundcode_search
159211,深证100ETF富国,指数型-股票,eastmoney_fundcode_search
159212,深100ETF南方,指数型-股票,eastmoney_fundcode_search
159213,机器人ETF汇添富,指数型-股票,eastmoney_fundcode_search
159215,A500ETF平安,指数型-股票,eastmoney_fundcode_search
159216,深证100ETF大成,指数型-股票,eastmoney_fundcode_search
159217,港股通创新药ETF工银,指数型-股票,eastmoney_fundcode_search
159218,卫星ETF招商,指数型-股票,eastmoney_fundcode_search
159219,深证100ETF融通,指数型-股票,eastmoney_fundcode_search
159220,港股通红利低波ETF华宝,指数型-股票,eastmoney_fundcode_search
159221,现金流ETF嘉实,指数型-股票,eastmoney_fundcode_search
159222,自由现金流ETF易方达,指数型-股票,eastmoney_fundcode_search
159223,现金流ETF永赢,指数型-股票,eastmoney_fundcode_search
159225,现金流ETF银华,指数型-股票,eastmoney_fundcode_search
159226,中证A500增强ETF国泰,指数型-股票,eastmoney_fundcode_search
159227,航空航天ETF华夏,指数型-股票,eastmoney_fundcode_search
159228,红利低波ETF长城,指数型-股票,eastmoney_fundcode_search
159229,自由现金流ETF广发,指数型-股票,eastmoney_fundcode_search
159230,通用航空ETF华夏,指数型-股票,eastmoney_fundcode_search
159231,通用航空ETF华宝,指数型-股票,eastmoney_fundcode_search
159232,自由现金流ETF南方,指数型-股票,eastmoney_fundcode_search
159233,自由现金流ETF平安,指数型-股票,eastmoney_fundcode_search
159235,中证现金流ETF大成,指数型-股票,eastmoney_fundcode_search
159236,自由现金流ETF工银,指数型-股票,eastmoney_fundcode_search
159237,港股汽车ETF工银,指数型-股票,eastmoney_fundcode_search
159238,沪深300增强ETF景顺,指数型-股票,eastmoney_fundcode_search
159239,港股通汽车ETF富国,指数型-股票,eastmoney_fundcode_search
159240,A500增强ETF天弘,指数型-股票,eastmoney_fundcode_search
159241,航空航天ETF天弘,指数型-股票,eastmoney_fundcode_search
159242,创业板人工智能ETF大成,指数型-股票,eastmoney_fundcode_search
159243,创业板人工智能ETF招商,指数型-股票,eastmoney_fundcode_search
159245,港股通消费ETF富国,指数型-股票,eastmoney_fundcode_search
