代码,日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
159226,2025-05-29,0.99,0.999,1.001,0.99,329435,32886446.383,1.11,0.91,0.009,57.7
159226,2025-05-30,0.999,0.995,0.999,0.991,169074,16795548.501,0.8,-0.4,-0.004,29.61
159226,2025-06-03,0.99,0.993,0.997,0.99,190025,18887052.277,0.7,-0.2,-0.002,33.28
159226,2025-06-04,0.995,0.997,0.999,0.995,146144,14569440.199,0.4,0.4,0.004,25.6
159226,2025-06-05,0.998,0.999,1.001,0.996,276761,27662425.989,0.5,0.2,0.002,48.47
159226,2025-06-06,1.0,0.999,1.003,0.998,202660,20271593.122,0.5,0.0,0.0,35.5
159226,2025-06-09,0.999,1.002,1.004,0.999,530640,53200967.478,0.5,0.3,0.003,92.94
159226,2025-06-10,1.002,0.997,1.005,0.993,298563,29931820.189,1.2,-0.5,-0.005,52.29
159226,2025-06-11,0.996,1.003,1.007,0.996,531569,53410835.918,1.1,0.6,0.006,93.1
159226,2025-06-12,1.002,1.007,1.008,1.0,453442,45608120.312,0.8,0.4,0.004,79.42
159226,2025-06-13,1.004,0.999,1.004,0.998,118244,11824517.74,0.6,-0.79,-0.008,20.71
159226,2025-06-16,1.0,0.999,1.001,0.997,75446,7541026.647,0.4,0.0,0.0,13.21
159226,2025-06-17,1.002,0.998,1.004,0.998,140844,14087578.063,0.6,-0.1,-0.001,24.67
159226,2025-06-18,1.001,1.001,1.002,0.996,153606,15361318.313,0.6,0.3,0.003,26.9
159226,2025-06-19,0.996,0.993,1.0,0.991,66856,6644680.075,0.9,-0.8,-0.008,11.71
159226,2025-06-20,0.994,0.989,0.995,0.989,54944,5450185.421,0.6,-0.4,-0.004,9.62
159226,2025-06-23,0.988,0.993,0.996,0.988,118568,11751675.718,0.81,0.4,0.004,20.77
159226,2025-06-24,0.988,1.006,1.008,0.988,999032,100463036.204,2.01,1.31,0.013,174.98
159226,2025-06-25,1.006,1.02,1.022,1.006,1009607,102445391.395,1.59,1.39,0.014,176.83
159226,2025-06-26,1.019,1.016,1.022,1.016,335470,34172729.415,0.59,-0.39,-0.004,58.76
159226,2025-06-27,1.016,1.011,1.023,1.011,198986,20248001.21,1.18,-0.49,-0.005,34.85
159226,2025-06-30,1.011,1.018,1.019,1.011,78701,7993178.996,0.79,0.69,0.007,13.78
159226,2025-07-01,1.017,1.019,1.02,1.015,118829,12101569.222,0.49,0.1,0.001,20.81
159226,2025-07-02,1.019,1.017,1.019,1.015,88483,9007429.494,0.39,-0.2,-0.002,15.5
159226,2025-07-03,1.019,1.023,1.026,1.017,206748,21113834.986,0.88,0.59,0.006,36.21
159226,2025-07-04,1.023,1.025,1.033,1.021,242765,24926276.631,1.17,0.2,0.002,42.52
159226,2025-07-07,1.025,1.02,1.025,1.019,57890,5907225.884,0.59,-0.49,-0.005,10.14
159226,2025-07-08,1.022,1.03,1.031,1.022,153539,15789250.009,0.88,0.98,0.01,26.89
159226,2025-07-09,1.029,1.027,1.033,1.025,91821,9452252.417,0.78,-0.29,-0.003,16.08
159226,2025-07-10,1.029,1.03,1.034,1.025,97858,10083814.165,0.88,0.29,0.003,17.14
