代码,日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
159240,2025-06-17,1.0,0.999,1.003,0.997,1156086,115660850.601,0.6,-0.1,-0.001,790.77
159240,2025-06-18,0.998,1.001,1.002,0.996,237934,23796240.515,0.6,0.2,0.002,162.75
159240,2025-06-19,0.996,0.99,0.999,0.988,87023,8659268.876,1.1,-1.1,-0.011,59.52
159240,2025-06-20,0.99,0.988,0.995,0.988,26558,2636031.36,0.71,-0.2,-0.002,18.17
159240,2025-06-23,0.997,0.996,0.997,0.986,118635,11744941.128,1.11,0.81,0.008,81.15
159240,2025-06-24,0.991,1.007,1.008,0.991,459758,46141521.189,1.71,1.1,0.011,314.48
159240,2025-06-25,1.006,1.019,1.021,1.006,167350,16959620.977,1.49,1.19,0.012,114.47
159240,2025-06-26,1.017,1.017,1.029,1.015,50609,5157793.403,1.37,-0.2,-0.002,34.62
159240,2025-06-27,1.017,1.016,1.024,1.013,95944,9771960.127,1.08,-0.1,-0.001,65.63
159240,2025-06-30,1.006,1.021,1.021,1.006,92581,9406153.284,1.48,0.49,0.005,63.33
159240,2025-07-01,1.016,1.019,1.02,1.012,80591,8199604.252,0.78,-0.2,-0.002,55.12
159240,2025-07-02,1.017,1.018,1.021,1.017,51969,5296879.28,0.39,-0.1,-0.001,35.55
159240,2025-07-03,1.02,1.023,1.024,1.018,22832,2333267.866,0.59,0.49,0.005,15.62
159240,2025-07-04,1.02,1.028,1.034,1.02,52281,5371393.614,1.37,0.49,0.005,35.76
159240,2025-07-07,1.024,1.021,1.024,1.02,27209,2779859.072,0.39,-0.68,-0.007,18.61
159240,2025-07-08,1.025,1.032,1.032,1.022,68815,7057482.165,0.98,1.08,0.011,47.07
159240,2025-07-09,1.031,1.028,1.034,1.027,30406,3138369.855,0.68,-0.39,-0.004,20.8
159240,2025-07-10,1.03,1.03,1.037,1.029,20508,2115328.213,0.78,0.19,0.002,14.03
159240,2025-07-11,1.025,1.037,1.044,1.025,82060,8508487.189,1.84,0.68,0.007,56.13
159240,2025-07-14,1.042,1.041,1.042,1.035,22310,2318745.333,0.68,0.39,0.004,15.26
159240,2025-07-15,1.04,1.039,1.044,1.032,4769,494508.963,1.15,-0.19,-0.002,3.26
159240,2025-07-16,1.039,1.036,1.043,1.036,14695,1527531.011,0.67,-0.29,-0.003,10.05
159240,2025-07-17,1.045,1.048,1.048,1.043,11403,1192365.005,0.48,1.16,0.012,7.8
159240,2025-07-18,1.054,1.054,1.056,1.051,8160,859745.627,0.48,0.57,0.006,5.58
159240,2025-07-21,1.06,1.062,1.062,1.059,3965,420804.84,0.28,0.76,0.008,2.71
