代码,日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
159338,2024-10-15,0.97,0.932,0.97,0.93,33299869,3152966728.937,4.19,-2.31,-0.022,17.49
159338,2024-10-16,0.92,0.923,0.936,0.916,21592575,1997575364.568,2.15,-0.97,-0.009,11.34
159338,2024-10-17,0.929,0.915,0.937,0.915,16136312,1493868522.47,2.38,-0.87,-0.008,8.47
159338,2024-10-18,0.915,0.952,0.974,0.91,26579691,2485860093.873,6.99,4.04,0.037,13.96
159338,2024-10-21,0.955,0.955,0.968,0.945,27293318,2610266173.096,2.42,0.32,0.003,14.33
159338,2024-10-22,0.955,0.964,0.965,0.95,18129246,1738016402.608,1.57,0.94,0.009,9.52
159338,2024-10-23,0.963,0.965,0.977,0.957,21715136,2099259916.615,2.07,0.1,0.001,11.4
159338,2024-10-24,0.961,0.955,0.962,0.951,19954738,1906622101.182,1.14,-1.04,-0.01,10.48
159338,2024-10-25,0.957,0.965,0.974,0.954,22049608,2126664958.164,2.09,1.05,0.01,11.58
159338,2024-10-28,0.966,0.967,0.968,0.955,28128201,2709825137.624,1.35,0.21,0.002,14.77
159338,2024-10-29,0.968,0.958,0.974,0.958,25968716,2502649311.916,1.65,-0.93,-0.009,13.64
159338,2024-10-30,0.955,0.954,0.961,0.946,33472107,3190506483.43,1.57,-0.42,-0.004,17.58
159338,2024-10-31,0.952,0.955,0.963,0.947,21475469,2051817614.495,1.68,0.1,0.001,11.28
159338,2024-11-01,0.956,0.952,0.964,0.949,22098197,2113892655.807,1.57,-0.31,-0.003,11.61
159338,2024-11-04,0.954,0.966,0.966,0.952,17975903,1722849362.911,1.47,1.47,0.014,9.44
159338,2024-11-05,0.965,0.992,0.994,0.961,30546941,2996963490.886,3.42,2.69,0.026,16.04
159338,2024-11-06,0.993,0.989,1.004,0.983,34316738,3410890296.297,2.12,-0.3,-0.003,18.02
159338,2024-11-07,0.981,1.014,1.014,0.979,29286569,2916041978.593,3.54,2.53,0.025,15.38
