代码,日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
159352,2024-10-15,0.984,0.964,0.993,0.964,16549606,1643983694.844,2.93,-2.63,-0.026,7.49
159352,2024-10-16,0.96,0.96,0.972,0.949,5852619,568518694.224,2.39,-0.41,-0.004,2.65
159352,2024-10-17,0.962,0.948,0.972,0.947,6414518,623039070.743,2.6,-1.25,-0.012,2.9
159352,2024-10-18,0.947,0.984,1.005,0.945,11797890,1154920779.135,6.33,3.8,0.036,5.34
159352,2024-10-21,0.994,0.993,1.004,0.98,8606961,863123166.026,2.44,0.91,0.009,3.9
159352,2024-10-22,0.993,0.998,1.002,0.988,7101758,714557087.093,1.41,0.5,0.005,3.22
159352,2024-10-23,0.999,1.002,1.014,0.993,6761069,685516496.227,2.1,0.4,0.004,3.06
159352,2024-10-24,1.001,0.991,1.001,0.988,7735245,776272513.403,1.3,-1.1,-0.011,3.5
159352,2024-10-25,0.993,1.003,1.011,0.99,9729219,985060325.819,2.12,1.21,0.012,4.41
159352,2024-10-28,1.004,1.007,1.007,0.992,9227165,933708108.33,1.5,0.4,0.004,4.18
159352,2024-10-29,1.008,0.996,1.013,0.995,10172574,1032029324.472,1.79,-1.09,-0.011,4.61
159352,2024-10-30,0.995,0.991,0.998,0.983,11113797,1114560701.955,1.51,-0.5,-0.005,5.03
159352,2024-10-31,0.991,0.993,1.0,0.983,9414075,944564079.188,1.72,0.2,0.002,4.26
159352,2024-11-01,0.989,0.991,1.001,0.986,12474995,1254225996.213,1.51,-0.2,-0.002,5.65
159352,2024-11-04,0.99,1.003,1.004,0.988,8418326,847178761.047,1.61,1.21,0.012,3.81
159352,2024-11-05,1.002,1.031,1.032,0.998,14431628,1483338803.065,3.39,2.79,0.028,6.53
159352,2024-11-06,1.038,1.028,1.044,1.021,13749805,1433777897.576,2.23,-0.29,-0.003,6.23
159352,2024-11-07,1.023,1.054,1.055,1.018,10861452,1137368914.438,3.6,2.53,0.026,4.92
159352,2024-11-08,1.069,1.051,1.072,1.043,11936210,1271255481.178,2.75,-0.28,-0.003,5.4
159352,2024-11-11,1.045,1.058,1.059,1.034,22078444,2337561498.975,2.38,0.67,0.007,10.0
159352,2024-11-12,1.056,1.047,1.071,1.039,12142650,1296432749.387,3.02,-1.04,-0.011,5.5
159352,2024-11-13,1.043,1.049,1.053,1.038,18756893,1981796221.373,1.43,0.19,0.002,8.49
159352,2024-11-14,1.049,1.028,1.05,1.026,20901231,2196667805.577,2.29,-2.0,-0.021,9.46
159352,2024-11-15,1.025,1.009,1.03,1.007,20583370,2127425789.489,2.24,-1.85,-0.019,9.32
159352,2024-11-18,1.014,1.0,1.022,0.995,26054710,2658251372.443,2.68,-0.89,-0.009,11.8
159352,2024-11-19,1.001,1.008,1.009,0.986,21008067,2119105317.007,2.3,0.8,0.008,9.51
159352,2024-11-20,1.006,1.013,1.019,1.002,17864664,1825615580.997,1.69,0.5,0.005,8.09
159352,2024-11-21,1.013,1.015,1.018,1.008,17146913,1755808704.389,0.99,0.2,0.002,7.76
159352,2024-11-22,1.011,0.984,1.015,0.981,23652183,2391437249.412,3.35,-3.05,-0.031,10.71
159352,2024-11-25,0.985,0.978,0.987,0.967,20992419,2077459756.572,2.03,-0.61,-0.006,9.5
159352,2024-11-26,0.978,0.972,0.984,0.972,19313897,1908078071.635,1.23,-0.61,-0.006,8.74
159352,2024-11-27,0.973,0.991,0.992,0.965,19809122,1953449603.148,2.78,1.95,0.019,8.97
159352,2024-11-28,0.989,0.98,0.991,0.98,17537903,1747421814.685,1.11,-1.11,-0.011,7.94
159352,2024-11-29,0.98,0.996,1.004,0.98,20671938,2075710462.913,2.45,1.63,0.016,9.36
159352,2024-12-02,0.995,1.003,1.007,0.99,18785781,1899474390.898,1.71,0.7,0.007,8.51
159352,2024-12-03,1.003,1.003,1.008,0.996,16419740,1661520138.962,1.2,0.0,0.0,7.43
159352,2024-12-04,1.003,0.997,1.005,0.993,16735953,1690437310.584,1.2,-0.6,-0.006,7.58
159352,2024-12-05,0.995,0.997,1.0,0.992,14718918,1482384769.281,0.8,0.0,0.0,6.66
159352,2024-12-06,0.996,1.009,1.016,0.995,19004832,1928949563.224,2.11,1.2,0.012,8.6
159352,2024-12-09,1.008,1.007,1.015,1.001,19326298,1969062657.295,1.39,-0.2,-0.002,8.75
159352,2024-12-10,1.042,1.015,1.049,1.012,22525677,2336899945.14,3.67,0.79,0.008,10.2
159352,2024-12-11,1.013,1.014,1.018,1.011,19173566,1967142302.282,0.69,-0.1,-0.001,8.68
159352,2024-12-12,1.014,1.023,1.025,1.012,21244993,2184947583.807,1.28,0.89,0.009,9.62
159352,2024-12-13,1.019,1.0,1.019,1.0,26355443,2681310894.31,1.86,-2.25,-0.023,11.93
159352,2024-12-16,1.001,0.994,1.002,0.99,20462086,2058504218.888,1.2,-0.6,-0.006,9.26
159352,2024-12-17,0.994,0.993,1.003,0.991,22216395,2237262068.858,1.21,-0.1,-0.001,10.06
159352,2024-12-18,0.995,0.999,1.003,0.995,21755682,2196810069.969,0.81,0.6,0.006,9.85
159352,2024-12-19,0.995,1.002,1.004,0.988,27085457,2729391094.031,1.6,0.3,0.003,12.26
159352,2024-12-20,1.001,1.0,1.006,0.997,23486695,2376616728.736,0.9,-0.2,-0.002,10.63
159352,2024-12-23,0.998,1.0,1.006,0.995,31482445,3188003374.933,1.1,0.0,0.0,14.25
159352,2024-12-24,0.998,1.007,1.009,0.996,32135113,3257596218.443,1.3,0.7,0.007,14.55
159352,2024-12-25,1.007,1.006,1.011,1.001,31944713,3248558360.628,0.99,-0.1,-0.001,14.46
159352,2024-12-26,1.006,1.008,1.01,1.002,28987205,2951095765.8,0.8,0.2,0.002,13.12
159352,2024-12-27,1.008,1.007,1.016,1.005,35786562,3650746903.152,1.09,-0.1,-0.001,16.2
159352,2024-12-30,1.008,1.01,1.013,1.007,32227074,3290343682.667,0.6,0.3,0.003,14.59
159352,2024-12-31,1.011,0.994,1.013,0.993,38765036,3930813182.926,1.98,-1.58,-0.016,17.55
159352,2025-01-02,0.992,0.963,0.994,0.955,37011307,3655642737.553,3.92,-3.12,-0.031,16.76
159352,2025-01-03,0.962,0.95,0.967,0.947,37165778,3606030158.938,2.08,-1.35,-0.013,16.83
159352,2025-01-06,0.951,0.946,0.952,0.94,35487458,3399535778.666,1.26,-0.42,-0.004,16.07
159352,2025-01-07,0.948,0.955,0.955,0.943,34335478,3295221449.649,1.27,0.95,0.009,15.55
159352,2025-01-08,0.952,0.953,0.96,0.936,33534311,3215724576.449,2.51,-0.21,-0.002,15.18
159352,2025-01-09,0.95,0.952,0.956,0.949,32736526,3155875343.948,0.73,-0.1,-0.001,14.82
