代码,日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
159386,2025-02-11,1.002,0.995,1.002,0.993,1523690.0,,,,,
159386,2025-02-12,0.992,1.005,1.008,0.989,1746125.0,,1.909547738693469,1.0050251256281304,0.009999999999999898,
159386,2025-02-13,1.005,1.003,1.011,1.002,1189478.0,,0.8955223880596913,-0.1990049751243783,-0.0020000000000000018,
159386,2025-02-14,1.004,1.012,1.012,1.001,954462.0,,1.0967098703888456,0.897308075772694,0.009000000000000119,
159386,2025-02-17,1.012,1.012,1.015,1.007,786368.0,,0.7905138339920955,0.0,0.0,
159386,2025-02-18,1.011,1.002,1.016,0.999,604089.0,,1.679841897233203,-0.9881422924901194,-0.010000000000000009,
159386,2025-02-19,1.0,1.009,1.012,1.0,555918.0,,1.1976047904191627,0.6986027944111672,0.006999999999999895,
159386,2025-02-20,1.01,1.01,1.013,1.005,825219.0,,0.792864222001983,0.09910802775025887,0.001000000000000112,
159386,2025-02-21,1.014,1.023,1.025,1.01,728840.0,,1.4851485148514756,1.2871287128712774,0.0129999999999999,
159386,2025-02-24,1.023,1.022,1.028,1.015,923124.0,,1.270772238514186,-0.0977517106549257,-0.0009999999999998899,
159386,2025-02-25,1.017,1.012,1.02,1.008,629305.0,,1.1741682974559697,-0.9784735812133081,-0.010000000000000009,
159386,2025-02-26,1.012,1.02,1.021,1.012,718163.0,,0.8893280632410966,0.7905138339920955,0.008000000000000007,
159386,2025-02-27,1.019,1.02,1.022,1.011,456587.0,,1.0784313725490313,0.0,0.0,
159386,2025-02-28,1.016,1.0,1.019,0.997,625788.0,,2.15686274509803,-1.960784313725492,-0.020000000000000018,
159386,2025-03-03,1.001,0.998,1.01,0.996,782256.0,,1.4000000000000012,-0.20000000000000018,-0.0020000000000000018,
159386,2025-03-04,0.994,0.998,1.0,0.991,287541.0,,0.9018036072144295,0.0,0.0,
