代码,日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
159500,2025-08-29,1.011,1.014,1.018,1.005,1679731.0,,,,,
159500,2025-09-01,1.016,1.021,1.023,1.012,806863.0,,1.0848126232741517,0.6903353057199108,0.006999999999999895,
159500,2025-09-02,1.02,1.002,1.024,0.997,421601.0,,2.6444662095984355,-1.8609206660137032,-0.018999999999999906,
159500,2025-09-03,1.005,0.991,1.008,0.987,197086.0,,2.095808383233535,-1.0978043912175657,-0.01100000000000001,
159500,2025-09-04,0.991,0.971,0.996,0.954,253485.0,,4.238143289606462,-2.0181634712411722,-0.020000000000000018,
159500,2025-09-05,0.97,0.996,0.998,0.964,146965.0,,3.50154479917611,2.5746652935118455,0.025000000000000022,
159500,2025-09-08,0.997,1.005,1.009,0.992,211853.0,,1.7068273092369382,0.903614457831315,0.008999999999999897,
159500,2025-09-09,1.005,1.001,1.007,0.992,119855.0,,1.4925373134328264,-0.3980099502487566,-0.0040000000000000036,
159500,2025-09-10,1.0,0.998,1.005,0.991,132514.0,,1.398601398601389,-0.2997002997002889,-0.0029999999999998916,
159500,2025-09-11,0.994,1.026,1.027,0.992,765643.0,,3.507014028056104,2.805611222444892,0.028000000000000025,
159500,2025-09-12,1.029,1.03,1.038,1.024,680669.0,,1.3645224171539971,0.3898635477582849,0.0040000000000000036,
159500,2025-09-15,1.033,1.029,1.035,1.028,262349.0,,0.6796116504854267,-0.09708737864078756,-0.001000000000000112,
159500,2025-09-16,1.028,1.036,1.038,1.022,424729.0,,1.5549076773566584,0.6802721088435488,0.007000000000000117,
159500,2025-09-17,1.035,1.046,1.048,1.032,313282.0,,1.5444015444015458,0.9652509652509661,0.010000000000000009,
159500,2025-09-18,1.042,1.039,1.06,1.029,396768.0,,2.9636711281070878,-0.6692160611854796,-0.007000000000000117,
159500,2025-09-19,1.039,1.037,1.044,1.032,116869.0,,1.154956689124159,-0.19249278152069316,-0.0020000000000000018,
159500,2025-09-22,1.035,1.043,1.043,1.03,126053.0,,1.2536162005785827,0.5785920925747354,0.006000000000000005,
159500,2025-09-23,1.044,1.037,1.052,1.017,360238.0,,3.355704697986591,-0.5752636625119852,-0.006000000000000005,
159500,2025-09-24,1.035,1.058,1.06,1.033,164952.0,,2.60366441658632,2.0250723240115844,0.02100000000000013,
159500,2025-09-25,1.058,1.061,1.065,1.057,110533.0,,0.7561436672967871,0.2835538752362846,0.0029999999999998916,
159500,2025-09-26,1.06,1.047,1.064,1.047,96287.0,,1.6022620169651391,-1.3195098963242236,-0.014000000000000012,
159500,2025-09-29,1.048,1.063,1.069,1.044,154326.0,,2.387774594078311,1.5281757402101257,0.016000000000000014,
159500,2025-09-30,1.07,1.073,1.076,1.055,94317.0,,1.9755409219191091,0.940733772342428,0.010000000000000009,
159500,2025-10-09,1.077,1.09,1.093,1.076,94644.0,,1.5843429636532995,1.5843429636533204,0.017000000000000126,
159500,2025-10-10,1.099,1.068,1.099,1.068,135396.0,,2.8440366972476987,-2.0183486238532127,-0.02200000000000002,
159500,2025-10-13,1.044,1.065,1.068,1.039,92022.0,,2.7153558052434583,-0.280898876404505,-0.0030000000000001137,
159500,2025-10-14,1.069,1.041,1.08,1.037,145356.0,,4.037558685446023,-2.2535211267605657,-0.02400000000000002,
159500,2025-10-15,1.039,1.055,1.056,1.036,85589.0,,1.9212295869356406,1.3448607108549484,0.014000000000000012,
159500,2025-10-16,1.052,1.046,1.056,1.042,82086.0,,1.32701421800948,-0.8530805687203694,-0.008999999999999897,
159500,2025-10-17,1.045,1.016,1.05,1.016,88450.0,,3.2504780114722784,-2.8680688336520097,-0.030000000000000027,
159500,2025-10-20,1.029,1.022,1.032,1.018,67258.0,,1.377952755905513,0.5905511811023627,0.006000000000000005,
159500,2025-10-21,1.022,1.039,1.042,1.022,90317.0,,1.9569471624266161,1.6634050880626128,0.016999999999999904,
159500,2025-10-22,1.037,1.029,1.038,1.028,67833.0,,0.9624639076034659,-0.9624639076034659,-0.010000000000000009,
159500,2025-10-23,1.029,1.031,1.035,1.018,102948.0,,1.652089407191439,0.1943634596695823,0.0020000000000000018,
159500,2025-10-24,1.036,1.046,1.05,1.036,130356.0,,1.3579049466537354,1.4548981571290132,0.015000000000000124,
159500,2025-10-27,1.053,1.07,1.07,1.053,133478.0,,1.6252390057361497,2.294455066921608,0.02400000000000002,
159500,2025-10-28,1.063,1.064,1.072,1.058,124231.0,,1.308411214953272,-0.5607476635514024,-0.006000000000000005,
