代码,日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
159845,2021-03-31,2.396,2.403,2.411,2.392,1279985,80963777.0,0.79,-0.5,-0.012,7.51
159845,2021-04-01,2.407,2.426,2.43,2.407,879884,56042720.0,0.96,0.96,0.023,5.16
159845,2021-04-02,2.43,2.434,2.445,2.422,629428,40371500.0,0.95,0.33,0.008,3.69
159845,2021-04-06,2.445,2.457,2.464,2.422,635956,41051835.0,1.73,0.94,0.023,3.73
159845,2021-04-07,2.457,2.453,2.457,2.438,402043,25880907.0,0.77,-0.16,-0.004,2.36
159845,2021-04-08,2.457,2.453,2.468,2.441,487412,31490250.0,1.1,0.0,0.0,2.86
159845,2021-04-09,2.457,2.453,2.457,2.441,462566,29827411.0,0.65,0.0,0.0,2.71
159845,2021-04-12,2.464,2.403,2.464,2.396,697597,44483534.0,2.77,-2.04,-0.05,4.09
159845,2021-04-13,2.403,2.384,2.403,2.381,495445,31259474.0,0.92,-0.79,-0.019,2.91
159845,2021-04-14,2.384,2.422,2.422,2.384,670668,42444177.0,1.59,1.59,0.038,3.93
159845,2021-04-15,2.415,2.407,2.415,2.396,567516,35935468.0,0.78,-0.62,-0.015,3.33
159845,2021-04-16,2.407,2.438,2.441,2.407,537989,34442822.0,1.41,1.29,0.031,3.16
159845,2021-04-19,2.434,2.476,2.479,2.434,717947,46681035.0,1.85,1.56,0.038,4.21
159845,2021-04-20,2.472,2.476,2.491,2.445,716010,46800127.0,1.86,0.0,0.0,4.2
159845,2021-04-21,2.472,2.472,2.479,2.449,731939,47593618.0,1.21,-0.16,-0.004,4.29
159845,2021-04-22,2.476,2.476,2.483,2.472,812759,53068654.0,0.44,0.16,0.004,4.77
159845,2021-04-23,2.476,2.476,2.479,2.46,764230,49693615.0,0.77,0.0,0.0,4.48
159845,2021-04-26,2.476,2.468,2.498,2.464,723105,47304503.0,1.37,-0.32,-0.008,4.24
159845,2021-04-27,2.468,2.445,2.468,2.43,782388,50302239.0,1.54,-0.93,-0.023,4.59
159845,2021-04-28,2.445,2.46,2.468,2.441,807076,52285699.0,1.1,0.61,0.015,4.74
159845,2021-04-29,2.457,2.457,2.472,2.453,711249,46124736.0,0.77,-0.12,-0.003,4.17
159845,2021-04-30,2.453,2.449,2.453,2.434,827003,53278452.0,0.77,-0.33,-0.008,4.85
159845,2021-05-06,2.453,2.457,2.46,2.434,780473,50400812.0,1.06,0.33,0.008,4.58
159845,2021-05-07,2.457,2.43,2.46,2.426,703749,45274220.0,1.38,-1.1,-0.027,4.13
159845,2021-05-10,2.43,2.422,2.441,2.419,797727,50978340.0,0.91,-0.33,-0.008,4.68
159845,2021-05-11,2.422,2.438,2.441,2.4,807688,51578122.0,1.69,0.66,0.016,4.74
159845,2021-05-12,2.434,2.468,2.472,2.422,820396,52873015.0,2.05,1.23,0.03,4.81
159845,2021-05-13,2.445,2.453,2.472,2.438,740963,47946344.0,1.38,-0.61,-0.015,4.35
159845,2021-05-14,2.453,2.479,2.487,2.449,857310,55834400.0,1.55,1.06,0.026,5.03
159845,2021-05-17,2.483,2.476,2.495,2.472,899258,58819854.0,0.93,-0.12,-0.003,5.28
159845,2021-05-18,2.479,2.495,2.495,2.472,731086,47883446.0,0.93,0.77,0.019,4.29
159845,2021-05-19,2.495,2.495,2.498,2.476,896855,58910390.0,0.88,0.0,0.0,5.26
159845,2021-05-20,2.498,2.495,2.502,2.479,897323,58858046.0,0.92,0.0,0.0,5.26
159845,2021-05-21,2.498,2.495,2.506,2.491,737925,48526872.0,0.6,0.0,0.0,4.33
159845,2021-05-24,2.487,2.525,2.525,2.487,772735,50980404.0,1.52,1.2,0.03,4.53
159845,2021-05-25,2.525,2.544,2.551,2.521,748996,50063415.0,1.19,0.75,0.019,4.39
159845,2021-05-26,2.548,2.567,2.57,2.544,745427,50350406.0,1.02,0.9,0.023,4.37
159845,2021-05-27,2.567,2.589,2.589,2.559,747748,50875619.0,1.17,0.86,0.022,4.39
159845,2021-05-28,2.593,2.593,2.605,2.578,927347,63300910.0,1.04,0.15,0.004,5.44
159845,2021-05-31,2.593,2.631,2.631,2.593,802192,55265408.0,1.47,1.47,0.038,4.71
159845,2021-06-01,2.631,2.65,2.658,2.616,818111,56786881.0,1.6,0.72,0.019,4.8
159845,2021-06-02,2.65,2.624,2.65,2.616,791870,54861326.0,1.28,-0.98,-0.026,4.65
159845,2021-06-03,2.608,2.624,2.643,2.608,825522,57188974.0,1.33,0.0,0.0,4.84
159845,2021-06-04,2.62,2.635,2.639,2.605,870283,60250426.0,1.3,0.42,0.011,5.11
159845,2021-06-07,2.631,2.665,2.669,2.627,797949,55757024.0,1.59,1.14,0.03,4.68
159845,2021-06-08,2.669,2.646,2.681,2.639,712742,49817980.0,1.58,-0.71,-0.019,4.18
159845,2021-06-09,2.631,2.654,2.654,2.631,744542,51880704.0,0.87,0.3,0.008,4.37
159845,2021-06-10,2.654,2.688,2.688,2.643,750992,52789799.0,1.7,1.28,0.034,4.41
159845,2021-06-11,2.688,2.669,2.692,2.665,708763,49927003.0,1.0,-0.71,-0.019,4.16
159845,2021-06-15,2.669,2.654,2.673,2.643,807924,56500922.0,1.12,-0.56,-0.015,4.74
159845,2021-06-16,2.654,2.601,2.654,2.593,739951,51059394.0,2.3,-2.0,-0.053,4.34
159845,2021-06-17,2.597,2.646,2.65,2.597,808364,55977357.0,2.04,1.73,0.045,4.74
159845,2021-06-18,2.658,2.669,2.673,2.639,768872,53870080.0,1.28,0.87,0.023,4.51
159845,2021-06-21,2.65,2.711,2.715,2.65,674255,47975458.0,2.44,1.57,0.042,3.96
159845,2021-06-22,2.711,2.734,2.81,2.707,715205,51329112.0,3.8,0.85,0.023,4.2
159845,2021-06-23,2.734,2.753,2.757,2.722,660667,47705219.0,1.28,0.69,0.019,3.88
159845,2021-06-24,2.753,2.726,2.757,2.722,739414,53203528.0,1.27,-0.98,-0.027,4.34
159845,2021-06-25,2.726,2.738,2.741,2.711,813770,58483303.0,1.1,0.44,0.012,4.77
159845,2021-06-28,2.749,2.757,2.764,2.734,650318,47160176.0,1.1,0.69,0.019,3.82
159845,2021-06-29,2.753,2.741,2.764,2.734,637695,46121732.0,1.09,-0.58,-0.016,3.74
159845,2021-06-30,2.741,2.768,2.772,2.741,590132,42856212.0,1.13,0.99,0.027,3.46
159845,2021-07-01,2.768,2.726,2.772,2.722,666551,48349921.0,1.81,-1.52,-0.042,3.91
159845,2021-07-02,2.719,2.707,2.722,2.703,556089,39727829.0,0.7,-0.7,-0.019,3.26
159845,2021-07-05,2.703,2.734,2.738,2.703,628388,45082722.0,1.29,1.0,0.027,3.69
159845,2021-07-06,2.734,2.738,2.757,2.7,843769,60710574.0,2.08,0.15,0.004,4.95
159845,2021-07-07,2.726,2.779,2.783,2.715,745577,54002988.0,2.48,1.5,0.041,4.37
159845,2021-07-08,2.791,2.794,2.798,2.783,760299,55881347.0,0.54,0.54,0.015,4.46
159845,2021-07-09,2.794,2.81,2.817,2.753,594534,43504647.0,2.29,0.57,0.016,3.49
159845,2021-07-12,2.798,2.867,2.867,2.798,623728,46795280.0,2.46,2.03,0.057,3.66
159845,2021-07-13,2.859,2.878,2.882,2.851,643681,48594718.0,1.08,0.38,0.011,3.78
159845,2021-07-14,2.878,2.848,2.878,2.844,766541,57720666.0,1.18,-1.04,-0.03,4.5
159845,2021-07-15,2.848,2.836,2.848,2.791,661705,49226334.0,2.0,-0.42,-0.012,3.88
159845,2021-07-16,2.832,2.844,2.87,2.829,751093,56397601.0,1.45,0.28,0.008,4.41
159845,2021-07-19,2.844,2.829,2.851,2.821,659519,49258923.0,1.05,-0.53,-0.015,3.87
159845,2021-07-20,2.825,2.848,2.848,2.81,654484,48849713.0,1.34,0.67,0.019,3.84
159845,2021-07-21,2.848,2.908,2.916,2.848,751849,57353672.0,2.39,2.11,0.06,4.41
159845,2021-07-22,2.897,2.927,2.927,2.889,609732,46729490.0,1.31,0.65,0.019,3.58
159845,2021-07-23,2.924,2.912,2.943,2.893,947811,72867918.0,1.71,-0.51,-0.015,5.56
159845,2021-07-26,2.908,2.882,2.924,2.821,723648,55098762.0,3.54,-1.03,-0.03,4.25
159845,2021-07-27,2.867,2.813,2.905,2.81,775209,58694540.0,3.3,-2.39,-0.069,4.55
159845,2021-07-28,2.76,2.741,2.81,2.669,982490,71060009.0,5.01,-2.56,-0.072,5.76
159845,2021-07-29,2.757,2.836,2.851,2.757,764004,56764154.0,3.43,3.47,0.095,4.48
159845,2021-07-30,2.84,2.867,2.87,2.821,729677,54694059.0,1.73,1.09,0.031,4.28
159845,2021-08-02,2.886,2.927,2.927,2.867,541404,41273818.0,2.09,2.09,0.06,3.18
159845,2021-08-03,2.912,2.889,2.931,2.878,613389,46994094.0,1.81,-1.3,-0.038,3.6
159845,2021-08-04,2.886,2.95,2.95,2.886,653373,50226320.0,2.22,2.11,0.061,3.83
159845,2021-08-05,2.95,2.946,2.958,2.916,592093,45800013.0,1.42,-0.14,-0.004,3.47
159845,2021-08-06,2.946,2.954,2.958,2.927,511668,39654461.0,1.05,0.27,0.008,3.0
159845,2021-08-09,2.946,2.954,2.962,2.916,577068,44681202.0,1.56,0.0,0.0,3.39
159845,2021-08-10,2.946,2.981,2.981,2.946,602049,47068712.0,1.18,0.91,0.027,3.53
159845,2021-08-11,2.984,3.007,3.007,2.962,528425,41560885.0,1.51,0.87,0.026,3.1
159845,2021-08-12,3.007,3.03,3.037,2.996,651953,51868416.0,1.36,0.76,0.023,3.83
159845,2021-08-13,3.03,3.03,3.056,3.007,685100,54713640.0,1.62,0.0,0.0,4.02
159845,2021-08-16,3.03,2.992,3.03,2.981,518153,40947236.0,1.62,-1.25,-0.038,3.04
159845,2021-08-17,2.992,2.924,2.996,2.905,686725,53481174.0,3.04,-2.27,-0.068,4.03
159845,2021-08-18,2.92,2.939,2.954,2.905,729655,56244537.0,1.68,0.51,0.015,4.28
159845,2021-08-19,2.916,2.962,2.977,2.905,657737,50989781.0,2.45,0.78,0.023,3.86
159845,2021-08-20,2.95,2.962,2.973,2.92,630450,48897789.0,1.79,0.0,0.0,3.7
159845,2021-08-23,2.958,3.03,3.037,2.954,469141,37134885.0,2.8,2.3,0.068,2.75
159845,2021-08-24,3.034,3.056,3.064,3.018,656763,52716419.0,1.52,0.86,0.026,3.85
159845,2021-08-25,3.056,3.079,3.079,3.037,507821,40876220.0,1.37,0.75,0.023,2.98
159845,2021-08-26,3.075,3.041,3.079,3.037,629746,50650179.0,1.36,-1.23,-0.038,3.69
159845,2021-08-27,3.022,3.045,3.049,3.003,509968,40714169.0,1.51,0.13,0.004,2.99
159845,2021-08-30,3.053,3.056,3.087,3.045,742230,59907826.0,1.38,0.36,0.011,4.35
159845,2021-08-31,3.053,3.06,3.064,3.03,595512,47821411.0,1.11,0.13,0.004,3.49
159845,2021-09-01,3.06,3.011,3.068,2.969,824074,65538740.0,3.24,-1.6,-0.049,4.83
159845,2021-09-02,3.011,3.049,3.049,2.992,711306,56816258.0,1.89,1.26,0.038,4.17
159845,2021-09-03,3.075,3.015,3.087,2.988,813447,64945379.0,3.25,-1.12,-0.034,4.77
159845,2021-09-06,3.015,3.056,3.056,2.984,718932,57456185.0,2.39,1.36,0.041,4.22
159845,2021-09-07,3.056,3.121,3.125,3.049,576609,47071188.0,2.49,2.13,0.065,3.38
159845,2021-09-08,3.125,3.129,3.136,3.113,563219,46381246.0,0.74,0.26,0.008,3.3
159845,2021-09-09,3.113,3.129,3.14,3.106,474638,38997669.0,1.09,0.0,0.0,2.78
159845,2021-09-10,3.129,3.144,3.148,3.102,528935,43579205.0,1.47,0.48,0.015,3.1
159845,2021-09-13,3.144,3.144,3.155,3.125,525408,43426801.0,0.95,0.0,0.0,3.08
159845,2021-09-14,3.136,3.136,3.189,3.125,856855,71280858.0,2.04,-0.25,-0.008,5.03
159845,2021-09-15,3.132,3.167,3.167,3.117,783048,64972485.0,1.59,0.99,0.031,4.59
159845,2021-09-16,3.167,3.075,3.17,3.068,697059,57159222.0,3.22,-2.9,-0.092,4.09
159845,2021-09-17,3.049,3.068,3.091,3.007,794264,63932451.0,2.73,-0.23,-0.007,4.66
159845,2021-09-22,3.03,3.083,3.087,3.03,1346541,108861161.0,1.86,0.49,0.015,7.9
159845,2021-09-23,3.094,3.102,3.113,3.087,782436,63918430.0,0.84,0.62,0.019,4.59
159845,2021-09-24,3.098,3.053,3.098,3.049,814195,66028920.0,1.58,-1.58,-0.049,4.78
159845,2021-09-27,3.041,2.958,3.064,2.931,1068034,83843630.0,4.36,-3.11,-0.095,6.27
159845,2021-09-28,2.958,2.954,2.973,2.939,812502,63308331.0,1.15,-0.14,-0.004,4.77
159845,2021-09-29,2.935,2.859,2.935,2.851,941712,71687903.0,2.84,-3.22,-0.095,5.53
159845,2021-09-30,2.848,2.935,2.939,2.848,889329,68211331.0,3.18,2.66,0.076,5.22
159845,2021-10-08,2.958,2.943,2.981,2.92,899643,69658923.0,2.08,0.27,0.008,5.28
