代码,日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
159919,2012-05-28,1.834,1.909,1.909,1.834,10791993,1037835056.0,4.0,1.87,0.035,8.76
159919,2012-05-29,1.902,1.935,1.945,1.89,9190081,906887920.0,2.88,1.36,0.026,7.46
159919,2012-05-30,1.931,1.926,1.935,1.919,6609748,654616416.0,0.83,-0.47,-0.009,5.37
159919,2012-05-31,1.916,1.921,1.935,1.907,5799638,573000928.0,1.45,-0.26,-0.005,4.71
159919,2012-06-01,1.923,1.926,1.947,1.909,5337339,530106192.0,1.98,0.26,0.005,4.33
159919,2012-06-04,1.898,1.858,1.9,1.853,3961813,383758560.0,2.44,-3.53,-0.068,3.22
159919,2012-06-05,1.86,1.86,1.872,1.853,2088267,201017246.0,1.02,0.11,0.002,1.7
159919,2012-06-06,1.862,1.855,1.872,1.848,1800263,173265290.0,1.29,-0.27,-0.005,1.46
159919,2012-06-07,1.874,1.843,1.879,1.839,1412919,135994330.0,2.16,-0.65,-0.012,1.15
159919,2012-06-08,1.858,1.836,1.86,1.834,1807728,172665966.0,1.41,-0.38,-0.007,1.47
159919,2012-06-11,1.843,1.867,1.876,1.839,1676938,161155481.0,2.02,1.69,0.031,1.36
159919,2012-06-12,1.855,1.848,1.862,1.843,1290926,123667890.0,1.02,-1.02,-0.019,1.05
159919,2012-06-13,1.855,1.883,1.886,1.85,1739754,168169043.0,1.95,1.89,0.035,1.41
159919,2012-06-14,1.879,1.872,1.893,1.867,1037104,100668155.0,1.38,-0.58,-0.011,0.84
159919,2012-06-15,1.876,1.879,1.888,1.855,1197439,115863863.0,1.76,0.37,0.007,0.97
159919,2012-06-18,1.886,1.89,1.902,1.883,1052609,102665209.0,1.01,0.59,0.011,0.85
159919,2012-06-19,1.888,1.874,1.888,1.872,1023907,99325116.0,0.85,-0.85,-0.016,0.83
159919,2012-06-20,1.879,1.872,1.888,1.869,1212306,117470116.0,1.01,-0.11,-0.002,0.98
159919,2012-06-21,1.867,1.841,1.867,1.825,1953910,186405610.0,2.24,-1.66,-0.031,1.59
159919,2012-06-25,1.834,1.794,1.834,1.789,3617296,340486896.0,2.44,-2.55,-0.047,2.94
159919,2012-06-26,1.784,1.792,1.796,1.777,1848549,172067382.0,1.06,-0.11,-0.002,1.5
159919,2012-06-27,1.789,1.784,1.803,1.78,1187684,110728407.0,1.28,-0.45,-0.008,0.96
159919,2012-06-28,1.787,1.77,1.794,1.77,1249316,115961113.0,1.35,-0.78,-0.014,1.01
159919,2012-06-29,1.766,1.796,1.799,1.763,1754450,163125882.0,2.03,1.47,0.026,1.42
159919,2012-07-02,1.808,1.796,1.808,1.789,1515876,141858012.0,1.06,0.0,0.0,1.23
159919,2012-07-03,1.799,1.801,1.825,1.794,1036721,97423672.0,1.73,0.28,0.005,0.84
159919,2012-07-04,1.803,1.803,1.815,1.794,1255060,117714492.0,1.17,0.11,0.002,1.02
159919,2012-07-05,1.794,1.775,1.794,1.766,2357108,218136528.0,1.55,-1.55,-0.028,1.91
159919,2012-07-06,1.78,1.81,1.82,1.768,2291533,213603659.0,2.93,1.97,0.035,1.86
159919,2012-07-09,1.801,1.768,1.808,1.766,1253154,116563977.0,2.32,-2.32,-0.042,1.02
159919,2012-07-10,1.766,1.759,1.77,1.754,1591303,146306706.0,0.9,-0.51,-0.009,1.29
159919,2012-07-11,1.754,1.77,1.773,1.752,1528666,140696557.0,1.19,0.63,0.011,1.24
159919,2012-07-12,1.766,1.782,1.799,1.752,2382206,220699365.0,2.66,0.68,0.012,1.93
159919,2012-07-13,1.784,1.792,1.806,1.782,1938186,180812359.0,1.35,0.56,0.01,1.57
159919,2012-07-16,1.796,1.756,1.799,1.752,1412247,130270795.0,2.62,-2.01,-0.036,1.15
159919,2012-07-17,1.754,1.763,1.766,1.752,1450592,133259596.0,0.8,0.4,0.007,1.18
159919,2012-07-18,1.761,1.759,1.768,1.728,2629543,240677353.0,2.27,-0.23,-0.004,2.14
159919,2012-07-19,1.756,1.77,1.787,1.749,1600839,148210835.0,2.16,0.63,0.011,1.3
159919,2012-07-20,1.763,1.749,1.766,1.747,2015908,185112780.0,1.07,-1.19,-0.021,1.64
159919,2012-07-23,1.737,1.719,1.737,1.714,1646673,148704174.0,1.32,-1.72,-0.03,1.34
159919,2012-07-24,1.714,1.726,1.74,1.711,2002127,181144254.0,1.69,0.41,0.007,1.63
159919,2012-07-25,1.721,1.714,1.733,1.711,1300111,117388858.0,1.27,-0.7,-0.012,1.06
159919,2012-07-26,1.716,1.707,1.726,1.702,1564232,140877547.0,1.4,-0.41,-0.007,1.27
159919,2012-07-27,1.714,1.707,1.719,1.7,1752271,157325071.0,1.11,0.0,0.0,1.42
159919,2012-07-30,1.709,1.7,1.719,1.695,1281801,115099096.0,1.41,-0.41,-0.007,1.04
159919,2012-07-31,1.7,1.697,1.707,1.693,1849770,165349023.0,0.82,-0.18,-0.003,1.5
159919,2012-08-01,1.7,1.709,1.721,1.697,1453933,130615151.0,1.41,0.71,0.012,1.18
159919,2012-08-02,1.707,1.693,1.711,1.686,1797998,160587615.0,1.46,-0.94,-0.016,1.46
159919,2012-08-03,1.697,1.707,1.707,1.69,1172943,104803447.0,1.0,0.83,0.014,0.95
159919,2012-08-06,1.704,1.733,1.737,1.702,1749597,158061387.0,2.05,1.52,0.026,1.42
159919,2012-08-07,1.735,1.733,1.737,1.73,1566219,142345196.0,0.4,0.0,0.0,1.27
159919,2012-08-08,1.737,1.735,1.752,1.733,1666587,151970610.0,1.1,0.12,0.002,1.35
159919,2012-08-09,1.735,1.759,1.761,1.73,1766550,161484120.0,1.79,1.38,0.024,1.43
159919,2012-08-10,1.759,1.752,1.761,1.749,1019006,93525896.0,0.68,-0.4,-0.007,0.83
159919,2012-08-13,1.747,1.714,1.747,1.711,1785219,161751303.0,2.05,-2.17,-0.038,1.45
159919,2012-08-14,1.714,1.714,1.716,1.683,2235893,199828997.0,1.93,0.0,0.0,1.82
159919,2012-08-15,1.707,1.693,1.707,1.688,1580662,141010842.0,1.11,-1.23,-0.021,1.28
159919,2012-08-16,1.69,1.683,1.695,1.681,2089183,185635181.0,0.83,-0.59,-0.01,1.7
159919,2012-08-17,1.686,1.674,1.686,1.66,2935066,258703258.0,1.54,-0.53,-0.009,2.38
159919,2012-08-20,1.66,1.66,1.669,1.62,2064836,180241621.0,2.93,-0.84,-0.014,1.68
159919,2012-08-21,1.657,1.671,1.69,1.657,1676466,148102390.0,1.99,0.66,0.011,1.36
159919,2012-08-22,1.674,1.655,1.674,1.65,1176882,103242755.0,1.44,-0.96,-0.016,0.96
159919,2012-08-23,1.657,1.664,1.674,1.65,1370635,120331509.0,1.45,0.54,0.009,1.11
159919,2012-08-24,1.66,1.643,1.66,1.641,1166691,101745401.0,1.14,-1.26,-0.021,0.95
159919,2012-08-27,1.636,1.601,1.636,1.601,2139904,183458386.0,2.13,-2.56,-0.042,1.74
159919,2012-08-28,1.596,1.603,1.615,1.591,1662090,141792587.0,1.5,0.12,0.002,1.35
159919,2012-08-29,1.594,1.587,1.605,1.582,1896206,160841440.0,1.43,-1.0,-0.016,1.54
159919,2012-08-30,1.582,1.575,1.589,1.563,2540197,213999832.0,1.64,-0.76,-0.012,2.06
159919,2012-08-31,1.572,1.577,1.584,1.572,1613108,135926481.0,0.76,0.13,0.002,1.31
159919,2012-09-03,1.57,1.594,1.598,1.565,2288365,193714424.0,2.09,1.08,0.017,1.86
159919,2012-09-04,1.596,1.575,1.598,1.57,1236977,104686842.0,1.76,-1.19,-0.019,1.0
159919,2012-09-05,1.57,1.57,1.577,1.563,1036934,86996107.0,0.89,-0.32,-0.005,0.84
159919,2012-09-06,1.572,1.587,1.589,1.57,1430701,120578423.0,1.21,1.08,0.017,1.16
159919,2012-09-07,1.598,1.683,1.709,1.598,6769212,591823536.0,6.99,6.05,0.096,5.5
159919,2012-09-10,1.686,1.686,1.693,1.674,2054509,182275455.0,1.13,0.18,0.003,1.67
159919,2012-09-11,1.678,1.674,1.678,1.655,2635306,231467760.0,1.36,-0.71,-0.012,2.14
159919,2012-09-12,1.686,1.678,1.7,1.66,1931670,170872572.0,2.39,0.24,0.004,1.57
