代码,日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
159922,2014-05-23,1.175,1.184,1.184,1.171,927.0,,,,,
159922,2014-05-26,1.186,1.2,1.2,1.186,869.0,,1.1824324324324336,1.3513513513513526,0.016,
159922,2014-05-27,1.198,1.197,1.204,1.196,1244.0,,0.6666666666666673,-0.2499999999999909,-0.0029999999999998,
159922,2014-05-28,1.195,1.208,1.211,1.195,1993.0,,1.3366750208855482,0.9189640768588052,0.0109999999999998,
159922,2014-05-29,1.21,1.2,1.215,1.199,420.0,,1.3245033112582794,-0.6622516556291397,-0.008,
159922,2014-05-30,1.199,1.199,1.202,1.191,2694.0,,0.9166666666666584,-0.0833333333333241,-0.0009999999999998,
159922,2014-06-03,1.2,1.199,1.203,1.199,360.0,,0.333611342785655,0.0,0.0,
159922,2014-06-04,1.197,1.181,1.197,1.176,1729.0,,1.751459549624698,-1.5012510425354475,-0.018,
159922,2014-06-05,1.183,1.197,1.197,1.183,807.0,,1.1854360711261651,1.354784081287046,0.016,
159922,2014-06-06,1.199,1.195,1.202,1.192,429.0,,0.8354218880534676,-0.1670843776106935,-0.002,
159922,2014-06-09,1.194,1.192,1.2,1.192,736.0,,0.6694560669456072,-0.251046025104612,-0.0030000000000001,
159922,2014-06-10,1.194,1.203,1.203,1.186,206.0,,1.426174496644306,0.9228187919463188,0.0110000000000001,
159922,2014-06-11,1.202,1.208,1.208,1.201,763.0,,0.5818786367414709,0.4156275976724765,0.0049999999999998,
159922,2014-06-12,1.206,1.21,1.212,1.203,20997.0,,0.7450331125827729,0.1655629139072849,0.002,
159922,2014-06-13,1.212,1.229,1.229,1.212,5321.0,,1.4049586776859608,1.570247933884308,0.0190000000000001,
159922,2014-06-16,1.23,1.237,1.237,1.23,660.0,,0.5695687550854448,0.6509357200976409,0.008,
159922,2014-06-17,1.235,1.224,1.235,1.224,1381.0,,0.8892481810832755,-1.0509296685529603,-0.0130000000000001,
159922,2014-06-18,1.222,1.218,1.225,1.215,2744.0,,0.8169934640522883,-0.490196078431373,-0.006,
159922,2014-06-19,1.216,1.181,1.216,1.181,1398.0,,2.8735632183907978,-3.0377668308702725,-0.0369999999999999,
159922,2014-06-20,1.181,1.193,1.194,1.181,2078.0,,1.1007620660457156,1.0160880609652845,0.012,
159922,2014-06-23,1.195,1.199,1.204,1.195,1499.0,,0.7544006705783651,0.502933780385583,0.006,
159922,2014-06-24,1.201,1.211,1.211,1.201,1605.0,,0.8340283569641375,1.000834028356965,0.012,
159922,2014-06-25,1.211,1.202,1.211,1.196,922.0,,1.2386457473162775,-0.7431874483897702,-0.0090000000000001,
159922,2014-06-26,1.201,1.216,1.218,1.2,700.0,,1.4975041597337784,1.1647254575707164,0.014,
159922,2014-06-27,1.215,1.232,1.233,1.215,1204.0,,1.480263157894738,1.3157894736842115,0.016,
159922,2014-06-30,1.231,1.239,1.24,1.228,1353.0,,0.9740259740259748,0.5681818181818278,0.0070000000000001,
159922,2014-07-01,1.239,1.247,1.247,1.239,2436.0,,0.6456820016142055,0.6456820016142055,0.008,
159922,2014-07-02,1.247,1.257,1.257,1.246,1744.0,,0.8821170809943784,0.8019246190857887,0.0099999999999997,
159922,2014-07-03,1.258,1.274,1.274,1.258,3288.0,,1.2728719172633267,1.3524264120922935,0.0170000000000001,
159922,2014-07-04,1.274,1.266,1.274,1.265,2708.0,,0.7064364207221443,-0.6279434850863428,-0.008,
159922,2014-07-07,1.268,1.271,1.274,1.266,976.0,,0.6319115323854665,0.3949447077409078,0.0049999999999998,
159922,2014-07-08,1.269,1.278,1.283,1.263,2375.0,,1.573564122738003,0.5507474429583098,0.0070000000000001,
159922,2014-07-09,1.279,1.265,1.282,1.265,1329.0,,1.330203442879509,-1.0172143974960972,-0.0130000000000001,
159922,2014-07-10,1.265,1.261,1.269,1.26,1647.0,,0.7114624505928773,-0.3162055335968382,-0.004,
159922,2014-07-11,1.262,1.276,1.281,1.262,2244.0,,1.5067406819984066,1.189532117367179,0.0150000000000001,
159922,2014-07-14,1.278,1.3,1.301,1.278,2051.0,,1.8025078369905885,1.8808777429467096,0.024,
159922,2014-07-15,1.3,1.296,1.301,1.292,1171.0,,0.6923076923076843,-0.3076923076923079,-0.004,
159922,2014-07-16,1.298,1.287,1.305,1.282,6577.0,,1.7746913580246844,-0.6944444444444536,-0.0090000000000001,
159922,2014-07-17,1.286,1.276,1.286,1.274,572.0,,0.9324009324009332,-0.8547008547008468,-0.0109999999999998,
159922,2014-07-18,1.274,1.279,1.29,1.274,791.0,,1.2539184952978069,0.23510971786833,0.0029999999999998,
159922,2014-07-21,1.28,1.276,1.281,1.273,1775.0,,0.6254886630179834,-0.2345582486317351,-0.0029999999999998,
159922,2014-07-22,1.278,1.295,1.3,1.278,1306.0,,1.7241379310344842,1.489028213166137,0.0189999999999999,
159922,2014-07-23,1.295,1.288,1.3,1.288,1456.0,,0.9266409266409276,-0.5405405405405325,-0.0069999999999998,
159922,2014-07-24,1.29,1.284,1.298,1.279,2965.0,,1.4751552795031155,-0.3105590062111804,-0.004,
159922,2014-07-25,1.286,1.297,1.297,1.286,1854.0,,0.8566978193146338,1.0124610591900234,0.0129999999999999,
159922,2014-07-28,1.301,1.325,1.332,1.301,7862.0,,2.390131071703943,2.158828064764844,0.028,
159922,2014-07-29,1.331,1.339,1.345,1.331,8835.0,,1.0566037735849063,1.0566037735849063,0.014,
159922,2014-07-30,1.348,1.346,1.348,1.333,3051.0,,1.1202389843166636,0.522778192681114,0.0070000000000001,
159922,2014-07-31,1.346,1.358,1.358,1.346,2741.0,,0.8915304606240719,0.8915304606240719,0.012,
159922,2014-08-01,1.369,1.349,1.369,1.337,1343.0,,2.356406480117822,-0.6627393225331457,-0.0090000000000001,
159922,2014-08-04,1.355,1.365,1.365,1.35,2041.0,,1.1119347664936918,1.1860637509266132,0.016,
