代码,日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
159925,2023-10-10,3.477,3.459,3.497,3.457,22158.0,,,,,
159925,2023-10-11,3.459,3.469,3.487,3.457,24487.0,,0.867302688638342,0.2891008962127721,0.009999999999999787,
159925,2023-10-12,3.495,3.499,3.507,3.479,13772.0,,0.8071490343038347,0.864802536754115,0.03000000000000025,
159925,2023-10-13,3.493,3.463,3.493,3.453,29140.0,,1.1431837667905125,-1.0288653901114613,-0.03600000000000003,
159925,2023-10-16,3.463,3.427,3.463,3.419,16155.0,,1.270574646260469,-1.039561074213111,-0.03600000000000003,
159925,2023-10-17,3.427,3.429,3.439,3.419,117314.0,,0.5836008170411444,0.058360081704107954,0.0019999999999997797,
159925,2023-10-18,3.431,3.407,3.431,3.394,23734.0,,1.0790317876932027,-0.6415864683581161,-0.021999999999999797,
159925,2023-10-19,3.403,3.336,3.403,3.332,28407.0,,2.0839448194892918,-2.0839448194892918,-0.07100000000000017,
159925,2023-10-20,3.336,3.312,3.336,3.302,27124.0,,1.0191846522781718,-0.7194244604316553,-0.02400000000000002,
159925,2023-10-23,3.334,3.276,3.334,3.249,220485.0,,2.5664251207729456,-1.0869565217391315,-0.03600000000000003,
159925,2023-10-24,3.276,3.286,3.29,3.255,32182.0,,1.0683760683760728,0.3052503052503123,0.010000000000000231,
159925,2023-10-25,3.32,3.304,3.328,3.3,38810.0,,0.8520998174071827,0.5477784540474678,0.017999999999999794,
159925,2023-10-26,3.304,3.314,3.314,3.28,51160.0,,1.0290556900726469,0.30266343825666564,0.010000000000000231,
159925,2023-10-27,3.31,3.356,3.37,3.298,52617.0,,2.1726010863005447,1.2673506336753113,0.041999999999999815,
159925,2023-10-30,3.36,3.384,3.39,3.352,32460.0,,1.1323003575685415,0.8343265792610257,0.028000000000000025,
159925,2023-10-31,3.384,3.372,3.384,3.35,134346.0,,1.004728132387701,-0.35460992907801453,-0.01200000000000001,
159925,2023-11-01,3.398,3.37,3.398,3.36,19117.0,,1.126927639383163,-0.05931198102015954,-0.0019999999999997797,
159925,2023-11-02,3.378,3.354,3.396,3.352,14959.0,,1.3056379821958468,-0.474777448071217,-0.016000000000000014,
159925,2023-11-03,3.368,3.384,3.39,3.364,11969.0,,0.7751937984496197,0.8944543828264699,0.029999999999999805,
159925,2023-11-06,3.396,3.427,3.431,3.386,19607.0,,1.3297872340425512,1.270685579196222,0.04300000000000015,
159925,2023-11-07,3.435,3.421,3.435,3.407,6199.0,,0.8170411438576022,-0.1750802451123498,-0.006000000000000227,
159925,2023-11-08,3.419,3.407,3.453,3.39,19844.0,,1.8415667933352742,-0.40923706518561215,-0.01399999999999979,
159925,2023-11-09,3.407,3.405,3.421,3.398,103594.0,,0.6750807161725767,-0.05870267097153577,-0.002000000000000224,
159925,2023-11-10,3.411,3.386,3.411,3.37,131387.0,,1.2041116005873693,-0.5580029368575532,-0.018999999999999684,
159925,2023-11-13,3.384,3.38,3.403,3.364,6859.0,,1.1518015357353852,-0.1772002362669884,-0.006000000000000227,
159925,2023-11-14,3.382,3.384,3.398,3.37,18007.0,,0.828402366863906,0.1183431952662723,0.0040000000000000036,
159925,2023-11-15,3.398,3.403,3.431,3.396,7624.0,,1.034278959810879,0.5614657210401929,0.019000000000000128,
159925,2023-11-16,3.396,3.372,3.402,3.37,13419.0,,0.9403467528651198,-0.9109609168380881,-0.03100000000000014,
159925,2023-11-17,3.356,3.368,3.372,3.35,23486.0,,0.6524317912218208,-0.11862396204033226,-0.0040000000000000036,
159925,2023-11-20,3.37,3.374,3.384,3.344,319254.0,,1.1876484560570084,0.17814726840855782,0.006000000000000227,
159925,2023-11-21,3.38,3.38,3.411,3.374,795738.0,,1.0966212211025466,0.1778304682868934,0.005999999999999783,
159925,2023-11-22,3.374,3.338,3.376,3.338,20300.0,,1.1242603550295802,-1.2426035502958526,-0.041999999999999815,
159925,2023-11-23,3.344,3.36,3.362,3.328,22017.0,,1.0185739964050404,0.6590772917914859,0.021999999999999797,
159925,2023-11-24,3.352,3.338,3.352,3.332,39254.0,,0.5952380952380958,-0.6547619047618988,-0.021999999999999797,
159925,2023-11-27,3.338,3.31,3.338,3.292,63139.0,,1.378070701018582,-0.8388256440982631,-0.028000000000000025,
159925,2023-11-28,3.31,3.316,3.32,3.302,126355.0,,0.5438066465256736,0.18126888217522003,0.005999999999999783,
159925,2023-11-29,3.318,3.29,3.318,3.28,31458.0,,1.145958986731009,-0.7840772014475212,-0.0259999999999998,
159925,2023-11-30,3.292,3.298,3.304,3.28,34191.0,,0.7294832826747727,0.24316109422492424,0.008000000000000007,
159925,2023-12-01,3.282,3.284,3.294,3.253,110242.0,,1.2431776834445094,-0.42449969678593796,-0.014000000000000234,
159925,2023-12-04,3.266,3.262,3.288,3.261,55132.0,,0.8221680876979199,-0.6699147381242326,-0.021999999999999797,
159925,2023-12-05,3.262,3.197,3.262,3.195,54665.0,,2.0539546290619306,-1.992642550582463,-0.06499999999999995,
159925,2023-12-06,3.197,3.199,3.235,3.187,31299.0,,1.501407569596498,0.06255864873318047,0.0019999999999997797,
159925,2023-12-07,3.199,3.189,3.217,3.171,36813.0,,1.4379493591747503,-0.3125976867771112,-0.009999999999999787,
159925,2023-12-08,3.197,3.197,3.209,3.185,7718.0,,0.7525870178739423,0.2508623392913141,0.008000000000000007,
159925,2023-12-11,3.227,3.219,3.227,3.153,34915.0,,2.3146700031279273,0.6881451360650546,0.021999999999999797,
159925,2023-12-12,3.219,3.227,3.227,3.203,8166.0,,0.7455731593662634,0.2485243864554212,0.008000000000000007,
159925,2023-12-13,3.227,3.171,3.227,3.169,37558.0,,1.7973349860551542,-1.7353579175705003,-0.05600000000000005,
159925,2023-12-14,3.171,3.151,3.201,3.149,27930.0,,1.6398612425102506,-0.6307158625039426,-0.020000000000000018,
159925,2023-12-15,3.153,3.145,3.191,3.137,33667.0,,1.7137416693113243,-0.19041574103458533,-0.005999999999999783,
159925,2023-12-18,3.177,3.135,3.177,3.11,137904.0,,2.13036565977743,-0.3179650238473841,-0.010000000000000231,
159925,2023-12-19,3.118,3.139,3.147,3.116,22957.0,,0.9888357256778212,0.1275917065390751,0.0040000000000000036,
159925,2023-12-20,3.139,3.106,3.141,3.104,46610.0,,1.1787193373685863,-1.0512902198152252,-0.03299999999999992,
159925,2023-12-21,3.1,3.137,3.143,3.09,56757.0,,1.7063747585318718,0.9980682549903457,0.03100000000000014,
159925,2023-12-22,3.137,3.149,3.161,3.118,556502.0,,1.3707363723302566,0.38253108065030317,0.01200000000000001,
159925,2023-12-25,3.177,3.155,3.177,3.121,402465.0,,1.7783423308986994,0.1905366783105679,0.005999999999999783,
159925,2023-12-26,3.143,3.133,3.145,3.121,641666.0,,0.7606973058637091,-0.697305863708393,-0.021999999999999797,
159925,2023-12-27,3.133,3.141,3.147,3.116,2218151.0,,0.9894669645706893,0.25534631343759995,0.008000000000000007,
159925,2023-12-28,3.139,3.225,3.229,3.135,2532254.0,,2.9926774912448364,2.6743075453677196,0.08400000000000007,
159925,2023-12-29,3.223,3.233,3.235,3.217,916673.0,,0.5581395348837145,0.2480620155038762,0.008000000000000007,
159925,2024-01-02,3.241,3.183,3.243,3.183,641235.0,,1.855861429013302,-1.5465511908444252,-0.050000000000000266,
159925,2024-01-03,3.189,3.177,3.191,3.163,422195.0,,0.879673264216149,-0.18850141376059643,-0.005999999999999783,
159925,2024-01-04,3.173,3.147,3.175,3.121,1013437.0,,1.6997167138810145,-0.944287063267241,-0.03000000000000025,
159925,2024-01-05,3.149,3.129,3.173,3.112,560446.0,,1.9383539879250062,-0.571973307912291,-0.017999999999999794,
159925,2024-01-08,3.129,3.088,3.135,3.08,779486.0,,1.7577500798977217,-1.3103227868328515,-0.040999999999999925,
159925,2024-01-09,3.088,3.09,3.106,3.07,1046751.0,,1.1658031088082912,0.06476683937823122,0.0019999999999997797,
159925,2024-01-10,3.082,3.08,3.114,3.064,825864.0,,1.6181229773462726,-0.32362459546924877,-0.009999999999999787,
159925,2024-01-11,3.08,3.094,3.114,3.07,889751.0,,1.4285714285714297,0.45454545454544776,0.01399999999999979,
159925,2024-01-12,3.096,3.084,3.11,3.082,755816.0,,0.9049773755656116,-0.32320620555913987,-0.009999999999999787,
159925,2024-01-15,3.078,3.08,3.108,3.058,618499.0,,1.6212710765240033,-0.12970168612191968,-0.0040000000000000036,
159925,2024-01-16,3.082,3.098,3.102,3.054,1453935.0,,1.5584415584415598,0.5844155844155776,0.017999999999999794,
159925,2024-01-17,3.096,3.032,3.096,3.028,1238928.0,,2.194964493221435,-2.1304067140090326,-0.06599999999999984,
159925,2024-01-18,3.032,3.076,3.08,2.969,1968713.0,,3.6609498680738857,1.4511873350923494,0.04400000000000004,
159925,2024-01-19,3.038,3.068,3.082,3.038,1517310.0,,1.4304291287386228,-0.26007802340702235,-0.008000000000000007,
159925,2024-01-22,3.068,3.016,3.08,2.988,719853.0,,2.9986962190352044,-1.6949152542372896,-0.052000000000000046,
159925,2024-01-23,3.022,3.03,3.054,2.99,824809.0,,2.1220159151193503,0.46419098143235377,0.01399999999999979,
159925,2024-01-24,3.068,3.08,3.082,2.988,749270.0,,3.102310231023098,1.650165016501659,0.050000000000000266,
159925,2024-01-25,3.08,3.139,3.149,3.07,811485.0,,2.564935064935071,1.9155844155844064,0.05899999999999972,
159925,2024-01-26,3.153,3.139,3.153,3.12,1157581.0,,1.0512902198152252,0.0,0.0,
159925,2024-01-29,3.14,3.106,3.155,3.105,427900.0,,1.5928639694170064,-1.0512902198152252,-0.03299999999999992,
159925,2024-01-30,3.099,3.05,3.101,3.046,463597.0,,1.7707662588538366,-1.8029620090148117,-0.05600000000000005,
159925,2024-02-01,3.048,3.029,3.052,3.015,438784.0,,1.213114754098358,-0.6885245901639314,-0.020999999999999908,
159925,2024-02-02,3.033,2.985,3.038,2.918,629286.0,,3.9617035325189724,-1.4526246285902953,-0.04400000000000004,
159925,2024-02-05,2.979,2.998,3.032,2.907,455008.0,,4.1876046901172534,0.4355108877722059,0.013000000000000345,
159925,2024-02-06,2.967,3.107,3.11,2.967,325058.0,,4.769846564376244,3.635757171447631,0.10899999999999999,
159925,2024-02-07,3.121,3.136,3.138,3.103,310802.0,,1.1264885741873092,0.9333762471837757,0.028999999999999915,
159925,2024-02-08,3.139,3.164,3.179,3.139,476023.0,,1.2755102040816337,0.8928571428571437,0.028000000000000025,
159925,2024-02-19,3.169,3.192,3.193,3.161,269991.0,,1.0113780025284458,0.8849557522123901,0.028000000000000025,
159925,2024-02-20,3.189,3.203,3.217,3.177,258044.0,,1.2531328320802015,0.344611528822045,0.010999999999999677,
159925,2024-02-21,3.161,3.255,3.305,3.161,413616.0,,4.4957852013737165,1.6234779893849531,0.052000000000000046,
159925,2024-02-22,3.254,3.283,3.284,3.249,174864.0,,1.0752688172042917,0.8602150537634418,0.028000000000000025,
159925,2024-02-23,3.283,3.285,3.304,3.274,278481.0,,0.9137983551629548,0.060919890344204204,0.002000000000000224,
159925,2024-02-26,3.287,3.248,3.305,3.244,293461.0,,1.8569254185692525,-1.1263318112633158,-0.03699999999999992,
159925,2024-02-27,3.247,3.292,3.293,3.245,304763.0,,1.477832512315272,1.3546798029556524,0.043999999999999595,
159925,2024-02-28,3.296,3.259,3.323,3.257,385216.0,,2.0048602673146974,-1.0024301336573487,-0.03299999999999992,
159925,2024-02-29,3.259,3.308,3.313,3.251,511406.0,,1.902424056459045,1.5035286897821398,0.04899999999999993,
159925,2024-03-01,3.308,3.336,3.346,3.301,233811.0,,1.3603385731559834,0.846432889963725,0.028000000000000025,
