代码,日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
510550,2019-01-16,1.006,1.005,1.012,1.003,1184807.0,,,,,
510550,2019-01-17,1.005,1.001,1.008,0.997,144099.0,,1.0945273631840808,-0.3980099502487566,-0.0040000000000000036,
510550,2019-01-18,0.945,1.001,1.01,0.945,86583.0,,6.4935064935065,0.0,0.0,
510550,2019-01-21,1.008,1.014,1.018,1.001,80725.0,,1.6983016983017112,1.2987012987013111,0.013000000000000123,
510550,2019-01-22,1.016,0.999,1.016,0.982,33873.0,,3.3530571992110487,-1.4792899408284037,-0.015000000000000013,
510550,2019-01-23,0.994,1.001,1.002,0.994,2563.0,,0.8008008008008015,0.20020020020018928,0.0019999999999998908,
510550,2019-01-24,1.001,1.006,1.011,1.001,14655.0,,0.999000999001,0.4995004995005111,0.0050000000000001155,
510550,2019-01-25,1.006,1.0,1.01,1.0,17891.0,,0.9940357852882713,-0.5964214711729627,-0.006000000000000005,
510550,2019-01-28,0.999,1.002,1.014,0.999,9500.0,,1.5000000000000013,0.20000000000000018,0.0020000000000000018,
510550,2019-01-29,0.999,0.985,0.999,0.975,20978.0,,2.3952095808383254,-1.6966067864271472,-0.017000000000000015,
510550,2019-01-30,0.985,0.978,0.991,0.978,2578.0,,1.319796954314722,-0.7106598984771579,-0.007000000000000006,
510550,2019-01-31,0.979,0.97,0.985,0.965,4732.0,,2.0449897750511266,-0.8179959100204507,-0.008000000000000007,
510550,2019-02-01,0.971,0.997,0.997,0.971,8081.0,,2.680412371134023,2.783505154639178,0.027000000000000024,
510550,2019-02-11,0.996,1.021,1.022,0.996,55806.0,,2.607823470411236,2.4072216649949763,0.02399999999999991,
510550,2019-02-12,1.021,1.027,1.031,1.019,35358.0,,1.1753183153770825,0.5876591576885413,0.006000000000000005,
510550,2019-02-13,1.022,1.04,1.05,1.022,50244.0,,2.7263875365141215,1.2658227848101387,0.013000000000000123,
510550,2019-02-14,1.036,1.041,1.054,1.036,32107.0,,1.7307692307692322,0.09615384615383556,0.0009999999999998899,
510550,2019-02-15,1.04,1.044,1.052,1.039,19777.0,,1.248799231508177,0.28818443804035676,0.0030000000000001137,
510550,2019-02-18,1.044,1.077,1.08,1.044,35189.0,,3.4482758620689684,3.160919540229877,0.03299999999999992,
510550,2019-02-19,1.077,1.074,1.09,1.059,16343.0,,2.8783658310120837,-0.27855153203341615,-0.0029999999999998916,
510550,2019-02-20,1.072,1.081,1.081,1.07,9884.0,,1.024208566107998,0.6517690875232677,0.006999999999999895,
510550,2019-02-21,1.077,1.075,1.098,1.073,22803.0,,2.3126734505088007,-0.5550416281221097,-0.006000000000000005,
510550,2019-02-22,1.075,1.103,1.106,1.075,58255.0,,2.8837209302325713,2.6046511627907,0.028000000000000025,
510550,2019-02-25,1.106,1.159,1.183,1.081,35224.0,,9.247506799637362,5.077062556663649,0.05600000000000005,
510550,2019-02-26,1.159,1.151,1.25,1.135,35619.0,,9.922346850733389,-0.690250215703193,-0.008000000000000007,
510550,2019-02-27,1.151,1.146,1.167,1.138,15721.0,,2.5195482189400638,-0.43440486533450173,-0.0050000000000001155,
510550,2019-02-28,1.146,1.152,1.173,1.135,16910.0,,3.3158813263525335,0.5235602094240842,0.006000000000000005,
510550,2019-03-01,1.153,1.155,1.169,1.14,6440.0,,2.517361111111123,0.26041666666667657,0.0030000000000001137,
510550,2019-03-04,1.166,1.179,1.226,1.164,36954.0,,5.367965367965373,2.0779220779220795,0.02400000000000002,
510550,2019-03-05,1.179,1.197,1.2,1.17,7559.0,,2.5445292620865163,1.5267175572519098,0.018000000000000016,
510550,2019-03-06,1.2,1.23,1.23,1.19,25769.0,,3.3416875522138705,2.756892230576434,0.03299999999999992,
510550,2019-03-07,1.23,1.256,1.268,1.21,26103.0,,4.7154471544715495,2.1138211382113843,0.026000000000000023,
510550,2019-03-08,1.203,1.213,1.247,1.19,19671.0,,4.538216560509567,-3.423566878980886,-0.04299999999999993,
510550,2019-03-11,1.205,1.25,1.25,1.202,29446.0,,3.957131079967027,3.050288540807908,0.03699999999999992,
510550,2019-03-12,1.255,1.268,1.284,1.25,10143.0,,2.7200000000000024,1.4400000000000013,0.018000000000000016,
510550,2019-03-13,1.273,1.248,1.279,1.238,6514.0,,3.23343848580441,-1.577287066246058,-0.020000000000000018,
510550,2019-03-14,1.244,1.212,1.244,1.185,8073.0,,4.727564102564098,-2.8846153846153872,-0.03600000000000003,
510550,2019-03-15,1.212,1.239,1.244,1.204,7711.0,,3.3003300330033034,2.227722772277239,0.027000000000000135,
510550,2019-03-18,1.238,1.256,1.258,1.22,13134.0,,3.0669895076674765,1.3720742534301777,0.016999999999999904,
510550,2019-03-19,1.268,1.262,1.268,1.231,11388.0,,2.9458598726114587,0.47770700636942715,0.006000000000000005,
510550,2019-03-20,1.243,1.254,1.272,1.24,6547.0,,2.5356576862123634,-0.6339144215530909,-0.008000000000000007,
510550,2019-03-21,1.254,1.27,1.286,1.254,18023.0,,2.551834130781501,1.2759170653907506,0.016000000000000014,
510550,2019-03-22,1.289,1.278,1.289,1.255,5110.0,,2.677165354330711,0.6299212598425202,0.008000000000000007,
510550,2019-03-25,1.245,1.27,1.29,1.213,5790.0,,6.02503912363067,-0.6259780907668236,-0.008000000000000007,
510550,2019-03-26,1.275,1.235,1.275,1.231,7245.0,,3.4645669291338437,-2.7559055118110174,-0.03499999999999992,
510550,2019-03-27,1.25,1.235,1.25,1.225,6775.0,,2.0242914979757014,0.0,0.0,
510550,2019-03-28,1.235,1.235,1.248,1.226,2469.0,,1.7813765182186252,0.0,0.0,
510550,2019-03-29,1.228,1.266,1.266,1.227,10756.0,,3.157894736842099,2.5101214574898716,0.030999999999999917,
510550,2019-04-01,1.282,1.325,1.326,1.266,29200.0,,4.739336492890999,4.660347551342808,0.05899999999999994,
510550,2019-04-02,1.304,1.33,1.337,1.304,8801.0,,2.4905660377358427,0.3773584905660465,0.0050000000000001155,
510550,2019-04-03,1.333,1.348,1.349,1.315,42816.0,,2.5563909774436113,1.3533834586466178,0.018000000000000016,
510550,2019-04-04,1.349,1.342,1.399,1.339,129271.0,,4.45103857566766,-0.44510385756676596,-0.006000000000000005,
510550,2019-04-08,1.347,1.36,1.38,1.32,103913.0,,4.470938897168392,1.3412816691505227,0.018000000000000016,
510550,2019-04-09,1.355,1.339,1.358,1.321,79655.0,,2.720588235294128,-1.544117647058833,-0.02100000000000013,
510550,2019-04-10,1.33,1.342,1.351,1.325,73108.0,,1.9417475728155358,0.22404779686333934,0.0030000000000001137,
510550,2019-04-11,1.334,1.319,1.342,1.317,32880.0,,1.862891207153512,-1.7138599105812318,-0.02300000000000013,
510550,2019-04-12,1.319,1.311,1.319,1.302,14138.0,,1.288855193328272,-0.6065200909780143,-0.008000000000000007,
