代码,日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
512050,2024-11-15,0.982,0.966,0.988,0.964,27246075,2666853901.0,2.44,-1.83,-0.018,18.53
512050,2024-11-18,0.968,0.958,0.977,0.952,32007415,3087766566.0,2.59,-0.83,-0.008,21.77
512050,2024-11-19,0.958,0.967,0.968,0.945,32972059,3153475940.0,2.4,0.94,0.009,22.42
512050,2024-11-20,0.962,0.971,0.975,0.96,30546489,2955984583.0,1.55,0.41,0.004,20.77
512050,2024-11-21,0.971,0.972,0.975,0.965,27777754,2693295734.0,1.03,0.1,0.001,18.89
512050,2024-11-22,0.971,0.941,0.971,0.939,52942642,5083679848.0,3.29,-3.19,-0.031,36.0
512050,2024-11-25,0.942,0.937,0.945,0.925,31757336,2975848055.0,2.13,-0.43,-0.004,21.6
512050,2024-11-26,0.933,0.932,0.942,0.931,27994974,2618239411.0,1.17,-0.53,-0.005,19.04
512050,2024-11-27,0.931,0.947,0.949,0.924,34124971,3190287000.0,2.68,1.61,0.015,23.21
512050,2024-11-28,0.947,0.941,0.949,0.938,28453252,2685675314.0,1.16,-0.63,-0.006,19.35
512050,2024-11-29,0.939,0.951,0.961,0.939,34132657,3239009154.0,2.34,1.06,0.01,23.21
512050,2024-12-02,0.95,0.96,0.964,0.946,31080450,2977443933.0,1.89,0.95,0.009,21.14
512050,2024-12-03,0.959,0.959,0.965,0.954,29022558,2780060434.0,1.15,-0.1,-0.001,19.74
512050,2024-12-04,0.959,0.954,0.962,0.951,29665446,2837942749.0,1.15,-0.52,-0.005,20.17
512050,2024-12-05,0.952,0.952,0.957,0.95,29437958,2806617337.0,0.73,-0.21,-0.002,20.02
512050,2024-12-06,0.952,0.966,0.972,0.952,34106046,3281444382.0,2.1,1.47,0.014,23.19
512050,2024-12-09,0.966,0.964,0.971,0.957,36424978,3512415241.0,1.45,-0.21,-0.002,24.77
512050,2024-12-10,0.998,0.971,1.005,0.968,43216085,4240109327.0,3.84,0.73,0.007,29.39
