代码,日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
512250,2025-04-14,0.994,0.991,0.997,0.989,1559289.0,,,,,
512250,2025-04-15,0.992,0.994,0.994,0.986,253611.0,,0.8072653884964689,0.3027245206861759,0.0030000000000000027,
512250,2025-04-16,0.994,0.996,0.997,0.981,137978.0,,1.6096579476861181,0.20120724346076477,0.0020000000000000018,
512250,2025-04-17,0.986,0.995,0.997,0.986,150510.0,,1.104417670682732,-0.10040160642570291,-0.0010000000000000009,
512250,2025-04-18,0.989,0.996,0.997,0.989,58347.0,,0.8040201005025134,0.10050251256281417,0.0010000000000000009,
512250,2025-04-21,0.986,1.0,1.001,0.986,56135.0,,1.5060240963855325,0.40160642570281163,0.0040000000000000036,
512250,2025-04-22,1.0,1.004,1.005,0.999,39150.0,,0.5999999999999894,0.40000000000000036,0.0040000000000000036,
512250,2025-04-23,1.006,1.003,1.007,1.002,4220.0,,0.49800796812747944,-0.09960159362550915,-0.001000000000000112,
512250,2025-04-24,1.007,1.006,1.01,1.002,12880.0,,0.7976071784646069,0.2991026919242387,0.0030000000000001137,
512250,2025-04-25,1.007,1.006,1.009,1.005,13599.0,,0.39761431411530856,0.0,0.0,
512250,2025-04-28,1.007,1.003,1.007,0.998,16793.0,,0.8946322067594331,-0.2982107355864924,-0.0030000000000001137,
512250,2025-04-29,1.002,0.999,1.003,0.999,7449.0,,0.39880358923229237,-0.39880358923229237,-0.0039999999999998925,
512250,2025-04-30,1.001,1.001,1.002,0.996,7742.0,,0.6006006006006012,0.20020020020018928,0.0019999999999998908,
512250,2025-05-06,1.007,1.007,1.008,1.003,19729.0,,0.4995004995005111,0.5994005994006,0.006000000000000005,
512250,2025-05-07,1.007,1.014,1.017,1.007,21213.0,,0.9930486593843109,0.6951340615690287,0.007000000000000117,
512250,2025-05-08,1.014,1.023,1.028,1.014,17348.0,,1.3806706114398433,0.8875739644970312,0.008999999999999897,
512250,2025-05-09,1.019,1.026,1.026,1.019,21260.0,,0.6842619745845667,0.2932551319648205,0.0030000000000001137,
512250,2025-05-12,1.02,1.036,1.036,1.02,10471.0,,1.5594541910331396,0.9746588693957123,0.010000000000000009,
512250,2025-05-13,1.046,1.037,1.046,1.032,28168.0,,1.3513513513513524,0.0965250965250859,0.0009999999999998899,
512250,2025-05-14,1.036,1.052,1.056,1.033,34600.0,,2.2179363548698294,1.4464802314368492,0.015000000000000124,
512250,2025-05-15,1.047,1.046,1.05,1.042,9821.0,,0.7604562737642592,-0.5703422053231944,-0.006000000000000005,
512250,2025-05-16,1.041,1.038,1.043,1.035,13092.0,,0.764818355640536,-0.764818355640536,-0.008000000000000007,
512250,2025-05-19,1.035,1.035,1.037,1.032,6046.0,,0.48169556840076044,-0.2890173410404734,-0.0030000000000001137,
512250,2025-05-20,1.035,1.042,1.046,1.035,2610.0,,1.0628019323671614,0.6763285024154704,0.007000000000000117,
512250,2025-05-21,1.042,1.049,1.054,1.042,5452.0,,1.1516314779270642,0.6717850287907768,0.006999999999999895,
512250,2025-05-22,1.049,1.047,1.051,1.043,13347.0,,0.7626310772163973,-0.19065776930409933,-0.0020000000000000018,
512250,2025-05-23,1.054,1.042,1.054,1.042,9681.0,,1.1461318051575944,-0.4775549188156537,-0.004999999999999893,
512250,2025-05-26,1.033,1.029,1.04,1.029,6719.0,,1.0556621880998196,-1.2476007677543304,-0.013000000000000123,
512250,2025-05-27,1.029,1.023,1.029,1.023,1175.0,,0.5830903790087469,-0.5830903790087469,-0.006000000000000005,
512250,2025-05-28,1.025,1.022,1.027,1.022,11897.0,,0.4887585532746719,-0.0977517106549257,-0.0009999999999998899,
512250,2025-05-29,1.02,1.029,1.058,1.019,32383.0,,3.816046966731913,0.6849315068493048,0.006999999999999895,
512250,2025-05-30,1.029,1.025,1.029,1.019,8633.0,,0.9718172983479114,-0.3887269193391646,-0.0040000000000000036,
512250,2025-06-03,1.02,1.022,1.027,1.02,6587.0,,0.6829268292682825,-0.29268292682925773,-0.0029999999999998916,
512250,2025-06-04,1.025,1.024,1.026,1.023,6575.0,,0.2935420743640033,0.1956947162426616,0.0020000000000000018,
