代码,日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
512370,2025-08-18,1.01,1.016,1.021,1.01,2272213.0,,,,,
512370,2025-08-19,1.016,1.014,1.02,1.01,438500.0,,0.9842519685039378,-0.19685039370078758,-0.0020000000000000018,
512370,2025-08-20,1.014,1.025,1.026,1.006,385213.0,,1.9723865877712048,1.0848126232741517,0.010999999999999899,
512370,2025-08-21,1.025,1.027,1.032,1.023,132748.0,,0.8780487804878165,0.1951219512195124,0.0020000000000000018,
512370,2025-08-22,1.02,1.04,1.043,1.02,113449.0,,2.239532619279446,1.2658227848101387,0.013000000000000123,
512370,2025-08-25,1.044,1.056,1.056,1.044,221262.0,,1.1538461538461549,1.5384615384615397,0.016000000000000014,
512370,2025-08-26,1.056,1.059,1.064,1.051,203565.0,,1.2310606060606177,0.28409090909089885,0.0029999999999998916,
512370,2025-08-27,1.06,1.04,1.063,1.04,105974.0,,2.1718602455146283,-1.7941454202077343,-0.018999999999999906,
512370,2025-08-28,1.039,1.05,1.051,1.029,77486.0,,2.115384615384617,0.9615384615384623,0.010000000000000009,
512370,2025-08-29,1.06,1.063,1.065,1.047,112258.0,,1.7142857142857157,1.2380952380952286,0.0129999999999999,
512370,2025-09-01,1.059,1.065,1.066,1.059,60140.0,,0.65851364063971,0.1881467544684856,0.0020000000000000018,
512370,2025-09-02,1.065,1.056,1.071,1.052,84498.0,,1.7840375586854373,-0.8450704225352016,-0.008999999999999897,
512370,2025-09-03,1.061,1.044,1.064,1.041,78072.0,,2.178030303030315,-1.1363636363636374,-0.01200000000000001,
512370,2025-09-04,1.04,1.032,1.059,1.021,63385.0,,3.6398467432950223,-1.1494252873563229,-0.01200000000000001,
512370,2025-09-05,1.032,1.049,1.052,1.027,47377.0,,2.422480620155052,1.647286821705417,0.016999999999999904,
512370,2025-09-08,1.048,1.06,1.061,1.048,77030.0,,1.2392755004766352,1.0486177311725569,0.01100000000000012,
512370,2025-09-09,1.06,1.056,1.061,1.05,18124.0,,1.0377358490565942,-0.37735849056603804,-0.0040000000000000036,
512370,2025-09-10,1.051,1.052,1.056,1.046,27486.0,,0.9469696969696977,-0.3787878787878791,-0.0040000000000000036,
512370,2025-09-11,1.052,1.07,1.071,1.046,73954.0,,2.3764258555132995,1.7110266159695833,0.018000000000000016,
