代码,日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
515360,2023-09-28,4.86,4.858,4.867,4.839,129.0,,,,,
515360,2023-10-09,4.858,4.841,4.858,4.808,13.0,,1.0292301358583742,-0.3499382461918374,-0.01699999999999946,
515360,2023-10-10,4.866,4.822,4.866,4.822,15.0,,0.9089031191902415,-0.3924808923776105,-0.019000000000000128,
515360,2023-10-11,4.841,4.826,4.841,4.806,211.0,,0.7258399004562451,0.08295313148070427,0.0039999999999995595,
515360,2023-10-12,4.848,4.904,4.977,4.848,33.0,,2.673021135515965,1.6162453377538397,0.07800000000000029,
515360,2023-10-13,4.967,4.809,4.967,4.803,110.0,,3.3442088091353934,-1.937194127243062,-0.09499999999999975,
515360,2023-10-16,4.808,4.764,4.808,4.762,375.0,,0.9565398211686474,-0.9357454772301919,-0.04499999999999993,
515360,2023-10-17,4.781,4.791,4.791,4.781,59.0,,0.2099076406381334,0.5667506297229248,0.027000000000000135,
515360,2023-10-18,4.791,4.764,4.791,4.744,126.0,,0.9810060530160841,-0.5635566687539163,-0.027000000000000135,
515360,2023-10-19,4.717,4.657,4.717,4.654,107.0,,1.3224181360201452,-2.24601175482788,-0.1070000000000002,
515360,2023-10-20,4.645,4.624,4.658,4.612,75.0,,0.9877603607472678,-0.7086106935795654,-0.03300000000000036,
515360,2023-10-23,4.669,4.566,4.669,4.553,314.0,,2.5086505190311343,-1.2543252595155672,-0.05799999999999983,
515360,2023-10-24,4.611,4.591,4.611,4.552,466.0,,1.2921594393342128,0.5475251861585712,0.025000000000000355,
515360,2023-10-25,4.611,4.629,4.643,4.611,208.0,,0.6970159006752347,0.8277063820518268,0.03799999999999937,
515360,2023-10-26,4.586,4.596,4.639,4.586,219.0,,1.1449557139770996,-0.7128969539857308,-0.032999999999999474,
515360,2023-10-27,4.616,4.675,4.688,4.616,597.0,,1.5665796344647531,1.7188859878154858,0.07899999999999974,
515360,2023-10-30,4.676,4.727,4.727,4.676,75.0,,1.0909090909090944,1.1122994652406522,0.05200000000000049,
515360,2023-10-31,4.699,4.719,4.72,4.689,81.0,,0.6558070657922508,-0.16924053310767945,-0.008000000000000007,
515360,2023-11-01,4.713,4.714,4.725,4.713,246.0,,0.25429116338206326,-0.1059546514091946,-0.004999999999999893,
515360,2023-11-02,4.704,4.677,4.704,4.677,23.0,,0.5727619855748861,-0.7848960543063386,-0.03700000000000081,
515360,2023-11-03,4.723,4.723,4.728,4.708,92.0,,0.42762454564891117,0.9835364549925223,0.04600000000000026,
515360,2023-11-06,4.723,4.763,5.1,4.723,7246.0,,7.982214694050387,0.8469193309337294,0.040000000000000036,
