代码,日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
515380,2023-10-12,4.026,4.025,4.038,4.005,218421.0,,,,,
515380,2023-10-13,4.013,3.99,4.013,3.976,296991.0,,0.9192546583850911,-0.8695652173913079,-0.03500000000000014,
515380,2023-10-16,3.99,3.945,3.99,3.934,330762.0,,1.4035087719298258,-1.1278195488721898,-0.04500000000000037,
515380,2023-10-17,3.949,3.954,3.962,3.936,230502.0,,0.6590621039290303,0.2281368821292862,0.009000000000000341,
515380,2023-10-18,3.954,3.929,3.954,3.926,270346.0,,0.7081436519979774,-0.6322711178553453,-0.025000000000000355,
515380,2023-10-19,3.916,3.846,3.916,3.841,418438.0,,1.9088826673453736,-2.1124968185288813,-0.08299999999999974,
515380,2023-10-20,3.844,3.822,3.844,3.805,365468.0,,1.014040561622457,-0.6240249609984405,-0.02400000000000002,
515380,2023-10-23,3.811,3.773,3.812,3.749,241379.0,,1.6483516483516412,-1.2820512820512802,-0.04899999999999993,
515380,2023-10-24,3.778,3.788,3.805,3.756,350396.0,,1.2987012987013087,0.39756162205140955,0.01499999999999968,
515380,2023-10-25,3.815,3.81,3.847,3.808,274870.0,,1.0295670538542805,0.5807814149947266,0.02200000000000024,
515380,2023-10-26,3.795,3.823,3.828,3.721,331783.0,,2.8083989501312274,0.34120734908136224,0.0129999999999999,
515380,2023-10-27,3.802,3.883,3.895,3.799,334447.0,,2.5111169238817705,1.5694480774261066,0.06000000000000005,
515380,2023-10-30,3.877,3.898,3.91,3.863,214667.0,,1.210404326551639,0.3862992531547804,0.015000000000000124,
515380,2023-10-31,3.894,3.89,3.895,3.868,215031.0,,0.6926629040533642,-0.20523345305284776,-0.008000000000000007,
515380,2023-11-01,3.894,3.89,3.918,3.878,264279.0,,1.0282776349614406,0.0,0.0,
515380,2023-11-02,3.891,3.87,3.917,3.87,198731.0,,1.208226221079684,-0.5141388174807203,-0.020000000000000018,
515380,2023-11-03,3.871,3.899,3.915,3.871,236432.0,,1.136950904392766,0.7493540051679565,0.028999999999999915,
515380,2023-11-06,3.914,3.953,3.956,3.914,371307.0,,1.0771992818671405,1.384970505257754,0.053999999999999826,
515380,2023-11-07,3.95,3.943,3.952,3.927,213532.0,,0.6324310650139112,-0.25297242600556,-0.009999999999999787,
515380,2023-11-08,3.933,3.932,3.947,3.911,231238.0,,0.9130103981739799,-0.2789753994420523,-0.01100000000000012,
