代码,日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
516300,2023-10-12,2.355,2.367,2.369,2.35,130770.0,,,,,
516300,2023-10-13,2.355,2.364,2.364,2.355,176215.0,,0.3802281368821249,-0.1267427122940479,-0.0030000000000001137,
516300,2023-10-16,2.357,2.343,2.357,2.336,243229.0,,0.8883248730964617,-0.8883248730964428,-0.020999999999999908,
516300,2023-10-17,2.341,2.334,2.341,2.322,190312.0,,0.8109261630388446,-0.3841229193341825,-0.008999999999999897,
516300,2023-10-18,2.334,2.298,2.334,2.298,190438.0,,1.5424164524421609,-1.5424164524421609,-0.03600000000000003,
516300,2023-10-19,2.291,2.286,2.305,2.272,211041.0,,1.436031331592705,-0.522193211488251,-0.01200000000000001,
516300,2023-10-20,2.267,2.253,2.281,2.243,178123.0,,1.6622922134733271,-1.4435695538057707,-0.03299999999999992,
516300,2023-10-23,2.243,2.198,2.243,2.187,203534.0,,2.4855747891699975,-2.4411895250776814,-0.05500000000000016,
516300,2023-10-24,2.203,2.229,2.236,2.189,349068.0,,2.138307552320298,1.4103730664240282,0.03100000000000014,
516300,2023-10-25,2.236,2.243,2.262,2.236,256943.0,,1.1664423508299597,0.628084342754589,0.01399999999999979,
516300,2023-10-26,2.251,2.262,2.267,2.229,164632.0,,1.694159607668293,0.8470798038341564,0.019000000000000128,
516300,2023-10-27,2.262,2.305,2.312,2.239,167282.0,,3.2272325375773634,1.9009725906277697,0.04300000000000015,
516300,2023-10-30,2.303,2.329,2.341,2.303,216163.0,,1.6485900216919849,1.0412147505423002,0.02400000000000002,
516300,2023-10-31,2.329,2.317,2.331,2.308,207638.0,,0.9875483039931356,-0.5152425933877204,-0.01200000000000001,
516300,2023-11-01,2.317,2.317,2.326,2.308,205122.0,,0.7768666378938385,0.0,0.0,
516300,2023-11-02,2.319,2.291,2.324,2.291,194331.0,,1.4242555028053483,-1.1221406991799847,-0.026000000000000245,
516300,2023-11-03,2.296,2.322,2.336,2.296,223728.0,,1.7459624618070726,1.3531209079004862,0.03100000000000014,
516300,2023-11-06,2.334,2.367,2.511,2.315,219327.0,,8.440999138673565,1.9379844961240278,0.04499999999999993,
516300,2023-11-07,2.364,2.374,2.381,2.357,218563.0,,1.0139416983523268,0.29573299535277214,0.007000000000000117,
516300,2023-11-08,2.367,2.383,2.391,2.364,277638.0,,1.137320977253586,0.37910699241785584,0.008999999999999897,
516300,2023-11-09,2.383,2.367,2.391,2.362,199927.0,,1.216953420058746,-0.6714225765841383,-0.016000000000000014,
516300,2023-11-10,2.36,2.367,2.369,2.353,131741.0,,0.6759611322348971,0.0,0.0,
516300,2023-11-13,2.372,2.388,2.388,2.364,150787.0,,1.0139416983523457,0.8871989860582976,0.020999999999999908,
516300,2023-11-14,2.388,2.4,2.407,2.386,142032.0,,0.8793969849246193,0.5025125628140708,0.01200000000000001,
516300,2023-11-15,2.421,2.414,2.421,2.402,192959.0,,0.7916666666666535,0.5833333333333431,0.014000000000000234,
516300,2023-11-16,2.393,2.393,2.412,2.391,158621.0,,0.8699254349627137,-0.869925434962732,-0.02100000000000035,
516300,2023-11-17,2.372,2.409,2.412,2.372,174596.0,,1.6715419974926888,0.6686167989970755,0.016000000000000014,
516300,2023-11-20,2.414,2.433,2.433,2.4,226706.0,,1.369863013698627,0.9962640099626411,0.02400000000000002,
516300,2023-11-21,2.436,2.412,2.44,2.409,232980.0,,1.2741471434443132,-0.8631319358816238,-0.020999999999999908,
516300,2023-11-22,2.407,2.386,2.421,2.381,239547.0,,1.6583747927031525,-1.0779436152570399,-0.0259999999999998,
516300,2023-11-23,2.386,2.414,2.414,2.374,257687.0,,1.67644593461861,1.1735121542330271,0.028000000000000025,
516300,2023-11-24,2.409,2.379,2.409,2.374,319594.0,,1.4498757249378498,-1.4498757249378682,-0.03500000000000014,
516300,2023-11-27,2.372,2.379,2.388,2.36,290296.0,,1.176965111391342,0.0,0.0,
516300,2023-11-28,2.369,2.381,2.388,2.355,274266.0,,1.38713745271122,0.08406893652794366,0.0019999999999997797,
516300,2023-11-29,2.379,2.376,2.388,2.369,266548.0,,0.7979840403191805,-0.20999580008399388,-0.004999999999999893,
516300,2023-11-30,2.364,2.362,2.376,2.345,250293.0,,1.3047138047137918,-0.5892255892255804,-0.01399999999999979,
516300,2023-12-01,2.357,2.383,2.388,2.35,275095.0,,1.6088060965283577,0.8890770533446193,0.020999999999999908,
516300,2023-12-04,2.383,2.381,2.388,2.372,259253.0,,0.6714225765841383,-0.0839278220730266,-0.002000000000000224,
516300,2023-12-05,2.367,2.331,2.367,2.329,199292.0,,1.5959680806383794,-2.099958000839976,-0.04999999999999982,
516300,2023-12-06,2.331,2.338,2.357,2.315,269453.0,,1.801801801801813,0.3003003003003053,0.007000000000000117,
516300,2023-12-07,2.341,2.341,2.353,2.322,350450.0,,1.3259195893926492,0.12831479897348647,0.0030000000000001137,
516300,2023-12-08,2.36,2.338,2.362,2.334,228327.0,,1.1960700555318249,-0.12815036309270028,-0.0030000000000001137,
516300,2023-12-11,2.324,2.364,2.369,2.315,313564.0,,2.30966638152268,1.1120615911034988,0.0259999999999998,
516300,2023-12-12,2.364,2.364,2.369,2.355,305599.0,,0.5922165820643078,0.0,0.0,
516300,2023-12-13,2.362,2.345,2.367,2.343,274829.0,,1.0152284263959401,-0.8037225042301052,-0.018999999999999684,
516300,2023-12-14,2.348,2.334,2.367,2.329,251082.0,,1.620469083155642,-0.46908315565032493,-0.01100000000000012,
516300,2023-12-15,2.345,2.319,2.348,2.308,363847.0,,1.7137960582690674,-0.6426735218509051,-0.015000000000000124,
516300,2023-12-18,2.317,2.286,2.317,2.279,261010.0,,1.6386373436826327,-1.4230271668822734,-0.03299999999999992,
516300,2023-12-19,2.281,2.284,2.296,2.27,316410.0,,1.1373578302712073,-0.08748906386702641,-0.002000000000000224,
516300,2023-12-20,2.284,2.248,2.286,2.246,298151.0,,1.7513134851138372,-1.5761821366024338,-0.03599999999999959,
