代码,日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
563750,2025-10-30,1.023,1.011,1.023,1.009,1130419.0,,,,,
563750,2025-10-31,1.006,1.007,1.019,1.006,318952.0,,1.285855588526202,-0.3956478733926809,-0.0040000000000000036,
563750,2025-11-03,1.007,1.007,1.008,0.989,152569.0,,1.8867924528301907,0.0,0.0,
563750,2025-11-04,1.009,0.992,1.012,0.982,166125.0,,2.9791459781529324,-1.4895729890764553,-0.014999999999999902,
563750,2025-11-05,0.982,0.99,0.997,0.973,95726.0,,2.4193548387096793,-0.2016129032258066,-0.0020000000000000018,
563750,2025-11-06,0.99,1.007,1.009,0.99,236884.0,,1.9191919191919098,1.7171717171717074,0.016999999999999904,
563750,2025-11-07,1.007,1.006,1.011,0.998,222333.0,,1.290963257199593,-0.09930486593842006,-0.0009999999999998899,
563750,2025-11-10,1.014,1.009,1.014,0.999,149602.0,,1.4910536779324068,0.2982107355864704,0.0029999999999998916,
563750,2025-11-11,1.008,1.001,1.012,1.0,201353.0,,1.1892963330029744,-0.792864222001983,-0.008000000000000007,
563750,2025-11-12,1.003,0.999,1.003,0.988,144495.0,,1.4985014985014888,-0.19980019980018893,-0.0019999999999998908,
563750,2025-11-13,0.999,1.01,1.012,0.998,226983.0,,1.4014014014014027,1.101101101101102,0.01100000000000001,
563750,2025-11-14,1.0,0.994,1.006,0.994,57085.0,,1.1881188118811892,-1.5841584158415856,-0.016000000000000014,
563750,2025-11-17,0.995,0.994,0.997,0.989,146777.0,,0.8048289738430591,0.0,0.0,
563750,2025-11-18,0.994,0.984,0.994,0.977,94294.0,,1.7102615694165004,-1.0060362173038238,-0.010000000000000009,
563750,2025-11-19,0.984,0.978,0.987,0.973,205880.0,,1.4227642276422778,-0.6097560975609762,-0.006000000000000005,
563750,2025-11-20,0.978,0.972,0.988,0.97,239088.0,,1.8404907975460139,-0.613496932515338,-0.006000000000000005,
563750,2025-11-21,0.968,0.939,0.97,0.938,134017.0,,3.292181069958851,-3.395061728395065,-0.03300000000000003,
563750,2025-11-24,0.937,0.943,0.948,0.935,192734.0,,1.3844515441959426,0.42598509052183214,0.0040000000000000036,
563750,2025-11-25,0.952,0.954,0.965,0.95,105417.0,,1.590668080593851,1.166489925768824,0.01100000000000001,
563750,2025-11-26,0.954,0.955,0.963,0.954,54360.0,,0.9433962264150951,0.10482180293501057,0.0010000000000000009,
563750,2025-11-27,0.959,0.953,0.968,0.951,68211.0,,1.7801047120418867,-0.2094240837696337,-0.0020000000000000018,
