date,open,high,low,close,volume,amount
2024-10-15 15:00:00,0.97,0.97,1.01,1.008,133001921700,1329327732000.0
2024-10-16 15:00:00,1.02,1.036,1.024,1.023,132544605500,1324228906000.0
2024-10-17 15:00:00,1.029,1.037,1.043,1.043,132122934200,1320293696000.0
2024-10-18 15:00:00,1.043,1.102,1.048,1.08,132739414800,1326721847000.0
2024-10-21 15:00:00,1.083,1.096,1.093,1.083,132767290800,1327207808000.0
2024-10-22 15:00:00,1.083,1.093,1.088,1.092,132278632200,1322201101000.0
2024-10-23 15:00:00,1.093,1.107,1.099,1.095,132549393100,1325023316000.0
2024-10-24 15:00:00,1.099,1.1,1.109,1.105,132421248700,1323518333000.0
2024-10-25 15:00:00,1.107,1.124,1.11,1.115,132562458400,1325237418000.0
2024-10-28 15:00:00,1.116,1.118,1.127,1.117,132799903500,1327596710000.0
2024-10-29 15:00:00,1.118,1.124,1.128,1.128,132715548600,1326787430000.0
2024-10-30 15:00:00,1.131,1.137,1.14,1.132,133008649800,1329474372000.0
2024-10-31 15:00:00,1.134,1.145,1.139,1.137,132540031100,1324652673000.0
2024-11-01 15:00:00,1.138,1.146,1.145,1.142,132564356400,1325137634000.0
2024-11-04 15:00:00,1.144,1.156,1.146,1.156,132266652200,1322082609000.0
2024-11-05 15:00:00,1.157,1.186,1.161,1.184,132894385500,1328718345000.0
2024-11-06 15:00:00,1.185,1.196,1.195,1.189,133041643200,1330335246000.0
2024-11-07 15:00:00,1.197,1.23,1.199,1.23,132845152200,1328402245000.0
2024-11-08 15:00:00,1.242,1.245,1.264,1.261,132984810100,1330048274000.0
2024-11-11 15:00:00,1.269,1.288,1.273,1.288,132567915500,1325730929000.0
2024-11-12 15:00:00,1.288,1.299,1.307,1.3,132861945400,1328770065000.0
2024-11-13 15:00:00,1.306,1.318,1.308,1.315,132174239400,1321800561000.0
2024-11-14 15:00:00,1.317,1.319,1.336,1.336,132847820700,1328466782000.0
2024-11-15 15:00:00,1.338,1.343,1.354,1.352,132803994600,1327848805000.0
2024-11-18 15:00:00,1.355,1.362,1.374,1.368,132903862300,1328682339000.0
2024-11-19 15:00:00,1.368,1.377,1.382,1.377,132874825000,1328268763000.0
2024-11-20 15:00:00,1.381,1.393,1.383,1.39,132721704200,1326928538000.0
2024-11-21 15:00:00,1.391,1.394,1.397,1.392,132591023400,1325676494000.0
2024-11-22 15:00:00,1.395,1.397,1.424,1.422,132974103900,1329263462000.0
2024-11-25 15:00:00,1.422,1.426,1.438,1.429,132869526200,1328008377000.0
2024-11-26 15:00:00,1.432,1.441,1.433,1.432,132656007600,1325980507000.0
2024-11-27 15:00:00,1.434,1.454,1.44,1.454,132888098400,1328163443000.0
2024-11-28 15:00:00,1.456,1.458,1.466,1.464,132751300300,1326963727000.0
2024-11-29 15:00:00,1.465,1.487,1.466,1.477,132951455100,1328936163000.0
2024-12-02 15:00:00,1.478,1.492,1.48,1.489,132874810400,1328301674000.0
2024-12-03 15:00:00,1.49,1.493,1.498,1.492,132713990300,1326759549000.0
2024-12-04 15:00:00,1.493,1.496,1.501,1.499,132738512000,1326975395000.0
