index_component_type,secucode,stock_code,stock_name,close_price,change_rate,trade_date,industry,region,weight,eps,roe,free_cap,pe,source
7,600446.SH,600446,金证股份,12.9,-0.997697620875,2026-06-03 00:00:00,IT服务Ⅱ,深圳市,,-0.052,-1.37,121.42,-62.01,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,600075.SH,600075,新疆天业,4.99,-0.597609561753,2026-06-03 00:00:00,化学原料,石河子市,,-0.03,-0.64,85.22,-35.97,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,000950.SZ,000950,重药控股,5.56,-2.456140350877,2026-06-03 00:00:00,医药商业,重庆市,,0.1,1.47,96.09,14.07,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,600459.SH,600459,贵研铂业,24.2,3.19829424307,2026-06-03 00:00:00,小金属,昆明市,,0.29,2.87,183.85,22.42,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,600155.SH,600155,华创云信,5.58,-1.933216168717,2026-06-03 00:00:00,证券Ⅱ,北京市,,0.01,0.16,123.52,99.45,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,000061.SZ,000061,农产品,6.32,-0.315457413249,2026-06-03 00:00:00,一般零售,深圳市,,0.068,1.55,113.4,23.23,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,600710.SH,600710,苏美达,11.5,0.524475524476,2026-06-03 00:00:00,贸易Ⅱ,南京市,,0.24,3.53,150.28,12.08,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,600179.SH,600179,安通控股,4.45,1.366742596811,2026-06-03 00:00:00,航运港口,泉州市,,0.06,2.12,171.87,18.55,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,000901.SZ,000901,航天科技,18.81,1.07469102633,2026-06-03 00:00:00,汽车零部件,哈尔滨市,,0.0188,0.35,150.14,249.75,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,600211.SH,600211,西藏药业,38.03,-2.18621399177,2026-06-03 00:00:00,生物制品,拉萨市,,0.93,7.58,122.58,10.26,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,002051.SZ,002051,中工国际,10.93,0.73732718894,2026-06-03 00:00:00,专业工程,北京市,,0.06,0.67,134.05,42.9,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,000801.SZ,000801,四川九洲,13.04,1.875,2026-06-03 00:00:00,黑色家电,绵阳市,,0.0146,0.48,132.48,223.57,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,600403.SH,600403,大有能源,6.73,9.967320261438,2026-06-03 00:00:00,煤炭开采,三门峡市,,-0.1544,-10.52,160.9,-10.89,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,600623.SH,600623,华谊集团,8.81,0.916380297824,2026-06-03 00:00:00,化学原料,上海市,,0.08,0.75,165.28,27.85,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,600366.SH,600366,宁波韵升,12.67,2.25988700565,2026-06-03 00:00:00,金属新材料,宁波市,,0.106,1.87,139.25,29.87,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,600328.SH,600328,中盐化工,6.85,-1.011560693642,2026-06-03 00:00:00,化学原料,阿拉善盟,,-0.1053,-1.29,100.44,-16.27,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,600094.SH,600094,大名城,4.1,-1.442307692308,2026-06-03 00:00:00,房地产开发,上海市,,0.002,0.05,87.18,510.07,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,000756.SZ,000756,新华制药,13.15,-2.230483271375,2026-06-03 00:00:00,化学制药,淄博市,,0.12,1.59,65.61,27.3,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,000860.SZ,000860,顺鑫农业,11.05,-1.515151515152,2026-06-03 00:00:00,白酒Ⅱ,北京市,,0.156,1.7,81.97,17.71,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,600452.SH,600452,涪陵电力,12.32,-4.124513618677,2026-06-03 00:00:00,电力,重庆市,,0.08,2.26,189.3,36.88,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,600123.SH,600123,兰花科创,7.37,2.219140083218,2026-06-03 00:00:00,煤炭开采,晋城市,,-0.0186,-0.18,108.58,-98.85,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,600120.SH,600120,浙江东方,4.83,-1.226993865031,2026-06-03 00:00:00,多元金融,杭州市,,0.05,0.93,164.96,26.99,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,600963.SH,600963,岳阳林纸,3.9,-1.76322418136,2026-06-03 00:00:00,造纸,岳阳市,,0.01,0.17,68.55,132.65,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,600746.SH,600746,江苏索普,6.41,-1.384615384615,2026-06-03 00:00:00,化学原料,镇江市,,0.0296,0.63,74.86,54.89,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,000403.SZ,000403,派林生物,12.96,4.600484261501,2026-06-03 00:00:00,生物制品,太原市,,0.02,0.28,121.91,134.06,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
