stock_code,fetched_at,stock_name_quote,latest_price,quote_pct_chg,quote_price_change,quote_volume,quote_amount,quote_high,quote_low,quote_open,quote_prev_close,quote_turnover_rate,pe_ttm,quote_time,source
000063,2026-06-07T16:27:35,中兴通讯,39.13,3.68,1.39,4637054.0,18325624374.0,41.3,37.05,37.58,37.74,11.51,41.83,20260605161424,tencent_realtime
000333,2026-06-07T16:27:35,美的集团,81.69,-0.89,-0.73,209494.0,1725517859.0,83.3,81.6,82.3,82.42,0.31,14.07,20260605161439,tencent_realtime
000534,2026-06-07T16:27:35,万泽股份,32.5,-1.66,-0.55,223049.0,733372294.0,34.25,32.04,33.66,33.05,4.45,82.06,20260605161406,tencent_realtime
000568,2026-06-07T16:27:35,泸州老窖,86.88,0.32,0.28,73873.0,644152414.0,88.18,86.44,87.04,86.6,0.5,12.86,20260605161421,tencent_realtime
000592,2026-06-07T16:27:35,平潭发展,8.06,0.12,0.01,1070301.0,869390562.0,8.24,8.01,8.07,8.05,5.59,-130.72,20260605161445,tencent_realtime
000651,2026-06-07T16:27:35,格力电器,38.46,-1.08,-0.42,367641.0,1424485747.0,39.27,38.42,38.7,38.88,0.67,7.38,20260605161433,tencent_realtime
000725,2026-06-07T16:27:35,京东方Ａ,6.43,4.55,0.28,55041155.0,35684789249.0,6.77,6.01,6.11,6.15,15.15,40.03,20260605161433,tencent_realtime
000792,2026-06-07T16:27:35,盐湖股份,29.45,0.34,0.1,857145.0,2537924609.0,30.35,28.98,29.25,29.35,1.62,15.11,20260605161457,tencent_realtime
000858,2026-06-07T16:27:35,五 粮 液,81.08,-0.02,-0.02,219364.0,1789684297.0,82.42,81.03,81.5,81.1,0.57,24.98,20260605161451,tencent_realtime
000973,2026-06-07T16:27:35,佛塑科技,13.91,-1.7,-0.24,429988.0,604244856.0,14.44,13.76,14.14,14.15,4.44,53.05,20260605161442,tencent_realtime
002001,2026-06-07T16:27:35,新 和 成,31.74,3.46,1.06,563512.0,1805371752.0,32.79,30.82,30.99,30.68,1.86,14.53,20260605161409,tencent_realtime
002230,2026-06-07T16:27:35,科大讯飞,46.03,0.41,0.19,482055.0,2200804679.0,46.43,45.01,45.83,45.84,2.2,128.13,20260605161500,tencent_realtime
002352,2026-06-07T16:27:35,顺丰控股,34.86,1.78,0.61,170435.0,592074782.0,34.88,34.25,34.25,34.25,0.36,15.4,20260605161500,tencent_realtime
002371,2026-06-07T16:27:35,北方华创,603.36,-3.77,-23.64,80843.0,4927541316.0,619.59,600.0,615.0,627.0,1.12,78.43,20260605161451,tencent_realtime
002384,2026-06-07T16:27:35,东山精密,221.41,-6.89,-16.39,844741.0,19466323940.0,241.8,219.05,232.08,237.8,6.09,198.78,20260605161403,tencent_realtime
002415,2026-06-07T16:27:35,海康威视,31.28,2.12,0.65,761527.0,2379650205.0,31.53,30.51,30.77,30.63,0.84,19.19,20260605161415,tencent_realtime
002463,2026-06-07T16:27:35,沪电股份,133.22,-5.4,-7.6,955056.0,13031904560.0,141.28,131.81,137.1,140.82,4.97,59.59,20260605161421,tencent_realtime
002475,2026-06-07T16:27:35,立讯精密,68.77,-7.8,-5.82,2551045.0,18017428381.0,73.39,67.98,73.0,74.59,3.51,29.13,20260605161451,tencent_realtime
002565,2026-06-07T16:27:35,顺灏股份,15.34,5.28,0.77,1302262.0,1963946788.0,15.55,14.32,14.9,14.57,12.29,247.89,20260605161427,tencent_realtime
002594,2026-06-07T16:27:35,比亚迪,93.01,-0.46,-0.43,339969.0,3159266076.0,94.0,92.3,93.52,93.44,0.98,30.78,20260605161454,tencent_realtime
002714,2026-06-07T16:27:35,牧原股份,35.06,-0.2,-0.07,391703.0,1378272677.0,35.63,34.85,35.13,35.13,1.03,20.69,20260605161409,tencent_realtime
003036,2026-06-07T16:27:35,泰坦股份,82.35,10.01,7.49,164088.0,1339718627.0,82.35,77.13,78.0,74.86,7.59,364.4,20260605161412,tencent_realtime
300059,2026-06-07T16:27:35,东方财富,18.52,-1.17,-0.22,2553013.0,4770469812.0,18.95,18.5,18.76,18.74,1.91,22.36,20260605161403,tencent_realtime
300124,2026-06-07T16:27:35,汇川技术,75.08,1.25,0.93,531795.0,3978154954.0,77.63,72.14,74.48,74.15,2.21,42.88,20260605161454,tencent_realtime
300274,2026-06-07T16:27:35,阳光电源,153.75,-6.45,-10.6,840044.0,13241538824.0,166.25,152.85,165.99,164.35,5.29,26.73,20260605161439,tencent_realtime
300308,2026-06-07T16:27:35,中际旭创,1179.99,-7.81,-100.01,474741.0,58324832702.0,1301.51,1160.0,1273.2,1280.0,4.28,88.01,20260605161445,tencent_realtime
300322,2026-06-07T16:27:35,硕贝德,33.75,6.8,2.15,956643.0,3245770692.0,36.88,30.55,31.59,31.6,21.72,256.26,20260605161451,tencent_realtime
300328,2026-06-07T16:27:35,宜安科技,22.12,12.86,2.52,1305927.0,2882502754.0,23.52,19.23,19.61,19.6,19.01,-497.23,20260605161415,tencent_realtime
300394,2026-06-07T16:27:35,天孚通信,457.0,-4.88,-23.45,471206.0,22474176090.0,501.87,449.0,483.0,480.45,6.06,163.95,20260605161430,tencent_realtime
300408,2026-06-07T16:27:35,三环集团,134.83,-3.02,-4.2,782509.0,10579077306.0,142.9,130.0,136.0,139.03,4.18,89.83,20260605161451,tencent_realtime
300476,2026-06-07T16:27:35,胜宏科技,338.9,-7.59,-27.82,553281.0,19274961849.0,360.0,336.5,359.84,366.72,6.39,71.17,20260605161424,tencent_realtime
300489,2026-06-07T16:27:35,光智科技,125.35,-3.23,-4.18,85283.0,1078851871.0,129.0,124.2,127.51,129.53,6.15,-637.03,20260605161442,tencent_realtime
300502,2026-06-07T16:27:35,新易盛,748.0,-3.6,-27.94,441765.0,34165078019.0,818.38,730.0,790.0,775.94,4.93,69.36,20260605161442,tencent_realtime
300720,2026-06-07T16:27:35,海川智能,78.53,2.48,1.9,123453.0,953136665.0,79.5,74.11,76.1,76.63,6.7,668.2,20260605161409,tencent_realtime
300750,2026-06-07T16:27:35,宁德时代,403.0,-1.27,-5.2,287389.0,11711423570.0,412.65,402.7,407.89,408.2,0.68,23.61,20260605161421,tencent_realtime
300760,2026-06-07T16:27:35,迈瑞医疗,144.39,1.26,1.8,77960.0,1124932248.0,145.47,142.93,143.64,142.59,0.64,22.34,20260605161433,tencent_realtime
300903,2026-06-07T16:27:35,科翔股份,72.1,-2.24,-1.65,281715.0,2128549835.0,78.97,71.44,73.0,73.75,8.58,-118.43,20260605161424,tencent_realtime
300975,2026-06-07T16:27:35,商络电子,44.8,2.96,1.29,1072828.0,4748148422.0,45.25,41.9,42.14,43.51,21.8,58.87,20260605161448,tencent_realtime
301128,2026-06-07T16:27:35,强瑞技术,145.98,4.86,6.76,138584.0,2051409140.0,158.0,135.58,137.18,139.22,9.57,146.42,20260605161433,tencent_realtime
600028,2026-06-07T16:27:35,中国石化,4.89,1.45,0.07,3796464.0,1859033861.0,4.96,4.81,4.82,4.82,0.4,16.63,20260605161408,tencent_realtime
600030,2026-06-07T16:27:35,中信证券,25.67,0.31,0.08,1580962.0,4072685493.0,26.04,25.59,25.66,25.59,1.3,11.29,20260605161426,tencent_realtime
600036,2026-06-07T16:27:35,招商银行,38.58,1.26,0.48,778709.0,3000501535.0,38.7,38.11,38.18,38.1,0.38,6.45,20260605161401,tencent_realtime
600150,2026-06-07T16:27:35,中国船舶,35.95,-2.55,-0.94,891306.0,3248445897.0,37.18,35.85,36.8,36.89,1.18,23.93,20260605161425,tencent_realtime
600183,2026-06-07T16:27:35,XD生益科,137.36,-4.05,-5.8,726278.0,10128513370.0,145.16,136.38,140.0,143.16,3.03,84.94,20260605161405,tencent_realtime
600276,2026-06-07T16:27:35,恒瑞医药,47.08,0.97,0.45,930264.0,4447209359.0,48.72,47.0,47.48,46.63,1.46,38.49,20260605161404,tencent_realtime
600397,2026-06-07T16:27:35,江钨装备,13.62,-2.16,-0.3,337026.0,463818937.0,14.08,13.46,13.93,13.92,3.4,-78.18,20260605161422,tencent_realtime
600487,2026-06-07T16:27:35,亨通光电,96.12,-1.79,-1.75,2509906.0,24741726780.0,102.96,95.0,96.0,97.87,10.26,73.42,20260605161415,tencent_realtime
600519,2026-06-07T16:27:35,贵州茅台,1272.86,0.38,4.86,31304.0,3984001862.0,1283.0,1267.74,1278.0,1268.0,0.25,19.24,20260605161417,tencent_realtime
600900,2026-06-07T16:27:35,长江电力,27.61,-0.4,-0.11,1094136.0,3042122314.0,28.1,27.51,27.72,27.72,0.45,18.72,20260605161414,tencent_realtime
601088,2026-06-07T16:27:35,中国神华,48.52,-1.02,-0.5,358227.0,1756851081.0,49.8,48.52,48.75,49.02,0.22,20.41,20260605161402,tencent_realtime
601133,2026-06-07T16:27:35,柏诚股份,27.6,-2.47,-0.7,207951.0,580799460.0,28.77,27.39,28.01,28.3,3.97,75.88,20260605161412,tencent_realtime
601138,2026-06-07T16:27:35,工业富联,74.06,-5.72,-4.49,2616486.0,19787640639.0,78.21,73.1,77.5,78.55,1.32,36.15,20260605161413,tencent_realtime
601166,2026-06-07T16:27:35,兴业银行,18.6,1.69,0.31,1172000.0,2178524449.0,18.66,18.32,18.32,18.29,0.55,5.08,20260605161425,tencent_realtime
601288,2026-06-07T16:27:35,农业银行,6.36,0.95,0.06,2581888.0,1643816671.0,6.4,6.31,6.31,6.3,0.08,7.56,20260605161403,tencent_realtime
601318,2026-06-07T16:27:35,中国平安,53.48,0.47,0.25,937165.0,5047248522.0,54.58,53.24,53.3,53.23,0.88,7.29,20260605161500,tencent_realtime
601398,2026-06-07T16:27:35,工商银行,7.34,1.52,0.11,2789481.0,2039845283.0,7.35,7.24,7.24,7.23,0.1,7.04,20260605161416,tencent_realtime
601628,2026-06-07T16:27:35,中国人寿,32.82,1.02,0.33,614130.0,2046627811.0,34.19,32.66,32.7,32.49,0.29,6.41,20260605161418,tencent_realtime
601658,2026-06-07T16:27:35,邮储银行,4.96,0.61,0.03,1112698.0,550999194.0,4.98,4.92,4.94,4.93,0.15,6.78,20260605161422,tencent_realtime
601728,2026-06-07T16:27:35,中国电信,6.11,1.66,0.1,1482556.0,908393083.0,6.19,6.02,6.02,6.01,0.19,17.65,20260605161413,tencent_realtime
601857,2026-06-07T16:27:35,中国石油,10.61,-0.38,-0.04,1371556.0,1463799172.0,10.8,10.55,10.6,10.65,0.08,12.28,20260605161428,tencent_realtime
601899,2026-06-07T16:27:35,紫金矿业,29.63,-2.34,-0.71,2716213.0,8155837777.0,30.85,29.53,30.3,30.34,1.32,12.77,20260605161409,tencent_realtime
601988,2026-06-07T16:27:35,中国银行,6.05,2.54,0.15,3643592.0,2187970116.0,6.05,5.9,5.91,5.9,0.17,7.95,20260605161419,tencent_realtime
603002,2026-06-07T16:27:35,宏昌电子,16.75,-4.67,-0.82,601084.0,1029899151.0,17.6,16.68,17.25,17.57,5.3,646.46,20260605161405,tencent_realtime
603259,2026-06-07T16:27:35,药明康德,96.56,-0.2,-0.19,424532.0,4164376641.0,100.24,96.03,98.38,96.75,1.72,14.31,20260605161416,tencent_realtime
603738,2026-06-07T16:27:35,泰晶科技,44.49,-1.9,-0.86,351381.0,1580518686.0,46.15,43.98,44.6,45.35,9.11,257.86,20260605161415,tencent_realtime
603800,2026-06-07T16:27:35,洪田股份,76.55,-0.58,-0.45,141042.0,1095484726.0,80.49,72.6,76.0,77.0,6.78,670.34,20260605161410,tencent_realtime
603936,2026-06-07T16:27:35,博敏电子,21.44,-1.06,-0.23,535418.0,1159175717.0,22.55,20.62,21.3,21.67,8.49,-438.28,20260605161413,tencent_realtime
603950,2026-06-07T16:27:35,长源东谷,64.62,-7.75,-5.43,71049.0,473280240.0,70.04,64.62,69.0,70.05,2.2,53.14,20260605161404,tencent_realtime
603986,2026-06-07T16:27:35,兆易创新,488.0,-7.8,-41.31,547135.0,27565110091.0,519.8,484.9,507.0,529.31,8.19,119.02,20260605161409,tencent_realtime
603993,2026-06-07T16:27:35,洛阳钼业,18.19,-2.93,-0.55,2197914.0,4067590874.0,19.13,18.07,18.6,18.74,1.26,16.11,20260605161409,tencent_realtime
605389,2026-06-07T16:27:35,长龄液压,84.96,2.48,2.06,16576.0,138185895.0,85.3,81.2,82.75,82.9,0.94,119.57,20260605161426,tencent_realtime
688008,2026-06-07T16:27:35,澜起科技,239.39,-7.81,-20.28,69240758.0,17072494074.0,254.56,237.61,249.98,259.67,6.04,114.4,20260605161444,tencent_realtime
688028,2026-06-07T16:27:35,沃尔德,117.32,-6.52,-8.18,8865425.0,1076107507.0,131.55,113.8,131.0,125.5,5.87,174.03,20260605161432,tencent_realtime
688041,2026-06-07T16:27:35,海光信息,274.06,-4.1,-11.73,33220727.0,9207397358.0,283.62,272.92,280.0,285.79,1.43,233.67,20260605161431,tencent_realtime
688195,2026-06-07T16:27:35,腾景科技,241.8,2.16,5.11,12084211.0,2926354831.0,252.0,231.0,231.0,236.69,6.67,608.02,20260605161447,tencent_realtime
688256,2026-06-07T16:27:35,寒武纪,1299.2,-4.39,-59.7,11635451.0,15620599199.0,1407.77,1287.34,1342.0,1358.9,1.85,300.44,20260605161458,tencent_realtime
688268,2026-06-07T16:27:35,华特气体,196.7,-3.39,-6.9,13911471.0,2763108536.0,208.0,194.06,195.18,203.6,11.13,197.12,20260605161441,tencent_realtime
688531,2026-06-07T16:27:35,日联科技,195.17,-1.91,-3.81,7821853.0,1575543103.0,215.0,190.0,202.96,198.98,6.81,174.82,20260605161453,tencent_realtime
