bullish_rank,bullish_score,stock_code,stock_name,family_ids,source_etf_codes,source_etf_names,source_etf_pred_fwd_ret_5_best,source_etf_pred_rank_best,mechanism_tags,industry,region,latest_price,quote_pct_chg,quote_amount,quote_turnover_rate,history_trade_date,history_amount,history_amount_ratio_20,history_amount_z20,stock_ret_5,stock_ret_20,stock_ret_60,index_weight_pct_max,component_rank_best,component_free_cap_max,component_roe_pct,pe_ttm,top_free_holder_ratio_sum_pct,top_free_institution_ratio_sum_pct,top_free_fund_like_ratio_sum_pct,top_free_hold_ratio_change_sum_pct,top_free_holder_name,top_free_holder_type,top_free_holder_ratio_pct,top_total_holder_ratio_sum_pct,top_total_institution_ratio_sum_pct,top_total_hold_ratio_change_sum_pct,top_total_holder_name,top_total_holder_type,top_total_holder_ratio_pct,holder_report_date_free,holder_report_date_total,quote_time,fetched_at,display_names,component_pe,component_eps,component_trade_date,source_etf_dates,source_etf_signal_reasons,stock_name_quote,quote_price_change,quote_volume,quote_high,quote_low,quote_open,quote_prev_close,source,history_close,history_amount_mean_20,history_turnover_rate,history_amplitude,history_pct_chg,stock_ret_3,stock_ret_10,top_free_holder_total_ratio_sum_pct,top_holder_rows_free,top_holder_rows_total
1,80.725213,003036,泰坦股份,CSI_2000,159531,中证2000ETF南方,0.0106279536059929,4.0,ETF信号牵引;价格动量;成交额放大;高换手交易;流通股东集中;机构股东参与,专用设备,绍兴市,82.35,10.01,1339718627.0,7.59,2026-06-05,1351264680.0,1.5093322955755952,1.7116454597427364,0.15985915492957736,0.9680240894751935,3.5562686732322666,,10.0,178.11,1.38,364.4,74.601726220701,70.337344603013,1.240476595531,-0.14309999999999998,绍兴泰坦投资股份有限公司,其他,65.397933292357,74.61,70.34,-0.14,绍兴泰坦投资股份有限公司,其他,65.4,2026-03-31,2026-03-31,20260605161412,2026-06-07T16:27:35,中证2000,217.1,0.09,2026-06-05 00:00:00,2026-06-05,pred>= 0.0000,泰坦股份,7.49,164088.0,82.35,77.13,78.0,74.86,tencent_realtime,82.35,895273150.89,,6.973016297087896,10.00534330750734,0.21460176991150437,0.6202974972453958,74.59989999999999,10,10
2,63.846511,688668,鼎通科技,CSI_2000,159531,中证2000ETF南方,0.0106279536059929,4.0,ETF信号牵引;价格动量;成交额放大;高换手交易;流通股东集中;机构股东参与,通信设备,东莞市,395.97,9.26,3864556913.0,6.84,2026-06-05,377406728415.0,2.061643564055649,3.409984173284996,0.36574345531680064,0.7708855098389984,1.8413461538461537,,1.0,551.47,3.88,205.81,51.608540426687,42.066249787124,5.071743566622,-0.22700000000000004,东莞市鼎宏骏盛投资有限公司,其他,36.329046345932,51.61,42.059999999999995,-0.23,东莞市鼎宏骏盛投资有限公司,其他,36.33,2026-03-31,2026-03-31,20260605161435,2026-06-07T16:27:35,中证2000,171.63,0.58,2026-06-05 00:00:00,2026-06-05,pred>= 0.0000,鼎通科技,33.57,9531195.0,428.0,380.52,386.84,362.4,tencent_realtime,395.97,183061095038.45,,13.10154525386314,9.263245033112597,0.3666390557051149,0.4525678650036684,51.6086,10,10
3,62.279393,300975,商络电子,CSI_2000,159531,中证2000ETF南方,0.0106279536059929,4.0,ETF信号牵引;价格动量;成交额放大;高换手交易;流通股东集中;ROE支撑,元件,南京市,44.8,2.96,4748148422.0,21.8,2026-06-05,4806269440.0,1.7655655316760566,1.4785868966736033,0.2509074663539397,0.9432636418842717,1.8784374196864557,,6.0,220.45,10.1,58.87,30.939831403854,6.060208035393,3.607262453947,-0.2431000000000001,沙宏志,个人,11.194913894219,49.62,3.86,-1.51,沙宏志,个人,35.04,2026-03-31,2026-03-31,20260605161448,2026-06-07T16:27:35,中证2000,29.98,0.3755,2026-06-05 00:00:00,2026-06-05,pred>= 0.0000,商络电子,1.29,1072828.0,45.25,41.9,42.14,43.51,tencent_realtime,44.8,2722226591.8599997,,7.699379452999314,2.9648356699609266,0.03202027182676814,0.9706166974575523,22.1608,10,10
4,46.128188,688268,华特气体,CSI_2000,159531,中证2000ETF南方,0.0106279536059929,4.0,ETF信号牵引;价格动量;成交额放大;高换手交易;流通股东集中;机构股东参与,电子化学品Ⅱ,佛山市,196.7,-3.39,2763108536.0,11.13,2026-06-05,273638634569.99997,1.5028376017710565,1.4275091648413112,0.37456324248777073,0.1924825704759019,1.718352681039248,,3.0,245.91,1.67,197.12,55.96393613473,34.046893752418,0.811456398957,-1.6598,广东华特投资有限公司,其他,22.216250047732,36.15,26.67,-2.05,广东华特投资有限公司,其他,21.3,2026-03-31,2026-05-29,20260605161441,2026-06-07T16:27:35,中证2000,181.59,0.28,2026-06-05 00:00:00,2026-06-05,pred>= 0.0000,华特气体,-6.9,13911471.0,208.0,194.06,195.18,203.6,tencent_realtime,196.7,182081306887.4,,6.846758349705303,-3.3889980353634606,0.3390972836816666,0.2002684891383939,55.9262,10,3
5,40.697996,688531,日联科技,CSI_2000,159531,中证2000ETF南方,0.0106279536059929,4.0,ETF信号牵引;价格动量;高换手交易;机构股东参与,专用设备,无锡市,195.17,-1.91,1575543103.0,6.81,2026-06-05,152659105001.0,0.9560037603236959,-0.22755597199287395,0.09216564073866818,0.5311053581234799,1.6560968971148609,,5.0,224.01,1.3,174.82,26.301015430312,21.724413510517,3.674689932143,-0.2343,深圳市共创日联投资发展合伙企业(有限合伙),其他,6.808740953591,46.76,41.11,-0.22999999999999998,无锡日联实业有限公司,其他,27.48,2026-04-14,2026-04-14,20260605161453,2026-06-07T16:27:35,中证2000,182.99,0.27,2026-06-05 00:00:00,2026-06-05,pred>= 0.0000,日联科技,-3.81,7821853.0,215.0,190.0,202.96,198.98,tencent_realtime,195.17,159684628174.8,,12.564076791637351,-1.9147653030455334,0.08211355067642478,0.1582789317507418,18.2302,10,10
6,38.511968,600183,生益科技,CSI_A500,159352,中证A500ETF,0.0119029414229423,1.0,ETF信号牵引;流通股东集中;机构股东参与,元件,东莞市,137.36,-4.05,10128513370.0,3.03,2026-06-05,9976154608.000002,1.029743657393204,0.0750186178326395,-0.01759404949220411,0.691625615763547,1.28476380572189,,25.0,3289.09,6.68,84.94,57.683004567735,57.683004567735,13.8143449867,-0.6870999999999998,广东省广新控股集团有限公司,其他,22.884909110754,56.87,56.87,-0.6799999999999999,广东省广新控股集团有限公司,其他,22.56,2026-03-31,2026-03-31,20260605161405,2026-06-07T16:27:35,中证A500,72.03,0.48,2026-06-05 00:00:00,2026-06-05,pred>= 0.0000,XD生益科,-5.8,726278.0,145.16,136.38,140.0,143.16,tencent_realtime,137.36,9687998111.35,,6.132998044146411,-4.051411008661625,-0.020745704712340496,0.28122376643969793,56.860800000000005,10,10
7,38.434991,300408,三环集团,CSI_A50,159601,中证A50ETF华夏,0.0110619502339789,3.0,ETF信号牵引;价格动量;流通股东集中;机构股东参与,元件,潮州市,134.83,-3.02,10579077306.0,4.18,2026-06-05,10550568847.000002,1.4873399333076662,0.9526118327003528,0.04697934461872966,0.5705117005043623,1.3850630627443352,,12.0,2521.06,3.59,89.83,49.532204163038,46.649621781575,2.100425617778,0.8030999999999999,潮州市三江投资有限公司,其他,34.514733951716,50.42,45.510000000000005,0.7900000000000003,潮州市三江投资有限公司,其他,33.67,2026-03-31,2026-03-31,20260605161451,2026-06-07T16:27:35,中证A50,81.68,0.41,2026-06-05 00:00:00,2026-06-05,pred>= 0.0000,三环集团,-4.2,782509.0,142.9,130.0,136.0,139.03,tencent_realtime,134.83,7093582718.2,,9.278572969862624,-3.0209307343738683,0.00275174773166742,0.17243478260869582,48.3254,10,10
8,37.703666,000725,京东方A,CSI_A50,159601,中证A50ETF华夏,0.0110619502339789,3.0,ETF信号牵引;价格动量;成交额放大;高换手交易;机构股东参与,光学光电子,北京市,6.43,4.55,35684789249.0,15.15,2026-06-05,35391462665.0,2.441434650632399,1.8809356319171788,0.2583170254403129,0.5419664268585132,0.4918793503480279,,15.0,2336.77,1.26,40.03,26.802319168341,26.017081888217,3.672106838313,0.1806,北京国有资本运营管理有限公司,其他,10.971737397359,26.810000000000002,26.02,0.19,北京国有资本运营管理有限公司,其他,10.97,2026-04-16,2026-04-16,20260605161433,2026-06-07T16:27:35,中证A50,34.88,0.05,2026-06-05 00:00:00,2026-06-05,pred>= 0.0000,京东方Ａ,0.28,55041155.0,6.77,6.01,6.11,6.15,tencent_realtime,6.43,14496174475.05,,12.357723577235769,4.552845528455274,0.17550274223034745,0.24612403100775193,26.7951,10,10
9,36.372798,603800,洪田股份,CSI_2000,159531,中证2000ETF南方,0.0106279536059929,4.0,ETF信号牵引;价格动量;高换手交易;流通股东集中;机构股东参与,专用设备,苏州市,76.55,-0.58,1095484726.0,6.78,2026-06-05,1079676510.0,1.385564364752236,0.8767132554534813,0.23947538860103634,0.3887880986937591,0.9862480539699015,,16.0,159.22,-2.0,670.34,56.391851923078,51.0569375,0.0,0.6741999999999999,科云新材料有限公司,其他,28.0,56.410000000000004,51.07,0.6699999999999999,科云新材料有限公司,其他,28.0,2026-03-31,2026-03-31,20260605161410,2026-06-07T16:27:35,中证2000,-248.46,-0.08,2026-06-05 00:00:00,2026-06-05,pred>= 0.0000,洪田股份,-0.45,141042.0,80.49,72.6,76.0,77.0,tencent_realtime,76.55,779232302.35,,10.246753246753247,-0.584415584415588,0.07832089026623468,0.22245289045033534,56.3919,10,10
10,33.660511,600487,亨通光电,CSI_500;CSI_800,510500;159800,中证500ETF南方;中证800ETF鹏华,0.0085147430162853,8.0,ETF信号牵引;价格动量;成交额放大;高换手交易;流通股东集中;机构股东参与,通信设备,苏州市,96.12,-1.79,24741726780.0,10.26,2026-06-05,24125216472.0,1.7241645763138536,1.8729659898461133,0.24636929460580914,0.24394978646305177,1.1023622047244097,1.83,1.0,2350.31,3.44,73.42,36.688643995647,32.290150816537,4.470299761536,-1.6284,亨通集团有限公司,其他,24.283088558521,36.37,32.01,-1.6400000000000001,亨通集团有限公司,其他,24.07,2026-03-31,2026-03-31,20260605161415,2026-06-07T16:27:35,中证500;中证800,53.62,0.4563,2026-06-05 00:00:00,2026-06-05,pred>= 0.0000,亨通光电,-1.75,2509906.0,102.96,95.0,96.0,97.87,tencent_realtime,96.12,13992409311.4,,8.133237968734027,-1.788086236844794,0.15640038498556308,0.31581108829568794,36.373,10,10
