stock_code,stock_name,family_ids,display_names,industry,region,component_rank_best,index_weight_pct_max,component_free_cap_max,component_pe,component_eps,component_roe_pct,component_trade_date,source_etf_codes,source_etf_names,source_etf_dates,source_etf_pred_fwd_ret_5_best,source_etf_pred_rank_best,source_etf_signal_reasons
601288,农业银行,CSI_A500,中证A500,银行Ⅱ,北京市,1.0,,20303.93,7.4,0.2,2.65,2026-06-05 00:00:00,159352,中证A500ETF,2026-06-05,0.0119029414229423,1.0,pred>= 0.0000
601398,工商银行,CSI_300;CSI_A100;CSI_A500,沪深300;中证A100;中证A500,银行Ⅱ,北京市,1.0,0.87,19789.54,7.52,0.24,2.21,2026-06-05 00:00:00,510310;159627;159352,沪深300ETF易方达;中证A100ETF华夏;中证A500ETF,2026-06-05,0.0119029414229423,1.0,pred>= 0.0000
300750,宁德时代,CSI_300;CSI_800;CSI_A100;CSI_A50;CSI_A500,沪深300;中证800;中证A100;中证A50;中证A500,电池,宁德市,1.0,4.03,17155.76,22.48,4.58,5.98,2026-06-05 00:00:00,510310;159800;159627;159601;159352,沪深300ETF易方达;中证800ETF鹏华;中证A100ETF华夏;中证A50ETF华夏;中证A500ETF,2026-06-05,0.0119029414229423,1.0,pred>= 0.0000
300308,中际旭创,CSI_300;CSI_800;CSI_A100;CSI_A50;CSI_A500,沪深300;中证800;中证A100;中证A50;中证A500,通信设备,烟台市,1.0,5.31,13093.35,57.35,5.18,17.54,2026-06-05 00:00:00,510310;159800;159627;159601;159352,沪深300ETF易方达;中证800ETF鹏华;中证A100ETF华夏;中证A50ETF华夏;中证A500ETF,2026-06-05,0.0119029414229423,1.0,pred>= 0.0000
601857,中国石油,CSI_A100;CSI_A500,中证A100;中证A500,炼化及贸易,北京市,2.0,,17179.93,10.04,0.264,3.0,2026-06-05 00:00:00,159627;159352,中证A100ETF华夏;中证A500ETF,2026-06-05,0.0119029414229423,1.0,pred>= 0.0000
600519,贵州茅台,CSI_300;CSI_800;CSI_A100;CSI_A500,沪深300;中证800;中证A100;中证A500,白酒Ⅱ,遵义市,3.0,2.97,15911.79,14.6,21.76,10.57,2026-06-05 00:00:00,510310;159800;159627;159352,沪深300ETF易方达;中证800ETF鹏华;中证A100ETF华夏;中证A500ETF,2026-06-05,0.0119029414229423,1.0,pred>= 0.0000
300502,新易盛,CSI_300;CSI_800;CSI_A50;CSI_A500,沪深300;中证800;中证A50;中证A500,通信设备,成都市,3.0,2.88,6701.24,66.98,2.8,14.52,2026-06-05 00:00:00,510310;159800;159601;159352,沪深300ETF易方达;中证800ETF鹏华;中证A50ETF华夏;中证A500ETF,2026-06-05,0.0119029414229423,1.0,pred>= 0.0000
000333,美的集团,CSI_300;CSI_800;CSI_A100;CSI_A50;CSI_A500,沪深300;中证800;中证A100;中证A50;中证A500,白色家电,佛山市,4.0,1.52,5605.6,12.27,1.69,5.56,2026-06-05 00:00:00,510310;159800;159627;159601;159352,沪深300ETF易方达;中证800ETF鹏华;中证A100ETF华夏;中证A50ETF华夏;中证A500ETF,2026-06-05,0.0119029414229423,1.0,pred>= 0.0000
601318,中国平安,CSI_300;CSI_800;CSI_A100;CSI_A500,沪深300;中证800;中证A100;中证A500,保险Ⅱ,深圳市,5.0,2.12,5701.0,9.68,1.43,2.5,2026-06-05 00:00:00,510310;159800;159627;159352,沪深300ETF易方达;中证800ETF鹏华;中证A100ETF华夏;中证A500ETF,2026-06-05,0.0119029414229423,1.0,pred>= 0.0000
002475,立讯精密,CSI_300;CSI_800;CSI_A100;CSI_A50;CSI_A500,沪深300;中证800;中证A100;中证A50;中证A500,消费电子,深圳市,5.0,1.42,4999.08,34.23,0.5,4.2,2026-06-05 00:00:00,510310;159800;159627;159601;159352,沪深300ETF易方达;中证800ETF鹏华;中证A100ETF华夏;中证A50ETF华夏;中证A500ETF,2026-06-05,0.0119029414229423,1.0,pred>= 0.0000
688256,寒武纪,CSI_300;CSI_800;CSI_A100;CSI_A500,沪深300;中证800;中证A100;中证A500,半导体,北京市,6.0,1.59,8162.78,201.41,2.4,8.2,2026-06-05 00:00:00,510310;159800;159627;159352,沪深300ETF易方达;中证800ETF鹏华;中证A100ETF华夏;中证A500ETF,2026-06-05,0.0119029414229423,1.0,pred>= 0.0000
601899,紫金矿业,CSI_300;CSI_800;CSI_A100;CSI_A500,沪深300;中证800;中证A100;中证A500,工业金属,龙岩市,6.0,1.87,6104.31,9.81,0.755,10.35,2026-06-05 00:00:00,510310;159800;159627;159352,沪深300ETF易方达;中证800ETF鹏华;中证A100ETF华夏;中证A500ETF,2026-06-05,0.0119029414229423,1.0,pred>= 0.0000
002371,北方华创,CSI_300;CSI_800;CSI_A100;CSI_A50;CSI_A500,沪深300;中证800;中证A100;中证A50;中证A500,半导体,北京市,6.0,1.01,4369.85,66.88,2.2556,4.25,2026-06-05 00:00:00,510310;159800;159627;159601;159352,沪深300ETF易方达;中证800ETF鹏华;中证A100ETF华夏;中证A50ETF华夏;中证A500ETF,2026-06-05,0.0119029414229423,1.0,pred>= 0.0000
601988,中国银行,CSI_A500,中证A500,银行Ⅱ,北京市,7.0,,12751.31,8.61,0.18,2.12,2026-06-05 00:00:00,159352,中证A500ETF,2026-06-05,0.0119029414229423,1.0,pred>= 0.0000
601088,中国神华,CSI_A100;CSI_A500,中证A100;中证A500,煤炭开采,北京市,7.0,,8001.45,24.66,0.53,2.4,2026-06-05 00:00:00,159627;159352,中证A100ETF华夏;中证A500ETF,2026-06-05,0.0119029414229423,1.0,pred>= 0.0000
600036,招商银行,CSI_300;CSI_800;CSI_A100;CSI_A500,沪深300;中证800;中证A100;中证A500,银行Ⅱ,深圳市,7.0,1.76,7958.65,6.43,1.49,3.37,2026-06-05 00:00:00,510310;159800;159627;159352,沪深300ETF易方达;中证800ETF鹏华;中证A100ETF华夏;中证A500ETF,2026-06-05,0.0119029414229423,1.0,pred>= 0.0000
600900,长江电力,CSI_300;CSI_800;CSI_A100;CSI_A500,沪深300;中证800;中证A100;中证A500,电力,北京市,9.0,1.27,6755.67,24.98,0.2763,3.01,2026-06-05 00:00:00,510310;159800;159627;159352,沪深300ETF易方达;中证800ETF鹏华;中证A100ETF华夏;中证A500ETF,2026-06-05,0.0119029414229423,1.0,pred>= 0.0000
688041,海光信息,CSI_300;CSI_800;CSI_A100;CSI_A500,沪深300;中证800;中证A100;中证A500,半导体,天津市,10.0,0.99,6370.08,231.78,0.3,2.99,2026-06-05 00:00:00,510310;159800;159627;159352,沪深300ETF易方达;中证800ETF鹏华;中证A100ETF华夏;中证A500ETF,2026-06-05,0.0119029414229423,1.0,pred>= 0.0000
601628,中国人寿,CSI_A500,中证A500,保险Ⅱ,北京市,11.0,,6834.28,11.89,0.69,3.27,2026-06-05 00:00:00,159352,中证A500ETF,2026-06-05,0.0119029414229423,1.0,pred>= 0.0000
601166,兴业银行,CSI_300;CSI_800;CSI_A500,沪深300;中证800;中证A500,银行Ⅱ,福州市,14.0,1.16,3936.29,4.13,1.13,2.89,2026-06-05 00:00:00,510310;159800;159352,沪深300ETF易方达;中证800ETF鹏华;中证A500ETF,2026-06-05,0.0119029414229423,1.0,pred>= 0.0000
601728,中国电信,CSI_A100;CSI_A500,中证A100;中证A500,通信服务,北京市,15.0,,4743.18,19.02,0.08,1.58,2026-06-05 00:00:00,159627;159352,中证A100ETF华夏;中证A500ETF,2026-06-05,0.0119029414229423,1.0,pred>= 0.0000
600028,中国石化,CSI_A100;CSI_A500,中证A100;中证A500,炼化及贸易,北京市,16.0,,4633.4,8.69,0.141,2.04,2026-06-05 00:00:00,159627;159352,中证A100ETF华夏;中证A500ETF,2026-06-05,0.0119029414229423,1.0,pred>= 0.0000
601658,邮储银行,CSI_A500,中证A500,银行Ⅱ,北京市,23.0,,3597.38,5.79,0.2,2.43,2026-06-05 00:00:00,159352,中证A500ETF,2026-06-05,0.0119029414229423,1.0,pred>= 0.0000
300394,天孚通信,CSI_A500,中证A500,通信设备,苏州市,24.0,,3552.81,180.85,0.6331,8.57,2026-06-05 00:00:00,159352,中证A500ETF,2026-06-05,0.0119029414229423,1.0,pred>= 0.0000
600183,生益科技,CSI_A500,中证A500,元件,东莞市,25.0,,3289.09,72.03,0.48,6.68,2026-06-05 00:00:00,159352,中证A500ETF,2026-06-05,0.0119029414229423,1.0,pred>= 0.0000
002594,比亚迪,CSI_300;CSI_800;CSI_A100;CSI_A50,沪深300;中证800;中证A100;中证A50,乘用车,深圳市,7.0,0.95,3242.9,51.9,0.448,1.65,2026-06-05 00:00:00,510310;159800;159627;159601,沪深300ETF易方达;中证800ETF鹏华;中证A100ETF华夏;中证A50ETF华夏,2026-06-05,0.0110619502339789,3.0,pred>= 0.0000
000858,五粮液,CSI_A50,中证A50,白酒Ⅱ,宜宾市,8.0,,3147.13,9.76,2.0772,6.5,2026-06-05 00:00:00,159601,中证A50ETF华夏,2026-06-05,0.0110619502339789,3.0,pred>= 0.0000
300476,胜宏科技,CSI_A100;CSI_A50,中证A100;中证A50,元件,惠州市,9.0,,2932.15,64.63,1.48,7.62,2026-06-05 00:00:00,159627;159601,中证A100ETF华夏;中证A50ETF华夏,2026-06-05,0.0110619502339789,3.0,pred>= 0.0000
002415,海康威视,CSI_A100;CSI_A50,中证A100;中证A50,计算机设备,杭州市,10.0,,2829.71,25.77,0.303,3.28,2026-06-05 00:00:00,159627;159601,中证A100ETF华夏;中证A50ETF华夏,2026-06-05,0.0110619502339789,3.0,pred>= 0.0000
