feature,importance,correlation,combined_score
days_since_start,0.10901305561781634,0.009679043491183694,0.06927945076716327
ma_gap_20_60,0.0607851447402845,0.0660751115313842,0.06290113145672438
month_sin,0.060932246502035235,0.0453991316013446,0.054719000541758975
price_position,0.00752749395803951,0.12107782767975729,0.052947627446726625
ret_10,0.034168722518479154,0.0763413982325514,0.051037792804108056
beta_20,0.04506246048083636,0.044264938185614416,0.04474345156274759
days_since_large_move,0.05991231000971378,0.012162456379483365,0.04081236855762161
rsi_28,0.02830697408274868,0.058479956660565734,0.040376167113875504
ret_5,0.022915114903988405,0.06334063792665887,0.03908532411305659
month_cos,0.02221540347149094,0.06364244233468998,0.038786219016770554
turnover_momentum,0.0,0.09517157555586989,0.03806863022234796
vol_20,0.04781713287828976,0.02213369604736038,0.03754375814591801
ret_1,0.027588431342825043,0.04920049423583717,0.03623325650002989
breakout_low,0.00020140265123804347,0.08703148576827181,0.034933435898051556
day_of_month,0.046975792822607894,0.015170905102114598,0.034253837734410576
vol_60,0.020207554870798103,0.04867594187401895,0.031594909672086446
ret_3,0.029311261396085527,0.03156885744792964,0.03021429981682317
ret_60,0.03140366666790187,0.02368322782660811,0.028315491131384367
bollinger_width,0.021642695543055077,0.031935418508163775,0.025759784729098557
vol_persistence,0.03091521876375836,0.006590795092099076,0.021185449295094645
relative_ret_20,0.008892293189444261,0.029040958024619836,0.01695175912351449
drawdown_20,0.016918911955182674,0.01392119076749217,0.015719823480106473
price_volume_corr,0.00779109708242359,0.027021974927489364,0.0154834482204499
drawdown_60,0.020792855338985092,0.006317307917441796,0.015002636370367774
family_CSI_A50,0.00035356458839409913,0.03675387365365053,0.014913688214496672
return_volatility_ratio,0.019815832918455026,0.006189247649151348,0.014365198810733556
family_CSI_500,0.0003135907566460241,0.03473754114337056,0.01408317091133584
is_quarter_end,0.01822341068684526,0.007645371975936632,0.013992195202481808
ret_20,0.011644916513301759,0.016995421234533067,0.01378511840179428
is_month_start,0.0012919602677888514,0.0323595428916943,0.013718993317351031
turnover_rate,0.0,0.03399330263882397,0.013597321055529589
relative_ret_5,0.006615235159498338,0.019042558338460417,0.011586164431083169
liquidity_shock_20,0.0,0.028257404285211514,0.011302961714084606
price_acceleration,0.005142227346522112,0.019889195745139306,0.01104101470596899
price_efficiency,0.013442413397371079,0.005844203957557778,0.010403129621445758
rsi_14,0.011690289443347593,0.006479396384457508,0.009605932219791558
consecutive_days,0.005906512871581422,0.015026804285109554,0.009554629436992675
is_monday,0.0018813899441549504,0.02047927065601424,0.009320542228898667
relative_vol_20,0.01264094072499473,0.0034194980990119007,0.008952363674601598
volume_chg_5,0.0037927472438612285,0.015575024683299908,0.0085056582196367
family_CSI_1000,0.0010202342639680706,0.013852612513786387,0.006153185563895398
intraday_range,0.005380253450524395,0.005802663984078425,0.005549217663946007
day_of_week,0.006501154518104368,0.0038389970964310917,0.0054362915494350576
family_CSI_300,0.0005693000018398949,0.012035810585202185,0.005155904235184811
family_CSI_A500,3.042057947461029e-06,0.012674749008894589,0.0050717248383263126
amplitude,0.005219304894599133,0.004253327875850233,0.004832914087099573
family_CSI_2000,0.0003320956692654038,0.008316046138155724,0.003525675856821532
amount_log,0.0,0.008747723466083601,0.0034990893864334407
quarter,0.0017619510614261928,0.0051889673200390925,0.0031327575648713527
family_CSI_A100,5.686332241547107e-05,0.006657314037176574,0.0026970436083199128
is_month_end,0.00211233778291271,0.001540946825113504,0.0018837813997930276
is_friday,0.0005845936041447319,0.0032917731083300277,0.0016674654058188502
amount_z20,0.0,0.00262626304621755,0.0010505052184870201
family_CSI_800,1.3555715389998976e-05,0.0023393050996652963,0.000943855469100118
breakout_high,0.0001750616807788301,0.0006827021132253768,0.0003781178537574488
macd_histogram,0.02735051554128889,,
ma_gap_5_20,0.026660726260202983,,
price_to_bollinger,0.026292114574673342,,
vol_5,0.021352389934900844,,
large_move,0.0005622330148264621,,
