model,category,test_directional_accuracy,test_spearman_ic,test_rmse
cnn_ngram,N-Gram CNN,0.6807692307692308,0.3678225472296732,0.0280480255019151
lstm_transformer,Memory Transformer,0.6807692307692308,0.370303640049766,0.0279817177952665
gru_transformer,Memory Transformer,0.6807692307692308,0.4730158986017023,0.0280077977748146
tcn,N-Gram CNN,0.6794871794871795,0.252174109397081,0.0283582658621921
wavenet,N-Gram CNN,0.6756410256410257,0.2842996767243142,0.028352993983931
transformer_xl,Memory Transformer,0.6717948717948717,0.356803406227302,0.0279156624884914
lstm,Baseline RNN,0.6487179487179487,0.176261055039098,0.0285439501975242
attention_lstm,Baseline RNN,0.5358974358974359,0.0572723728323859,0.0288326188657688
bilstm,Baseline RNN,0.5115384615384615,0.0658847342042474,0.0297242870906938
gru,Baseline RNN,0.4461538461538462,-0.1556410495243481,0.0299512784127522
