params,mean_accuracy,std_accuracy,fold_accuracies
"{'num_leaves': 15, 'learning_rate': 0.1, 'min_child_samples': 20, 'bagging_fraction': 0.7, 'feature_fraction': 0.6, 'reg_alpha': 0, 'reg_lambda': 0}",0.5870454545454546,0.09375750658652518,"[0.42215909090909093, 0.5698863636363637, 0.6590909090909091, 0.6931818181818182, 0.5909090909090909]"
"{'num_leaves': 15, 'learning_rate': 0.01, 'min_child_samples': 50, 'bagging_fraction': 0.6, 'feature_fraction': 0.9, 'reg_alpha': 0, 'reg_lambda': 1}",0.5870454545454546,0.09375750658652518,"[0.42215909090909093, 0.5698863636363637, 0.6590909090909091, 0.6931818181818182, 0.5909090909090909]"
"{'num_leaves': 63, 'learning_rate': 0.01, 'min_child_samples': 50, 'bagging_fraction': 0.6, 'feature_fraction': 0.9, 'reg_alpha': 0.01, 'reg_lambda': 0}",0.5870454545454546,0.09375750658652518,"[0.42215909090909093, 0.5698863636363637, 0.6590909090909091, 0.6931818181818182, 0.5909090909090909]"
"{'num_leaves': 31, 'learning_rate': 0.1, 'min_child_samples': 50, 'bagging_fraction': 0.7, 'feature_fraction': 0.7, 'reg_alpha': 0.1, 'reg_lambda': 0}",0.5870454545454546,0.09375750658652518,"[0.42215909090909093, 0.5698863636363637, 0.6590909090909091, 0.6931818181818182, 0.5909090909090909]"
"{'num_leaves': 31, 'learning_rate': 0.1, 'min_child_samples': 5, 'bagging_fraction': 0.8, 'feature_fraction': 0.7, 'reg_alpha': 0, 'reg_lambda': 0.1}",0.5870454545454546,0.09375750658652518,"[0.42215909090909093, 0.5698863636363637, 0.6590909090909091, 0.6931818181818182, 0.5909090909090909]"
"{'num_leaves': 31, 'learning_rate': 0.01, 'min_child_samples': 10, 'bagging_fraction': 0.9, 'feature_fraction': 0.7, 'reg_alpha': 1, 'reg_lambda': 0}",0.5870454545454546,0.09375750658652518,"[0.42215909090909093, 0.5698863636363637, 0.6590909090909091, 0.6931818181818182, 0.5909090909090909]"
"{'num_leaves': 15, 'learning_rate': 0.1, 'min_child_samples': 10, 'bagging_fraction': 0.6, 'feature_fraction': 0.7, 'reg_alpha': 1, 'reg_lambda': 0.1}",0.5870454545454546,0.09375750658652518,"[0.42215909090909093, 0.5698863636363637, 0.6590909090909091, 0.6931818181818182, 0.5909090909090909]"
"{'num_leaves': 15, 'learning_rate': 0.05, 'min_child_samples': 50, 'bagging_fraction': 0.6, 'feature_fraction': 0.8, 'reg_alpha': 0, 'reg_lambda': 0}",0.5870454545454546,0.09375750658652518,"[0.42215909090909093, 0.5698863636363637, 0.6590909090909091, 0.6931818181818182, 0.5909090909090909]"
"{'num_leaves': 127, 'learning_rate': 0.03, 'min_child_samples': 20, 'bagging_fraction': 0.6, 'feature_fraction': 0.6, 'reg_alpha': 0, 'reg_lambda': 0.01}",0.5870454545454546,0.09375750658652518,"[0.42215909090909093, 0.5698863636363637, 0.6590909090909091, 0.6931818181818182, 0.5909090909090909]"
"{'num_leaves': 15, 'learning_rate': 0.03, 'min_child_samples': 5, 'bagging_fraction': 0.6, 'feature_fraction': 0.7, 'reg_alpha': 0, 'reg_lambda': 0.01}",0.5870454545454546,0.09375750658652518,"[0.42215909090909093, 0.5698863636363637, 0.6590909090909091, 0.6931818181818182, 0.5909090909090909]"
"{'num_leaves': 15, 'learning_rate': 0.01, 'min_child_samples': 50, 'bagging_fraction': 0.9, 'feature_fraction': 0.7, 'reg_alpha': 0, 'reg_lambda': 0}",0.5870454545454546,0.09375750658652518,"[0.42215909090909093, 0.5698863636363637, 0.6590909090909091, 0.6931818181818182, 0.5909090909090909]"
"{'num_leaves': 15, 'learning_rate': 0.05, 'min_child_samples': 50, 'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'reg_alpha': 1, 'reg_lambda': 0.1}",0.5870454545454546,0.09375750658652518,"[0.42215909090909093, 0.5698863636363637, 0.6590909090909091, 0.6931818181818182, 0.5909090909090909]"
"{'num_leaves': 31, 'learning_rate': 0.05, 'min_child_samples': 50, 'bagging_fraction': 0.9, 'feature_fraction': 0.9, 'reg_alpha': 1, 'reg_lambda': 0}",0.5870454545454546,0.09375750658652518,"[0.42215909090909093, 0.5698863636363637, 0.6590909090909091, 0.6931818181818182, 0.5909090909090909]"
"{'num_leaves': 31, 'learning_rate': 0.1, 'min_child_samples': 10, 'bagging_fraction': 0.9, 'feature_fraction': 0.6, 'reg_alpha': 0.01, 'reg_lambda': 1}",0.5870454545454546,0.09375750658652518,"[0.42215909090909093, 0.5698863636363637, 0.6590909090909091, 0.6931818181818182, 0.5909090909090909]"
"{'num_leaves': 15, 'learning_rate': 0.01, 'min_child_samples': 50, 'bagging_fraction': 0.7, 'feature_fraction': 0.8, 'reg_alpha': 0.01, 'reg_lambda': 0.01}",0.5870454545454546,0.09375750658652518,"[0.42215909090909093, 0.5698863636363637, 0.6590909090909091, 0.6931818181818182, 0.5909090909090909]"
