code,name,family_id,index_code,description,latest_price,pct_chg,amount,volume,turnover_rate,rank_score,selected_rank_in_family,source,matched_pattern,fetched_at,price_change,high,low,open,prev_close,fund_type,display_name
512100,中证1000ETF南方,CSI_1000,000852,剔除沪深 300/中证 500 后的中小盘宽基。,3.341,2.55,5043848542.0,15298071.0,36.22,24.822920832239845,1,eastmoney_spot,中证\s*1000,2026-06-09T15:37:48,0.083,3.348,3.259,3.283,3.258,,中证 1000
159845,中证1000ETF华夏,CSI_1000,000852,剔除沪深 300/中证 500 后的中小盘宽基。,3.432,2.48,2980475431.512,8799684.0,46.16,24.213882638352786,2,eastmoney_spot,中证\s*1000,2026-06-09T15:37:48,0.083,3.438,3.351,3.375,3.349,,中证 1000
560010,中证1000ETF广发,CSI_1000,000852,剔除沪深 300/中证 500 后的中小盘宽基。,3.427,2.64,726999503.0,2150581.0,22.16,22.591623712413654,3,eastmoney_spot,中证\s*1000,2026-06-09T15:37:48,0.088,3.431,3.341,3.366,3.339,,中证 1000
563300,中证2000ETF华泰柏瑞,CSI_2000,932000,更偏小微盘的宽基指数。,1.545,2.25,512875390.0,3354560.0,13.96,22.30941819164753,1,eastmoney_spot,中证\s*2000,2026-06-09T15:37:48,0.034,1.549,1.508,1.518,1.511,,中证 2000
159531,中证2000ETF南方,CSI_2000,932000,更偏小微盘的宽基指数。,1.511,1.96,166999941.2,1117319.0,17.83,21.02247055207377,2,eastmoney_spot,中证\s*2000,2026-06-09T15:37:48,0.029,1.512,1.478,1.488,1.482,,中证 2000
562660,中证2000ETF华夏,CSI_2000,932000,更偏小微盘的宽基指数。,1.921,1.8,38143075.0,200601.0,7.35,19.288216523802966,3,eastmoney_spot,中证\s*2000,2026-06-09T15:37:48,0.034,1.927,1.879,1.891,1.887,,中证 2000
510300,沪深300ETF华泰柏瑞,CSI_300,000300,沪深两市大盘核心资产宽基。,4.826,1.84,2085593718.0,4361645.0,1.53,23.751573419028226,1,eastmoney_spot,沪深\s*300,2026-06-09T15:37:48,0.087,4.828,4.741,4.764,4.739,,沪深 300
159919,沪深300ETF嘉实,CSI_300,000300,沪深两市大盘核心资产宽基。,5.026,1.8,527744658.619,1061035.0,0.85,22.165336577583535,2,eastmoney_spot,沪深\s*300,2026-06-09T15:37:48,0.089,5.028,4.938,4.96,4.937,,沪深 300
510310,沪深300ETF易方达,CSI_300,000300,沪深两市大盘核心资产宽基。,4.67,1.68,430069060.0,930252.0,0.42,21.94093814140419,3,eastmoney_spot,沪深\s*300,2026-06-09T15:37:48,0.077,4.671,4.588,4.607,4.593,,沪深 300
510500,中证500ETF南方,CSI_500,000905,剔除沪深 300 后的中盘宽基。,8.27,2.5,2955254201.0,3622747.0,7.89,24.072262020246253,1,eastmoney_spot,中证\s*500,2026-06-09T15:37:48,0.202,8.285,8.058,8.12,8.068,,中证 500
512500,中证500ETF华夏,CSI_500,000905,剔除沪深 300 后的中盘宽基。,4.574,2.3,532208048.0,1182137.0,7.28,22.189970323617374,2,eastmoney_spot,中证\s*500,2026-06-09T15:37:48,0.103,4.586,4.464,4.499,4.471,,中证 500
