code,name,fund_type,source,family_id,display_name,index_code,description,matched_pattern,rank_score,selected_rank_in_family
512100,中证1000ETF南方,指数型-股票,eastmoney_fundcode_search,CSI_1000,中证1000,000852,剔除沪深300/中证500后的中小盘宽基。,中证\s*1000,100.0,1
159845,中证1000ETF华夏,指数型-股票,eastmoney_fundcode_search,CSI_1000,中证1000,000852,剔除沪深300/中证500后的中小盘宽基。,中证\s*1000,96.0,2
159629,中证1000ETF富国,指数型-股票,eastmoney_fundcode_search,CSI_1000,中证1000,000852,剔除沪深300/中证500后的中小盘宽基。,中证\s*1000,88.0,3
159633,中证1000ETF易方达,指数型-股票,eastmoney_fundcode_search,CSI_1000,中证1000,000852,剔除沪深300/中证500后的中小盘宽基。,中证\s*1000,86.0,4
560010,中证1000ETF广发,指数型-股票,eastmoney_fundcode_search,CSI_1000,中证1000,000852,剔除沪深300/中证500后的中小盘宽基。,中证\s*1000,84.0,5
159531,中证2000ETF南方,指数型-股票,eastmoney_fundcode_search,CSI_2000,中证2000,932000,更偏小微盘的宽基指数。,中证\s*2000,0.0,1
159532,中证2000ETF易方达,指数型-股票,eastmoney_fundcode_search,CSI_2000,中证2000,932000,更偏小微盘的宽基指数。,中证\s*2000,0.0,2
159533,中证2000ETF博时,指数型-股票,eastmoney_fundcode_search,CSI_2000,中证2000,932000,更偏小微盘的宽基指数。,中证\s*2000,0.0,3
159535,中证2000ETF嘉实,指数型-股票,eastmoney_fundcode_search,CSI_2000,中证2000,932000,更偏小微盘的宽基指数。,中证\s*2000,0.0,4
159536,中证2000ETF汇添富,指数型-股票,eastmoney_fundcode_search,CSI_2000,中证2000,932000,更偏小微盘的宽基指数。,中证\s*2000,0.0,5
510300,沪深300ETF华泰柏瑞,指数型-股票,eastmoney_fundcode_search,CSI_300,沪深300,000300,沪深两市大盘核心资产宽基。,沪深\s*300,100.0,1
510310,沪深300ETF易方达,指数型-股票,eastmoney_fundcode_search,CSI_300,沪深300,000300,沪深两市大盘核心资产宽基。,沪深\s*300,96.0,2
510330,沪深300ETF华夏,指数型-股票,eastmoney_fundcode_search,CSI_300,沪深300,000300,沪深两市大盘核心资产宽基。,沪深\s*300,92.0,3
159919,沪深300ETF嘉实,指数型-股票,eastmoney_fundcode_search,CSI_300,沪深300,000300,沪深两市大盘核心资产宽基。,沪深\s*300,90.0,4
510350,沪深300ETF工银,指数型-股票,eastmoney_fundcode_search,CSI_300,沪深300,000300,沪深两市大盘核心资产宽基。,沪深\s*300,82.0,5
510500,中证500ETF南方,指数型-股票,eastmoney_fundcode_search,CSI_500,中证500,000905,剔除沪深300后的中盘宽基。,中证\s*500,100.0,1
512500,中证500ETF华夏,指数型-股票,eastmoney_fundcode_search,CSI_500,中证500,000905,剔除沪深300后的中盘宽基。,中证\s*500,96.0,2
159922,中证500ETF嘉实,指数型-股票,eastmoney_fundcode_search,CSI_500,中证500,000905,剔除沪深300后的中盘宽基。,中证\s*500,88.0,3
510510,中证500ETF广发,指数型-股票,eastmoney_fundcode_search,CSI_500,中证500,000905,剔除沪深300后的中盘宽基。,中证\s*500,84.0,4
510580,中证500ETF易方达,指数型-股票,eastmoney_fundcode_search,CSI_500,中证500,000905,剔除沪深300后的中盘宽基。,中证\s*500,80.0,5
159800,中证800ETF鹏华,指数型-股票,eastmoney_fundcode_search,CSI_800,中证800,000906,沪深300与中证500合成的大中盘宽基。,中证\s*800,0.0,1
515800,中证800ETF汇添富,指数型-股票,eastmoney_fundcode_search,CSI_800,中证800,000906,沪深300与中证500合成的大中盘宽基。,中证\s*800,0.0,2
515810,中证800ETF易方达,指数型-股票,eastmoney_fundcode_search,CSI_800,中证800,000906,沪深300与中证500合成的大中盘宽基。,中证\s*800,0.0,3
159136,A50ETF广发,指数型-股票,eastmoney_fundcode_search,CSI_A50,中证A50,930050,中证 A 系列大盘龙头宽基。,(?<![A-Z0-9])A\s*50\s*ETF,0.0,1
159390,中证A50ETF国联,指数型-股票,eastmoney_fundcode_search,CSI_A50,中证A50,930050,中证 A 系列大盘龙头宽基。,中证\s*A\s*50,0.0,2
159591,A50ETF富国,指数型-股票,eastmoney_fundcode_search,CSI_A50,中证A50,930050,中证 A 系列大盘龙头宽基。,(?<![A-Z0-9])A\s*50\s*ETF,0.0,3
159592,A50ETF银华,指数型-股票,eastmoney_fundcode_search,CSI_A50,中证A50,930050,中证 A 系列大盘龙头宽基。,(?<![A-Z0-9])A\s*50\s*ETF,0.0,4
159593,中证A50ETF平安,指数型-股票,eastmoney_fundcode_search,CSI_A50,中证A50,930050,中证 A 系列大盘龙头宽基。,中证\s*A\s*50,0.0,5
159338,中证A500ETF国泰,指数型-股票,eastmoney_fundcode_search,CSI_A500,中证A500,000510,行业均衡的大盘宽基，近年 ETF 扩容明显。,中证\s*A\s*500,90.0,1
159353,中证A500ETF景顺,指数型-股票,eastmoney_fundcode_search,CSI_A500,中证A500,000510,行业均衡的大盘宽基，近年 ETF 扩容明显。,中证\s*A\s*500,88.0,2
159358,中证A500ETF大成,指数型-股票,eastmoney_fundcode_search,CSI_A500,中证A500,000510,行业均衡的大盘宽基，近年 ETF 扩容明显。,中证\s*A\s*500,86.0,3
560510,中证A500ETF泰康,指数型-股票,eastmoney_fundcode_search,CSI_A500,中证A500,000510,行业均衡的大盘宽基，近年 ETF 扩容明显。,中证\s*A\s*500,84.0,4
560530,中证A500ETF摩根,指数型-股票,eastmoney_fundcode_search,CSI_A500,中证A500,000510,行业均衡的大盘宽基，近年 ETF 扩容明显。,中证\s*A\s*500,82.0,5
