model,config,seq_length,units,dropout,train_accuracy,train_ic,train_rmse,test_accuracy,test_ic,test_rmse
attention_lstm,attention_lstm_seq20_u64_d0.3,20,64,0.3,0.5162497717728683,-0.01607249040099574,0.03584356436633991,0.6666666666666666,0.3183022758569391,0.027832073265388405
attention_lstm,attention_lstm_seq15_u64_d0.4,15,64,0.4,0.5286653277341611,0.03812818505162247,0.035467303985622776,0.6448717948717949,0.27994028466994836,0.02810027073436695
lstm,lstm_seq10_u64_d0.3,10,64,0.3,0.5398028117582618,0.061093057650701034,0.04017420244077507,0.6397435897435897,0.16046355668025586,0.02836137951622751
self_attention,self_attention_seq15_u64_d0.3,15,64,0.3,0.529943399671353,0.008267107174202374,0.035633492222404306,0.6358974358974359,0.22588918155918788,0.028596788026276434
hierarchical_attention,hierarchical_attention_seq15_u64_d0.3,15,64,0.3,0.5223662589008581,0.028085167999468856,0.03855234134049218,0.6192307692307693,0.17844381710651425,0.028673057674199698
attention_lstm,attention_lstm_seq15_u64_d0.3,15,64,0.3,0.5333211612196458,0.06132748796851411,0.037643088072467565,0.6089743589743589,0.16130929100178368,0.02868638006545657
attention_lstm,attention_lstm_seq15_u128_d0.3,15,128,0.3,0.5157933175095856,0.009601320875517991,0.03821321494341664,0.6038461538461538,0.18613250855268731,0.02866039367793276
attention_lstm,attention_lstm_seq15_u64_d0.3,15,64,0.3,0.5331385795143326,0.04124281958541473,0.03961601282045809,0.5987179487179487,0.11743894813944575,0.029293285481262248
attention_lstm,attention_lstm_seq10_u64_d0.3,10,64,0.3,0.5403505568742012,0.04680865604196153,0.040098960343816804,0.5717948717948718,0.07182054868723967,0.028829182540873716
attention_lstm,attention_lstm_seq15_u64_d0.3,15,64,0.3,0.517162680299434,-0.005666875929325882,0.03666465485965804,0.5692307692307692,-0.01935387697182881,0.028896699248839943
attention_lstm,attention_lstm_seq15_u64_d0.2,15,64,0.2,0.484297973343071,-0.045717779092478456,0.03860200515705958,0.5653846153846154,0.06956095511353991,0.02877423150676242
gru,gru_seq15_u64_d0.3,15,64,0.3,0.4991783823260909,-0.044185680572294536,0.03516025578238728,0.5397435897435897,0.040691171480422346,0.02863046351673387
lstm,lstm_seq5_u64_d0.3,5,64,0.3,0.5040167975168888,0.016533362106393463,0.03971332312706874,0.5371794871794872,-0.02834704136014613,0.030124500412758846
attention_lstm,attention_lstm_seq5_u64_d0.3,5,64,0.3,0.5188059156472521,0.0068707449290131145,0.03660036541357576,0.5307692307692308,0.03558950049199187,0.0290415595427266
attention_lstm,attention_lstm_seq15_u32_d0.3,15,32,0.3,0.4937009311666971,0.05311005856396084,0.03744774053397743,0.5269230769230769,-0.0187353483493689,0.029366325770639023
lstm,lstm_seq15_u64_d0.3,15,64,0.3,0.5015519444951616,-0.0007588984611839739,0.03799858758715464,0.5025641025641026,-0.11103345786028071,0.030993759809297406
lstm,lstm_seq20_u64_d0.3,20,64,0.3,0.49150995070293957,0.02447706344364285,0.03779933873341258,0.48846153846153845,-0.2126064218572488,0.03123202901096244
