config,seq_length,units,dropout,learning_rate,batch_size,test_accuracy,test_ic,test_rmse
attention_lstm_dropout0.3_seq_length25_units64,25,64,0.3,0.001,32,0.5987179487179487,0.1672964707190021,0.02827489185637615
attention_lstm_dropout0.3_seq_length30_units64,30,64,0.3,0.001,32,0.5166666666666667,0.18479455544124274,0.02891407402063119
attention_lstm_dropout0.3_seq_length30_units128,30,128,0.3,0.001,64,0.514102564102564,0.039648349861416715,0.028661213496829766
attention_lstm_dropout0.3_seq_length30_units128,30,128,0.3,0.002,32,0.5038461538461538,0.0016925183688733486,0.028823467488598167
attention_lstm_dropout0.2_seq_length30_units128,30,128,0.2,0.001,32,0.49615384615384617,0.02920039675894091,0.028964635844953207
attention_lstm_dropout0.3_seq_length30_units128,30,128,0.3,0.0005,32,0.4948717948717949,-0.046524712419016415,0.028907866965800635
attention_lstm_dropout0.5_seq_length30_units128,30,128,0.5,0.001,32,0.4653846153846154,-0.09537183681257086,0.029049348355641384
attention_lstm_dropout0.3_seq_length30_units96,30,96,0.3,0.001,32,0.44487179487179485,-0.011659644365342411,0.029406512702797406
attention_lstm_dropout0.4_seq_length30_units128,30,128,0.4,0.001,32,0.43333333333333335,0.0022678870759487886,0.028811586119198436
attention_lstm_dropout0.3_seq_length30_units192,30,192,0.3,0.001,32,0.43205128205128207,-0.02428166356439998,0.02906672076592883
attention_lstm_dropout0.3_seq_length30_units128,30,128,0.3,0.001,16,0.43205128205128207,-0.015002200041204602,0.029063078017846865
attention_lstm_dropout0.3_seq_length30_units128,30,128,0.3,0.001,32,0.42948717948717946,-0.04571246889407824,0.029040735280465323
attention_lstm_dropout0.3_seq_length40_units64,40,64,0.3,0.001,32,0.4230769230769231,-0.08764270962679858,0.029033444126208716
attention_lstm_dropout0.3_seq_length50_units64,50,64,0.3,0.001,32,0.41923076923076924,-0.015839140342471216,0.02878549656028057
