index_component_type,secucode,stock_code,stock_name,close_price,change_rate,trade_date,industry,region,weight,eps,roe,free_cap,pe,source,family_id,display_name,index_code,rank_in_family,rank_basis
7,601869.SH,601869,长飞光纤,444.99,8.868718500758,2026-06-03 00:00:00,通信设备,武汉市,,0.6,3.53,1808.16,186.02,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT,CSI_1000,中证1000,000852,1,free_cap
7,603256.SH,603256,宏和科技,197.37,-0.719315895372,2026-06-03 00:00:00,玻璃玻纤,上海市,,0.16,8.15,1736.32,318.29,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT,CSI_1000,中证1000,000852,2,free_cap
7,300620.SZ,300620,光库科技,337.06,5.324667208299,2026-06-03 00:00:00,通信设备,珠海市,,0.1795,2.05,832.89,469.35,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT,CSI_1000,中证1000,000852,3,free_cap
7,300475.SZ,300475,香农芯创,177.03,1.084908353794,2026-06-03 00:00:00,其他电子Ⅱ,宣城市,,2.86,31.53,796.7,15.66,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT,CSI_1000,中证1000,000852,4,free_cap
7,688313.SH,688313,仕佳光子,168.86,9.294498381877,2026-06-03 00:00:00,通信设备,鹤壁市,,0.257,7.24,763.22,164.24,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT,CSI_1000,中证1000,000852,5,free_cap
7,601126.SH,601126,四方股份,76.5,-0.2087138012,2026-06-03 00:00:00,电网设备,北京市,,0.33,5.38,631.19,58.87,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT,CSI_1000,中证1000,000852,6,free_cap
7,002428.SZ,002428,云南锗业,88.99,3.03346069237,2026-06-03 00:00:00,小金属,临沧市,,0.014,0.62,581.14,1595.49,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT,CSI_1000,中证1000,000852,7,free_cap
7,601208.SH,601208,东材科技,56.49,10.009737098345,2026-06-03 00:00:00,塑料,绵阳市,,0.18,3.06,570.65,76.36,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT,CSI_1000,中证1000,000852,8,free_cap
7,603083.SH,603083,剑桥科技,202.6,6.715828285489,2026-06-03 00:00:00,通信设备,上海市,,0.34,1.58,558.34,150.95,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT,CSI_1000,中证1000,000852,9,free_cap
7,688519.SH,688519,南亚新材,228.7,-4.277582454378,2026-06-03 00:00:00,元件,上海市,,0.66,5.08,537.86,89.56,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT,CSI_1000,中证1000,000852,10,free_cap
7,601777.SH,601777,千里科技,10.72,-0.740740740741,2026-06-03 00:00:00,摩托车及其他,重庆市,,0.0107,0.47,484.66,250.5,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT,CSI_1000,中证1000,000852,11,free_cap
7,301511.SZ,301511,德福科技,124.53,-1.960321209258,2026-06-03 00:00:00,电池,九江市,,0.2338,3.54,466.53,133.29,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT,CSI_1000,中证1000,000852,12,free_cap
7,002222.SZ,002222,福晶科技,99.0,5.712760277629,2026-06-03 00:00:00,光学光电子,福州市,,0.1387,3.63,463.47,178.4,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT,CSI_1000,中证1000,000852,13,free_cap
7,688409.SH,688409,富创精密,143.36,2.4,2026-06-03 00:00:00,半导体,沈阳市,,0.19,1.29,438.98,189.4,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT,CSI_1000,中证1000,000852,14,free_cap
7,603308.SH,603308,应流股份,63.87,2.388586085284,2026-06-03 00:00:00,通用设备,合肥市,,0.18,2.35,433.71,90.23,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT,CSI_1000,中证1000,000852,15,free_cap
7,300870.SZ,300870,欧陆通,271.0,-0.224586723611,2026-06-03 00:00:00,其他电源设备Ⅱ,深圳市,,-0.12,-0.47,413.62,-824.6,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT,CSI_1000,中证1000,000852,16,free_cap
7,688433.SH,688433,华曙高科,97.0,1.263179872638,2026-06-03 00:00:00,通用设备,长沙市,,-0.0088,-0.18,403.11,-2765.92,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT,CSI_1000,中证1000,000852,17,free_cap
7,002015.SZ,002015,协鑫能科,24.37,4.592274678112,2026-06-03 00:00:00,电力,无锡市,,0.182,2.41,395.6,34.36,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT,CSI_1000,中证1000,000852,18,free_cap
7,688205.SH,688205,德科立,241.0,3.615804634765,2026-06-03 00:00:00,通信设备,无锡市,,0.12,0.84,383.76,488.52,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT,CSI_1000,中证1000,000852,19,free_cap
7,002378.SZ,002378,章源钨业,30.84,4.648795385137,2026-06-03 00:00:00,小金属,赣州市,,0.32,15.08,368.58,24.29,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT,CSI_1000,中证1000,000852,20,free_cap
7,603306.SH,603306,华懋科技,106.98,5.078086631961,2026-06-03 00:00:00,汽车零部件,厦门市,,0.035,0.34,352.49,753.43,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT,CSI_1000,中证1000,000852,21,free_cap
7,688127.SH,688127,蓝特光学,84.71,3.103700097371,2026-06-03 00:00:00,光学光电子,嘉兴市,,0.32,5.74,343.84,66.35,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT,CSI_1000,中证1000,000852,22,free_cap
7,300438.SZ,300438,鹏辉能源,81.56,-1.485686677135,2026-06-03 00:00:00,电池,广州市,,0.6426,5.69,329.64,31.73,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT,CSI_1000,中证1000,000852,23,free_cap
7,002456.SZ,002456,欧菲光,9.82,3.151260504202,2026-06-03 00:00:00,光学光电子,深圳市,,-0.0742,-6.37,325.79,-33.32,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT,CSI_1000,中证1000,000852,24,free_cap
7,002245.SZ,002245,蔚蓝锂芯,19.93,-3.111327175498,2026-06-03 00:00:00,电池,苏州市,,0.1697,2.53,320.2,43.46,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT,CSI_1000,中证1000,000852,25,free_cap
7,600667.SH,600667,太极实业,14.87,-0.468540829987,2026-06-03 00:00:00,工程咨询服务Ⅱ,无锡市,,0.06,1.49,311.01,60.22,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT,CSI_1000,中证1000,000852,26,free_cap
7,000811.SZ,000811,冰轮环境,31.76,2.418574653338,2026-06-03 00:00:00,通用设备,烟台市,,0.12,1.81,310.74,67.23,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT,CSI_1000,中证1000,000852,27,free_cap
7,301526.SZ,301526,国际复材,22.01,-5.04745470233,2026-06-03 00:00:00,玻璃玻纤,重庆市,,0.0717,3.22,309.11,76.8,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT,CSI_1000,中证1000,000852,28,free_cap
7,600595.SH,600595,中孚实业,7.55,0.0,2026-06-03 00:00:00,工业金属,郑州市,,0.2,4.69,302.6,9.21,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT,CSI_1000,中证1000,000852,29,free_cap
